"","summary.slx..coef...4.","summary.slx_1..coef...4.","summary.slx_2..coef...4.","summary.slx_3..coef...4.","summary.slx_4..coef...4.","summary.slx_5..coef...4.","summary.slx_6..coef...4."
"TA",0.0852071223648374,0.00668467184137181,0.000195792315814799,0.000252986852337204,0.000136960444877987,0.000307953938870033,0.00726457190118856
"PA",0.0224655801199202,0.0480556511559191,0.0628223047869509,0.0402198226375879,0.0728971943477775,0.235338097353307,0.162217724236862
"DL",0.222837381862348,0.105993934464635,0.246186283169973,0.0997655764309618,0.0557576226833975,0.026273082706597,0.0987592892667751
"Wlag.TA",0.733033202718406,0.794056163431236,0.280544633182211,0.409627152780072,0.568223813027739,0.681892643988241,0.0760786079399618
"Wlag.PA",0.347285352120818,0.713832473667055,0.179126138663535,0.584791396363391,0.682521983052605,0.888919053720464,0.999670980495042
"Wlag.DL",0.998262317665268,0.774986559109512,0.577280226854653,0.663986900450063,0.747040257768581,0.848130967639901,0.419440346053211
