"","summary.fe..coef...4.","summary.fe_lag1..coef...4.","summary.fe_lag2..coef...4.","summary.fe_lag3..coef...4.","summary.fe_lag4..coef...4.","summary.fe_lag5..coef...4.","summary.fe_lag6..coef...4."
"TA",0.0914406407691489,0.00828968926739424,0.00029119207235638,0.00036555846871731,0.000210922561558216,0.000447622369676546,0.00609453168187722
"PA",0.0252462230400057,0.0490195886525753,0.0628438652484686,0.0482957572075933,0.0731387648574705,0.229412774106992,0.164374464942941
"DL",0.349397208744951,0.161016096796885,0.350908010295661,0.14402559219282,0.0876338901847983,0.0409762553388886,0.138257332891145
"sum_disp",0.00572683575607564,0.144409580737353,0.0146148987923502,0.150814642956209,0.273344045206662,0.315990163814813,0.124079865725249
