"","summary.sdm..coef...4.","summary.sdm_1..coef...4.","summary.sdm_2..coef...4.","summary.sdm_3..coef...4.","summary.sdm_4..coef...4.","summary.sdm_5..coef...4.","summary.sdm_6..coef...4."
"TA",0.0814199003780167,0.005997367464044,0.0001559808031721,0.000199884972576434,0.000106795128965796,0.000227399025448335,0.00584519738806753
"PA",0.0230700270931672,0.0432801940341287,0.0640632417455146,0.0397572611717853,0.0727663303833395,0.243983772908225,0.159757015980427
"DL",0.209022668178651,0.103299908824491,0.245442534776234,0.0939010355195585,0.0567252790725389,0.0246054281272996,0.0923590199817393
"Wlag.TA",0.481517467979944,0.939224282715469,0.114287692655942,0.329879052265615,0.79501272441773,0.800724485007247,0.13346889713552
"Wlag.PA",0.446778451022181,0.985017611215725,0.120836731645861,0.345221223048254,0.818323266459563,0.808951825434383,0.147692561285958
"Wlag.DL",0.873703550720687,0.851358211462172,0.457758685847821,0.645156358115221,0.881491055899253,0.92062306236589,0.549525177718733
"rho",0.727705360240786,0.636698206583116,0.530192434460232,0.556755005395631,0.517519872831471,0.513620859837548,0.631515372316986
