"","summary.fe..r.squared","summary.fe_lag1..r.squared","summary.fe_lag2..r.squared","summary.fe_lag3..r.squared","summary.fe_lag4..r.squared","summary.fe_lag5..r.squared","summary.fe_lag6..r.squared"
"rsq",0.0117270541293178,0.0110655611117013,0.0172026944316864,0.0156760417820929,0.0159118794588355,0.0143742576194901,0.0106901814311847
"adjrsq",-0.0613222609883446,-0.0620326490122383,-0.0554418825257441,-0.0570813794365725,-0.0568281095506038,-0.0584793864512796,-0.0624357753073774
