"","lm_log.coefficients","lm_lag1_log.coefficients","lm_lag2_log.coefficients","lm_lag3_log.coefficients","lm_lag4_log.coefficients","lm_lag5_log.coefficients","lm_lag6_log.coefficients"
"(Intercept)",-8.57372901528089,-8.55174296766296,-8.41940776620074,-8.44623194042737,-8.44311718406068,-8.67904777675004,-8.3914129501337
"TA_dep_log",0.701518438302108,0.74725056914288,0.430575141155228,0.227213275108326,0.493143298656553,0.124197059931371,0.209604518386149
"PA_dep_log",0.0407652332392981,0.153761169457023,0.18326935157174,0.44031128349029,0.254434150718667,0.0577855034770632,0.281148945451984
"DL_dep_log",-0.0606710670418838,-0.0560309429318397,-0.0287936663470528,0.0282617014991059,0.0105975845923197,0.0756255816495767,0.0486760568071143
"conflicts_dep_log",0.194689825313891,0.10381257037607,0.0610259492102854,0.0822226769027702,0.0882360565045563,0.0955952574070362,0.0883915314909852
"TA_arr_log",-1.39719566459295,-1.44009699484331,-0.979959196414458,-0.970179920529091,-1.1928470074627,-1.05582297546327,-0.846653511482812
"PA_arr_log",-0.214898125033375,-0.170901013799358,-0.0305602425904094,-0.198177507175997,-0.120824484161008,-0.0731477473130109,-0.164666220576866
"DL_arr_log",0.0974881696110815,0.106635813926222,0.0625057582720069,0.0408426096207268,0.0708567353278906,0.0745039992374684,0.0699759109693238
"conflicts_arr_log",0.271218417625401,0.253338999195668,0.228690687064907,0.234109635277916,0.218027922200257,0.20666901165265,0.206160665585079
"distance_log",-0.339079683893307,-0.345829430720743,-0.363728300753002,-0.361988172637344,-0.355785329662839,-0.362663129844103,-0.362421314691961
"gdp_mean_dep_log",-0.0631499276214628,-0.0543979029703745,-0.0594514571576921,-0.0667100519131573,-0.066695754803786,-0.0677259323971154,-0.0627343092466969
"gdp_mean_arr_log",0.057939880369987,0.0672993075053906,0.0880871862765395,0.087533216423818,0.0867270786640602,0.0878769511361543,0.0912253503702907
"pop_count_dep_log",0.172898188015099,0.240391006180956,0.304651950308332,0.292071324571386,0.287164112043702,0.276067369866582,0.277897874373612
"pop_count_arr_log",-0.137021535222285,-0.152275238728993,-0.169676784847579,-0.17686539428591,-0.148888502573839,-0.143287515453766,-0.139327457512114
