"","summary.fe_ps..coef...4.","summary.fe_ps_lag1..coef...4.","summary.fe_ps_lag2..coef...4.","summary.fe_ps_lag3..coef...4.","summary.fe_ps_lag4..coef...4.","summary.fe_ps_lag5..coef...4.","summary.fe_ps_lag6..coef...4."
"TA",0.0912105778271891,0.00673827701187241,0.000201838761484336,0.000237001189935819,0.000128394085609347,0.000280879520281198,0.00453076097966851
"PA",0.0252330459424665,0.0455471963559345,0.066833889499318,0.0471183867927208,0.07032203585532,0.23053531306718,0.165918676596735
"DL",0.211372860725921,0.1080470951924,0.221304068868399,0.0955821301665332,0.0593119724896182,0.0263272339029578,0.0914474888236442
