"","lm.coefficients","lm_lag1.coefficients","lm_lag2.coefficients","lm_lag3.coefficients","lm_lag4.coefficients","lm_lag5.coefficients","lm_lag6.coefficients"
"(Intercept)",2.71697253474743,2.5269556641674,2.32767653769052,2.23159984474812,2.19282333379609,2.45591201754122,2.19253179261502
"TA_dep",1.02221859812134,1.23926200953369,0.988283875792339,1.02851294121676,1.45674958005053,1.36447291432882,1.63748462916917
"PA_dep",0.121759214542151,-0.140977381113789,0.086786765520829,0.623210447594051,1.30000343748477,0.737470142099747,0.761788721160563
"DL_dep",-0.209855006839075,-0.209868792387324,-0.159967227675054,-0.0829858861175162,-0.0875592501100054,0.0591296446967802,-0.0841755469485665
"conflicts_dep",1.3869320982669,1.44069126164941,1.4368576259624,1.45405643083582,1.46823542239303,1.45117693387915,1.47721379113403
"TA_arr",-1.71161334446573,-1.99683012594616,-1.69794919073277,-1.78970654858285,-2.29969067340411,-2.02471772992544,-1.92904815459876
"PA_arr",-0.431283963499803,0.427665205784487,0.570196163741677,0.36696268485317,-0.452976173685779,-0.720102043878638,-0.496894271588008
"DL_arr",0.348061674784127,0.304015607816141,0.214077372047811,0.20256267892617,0.306353466902406,0.229918341495175,0.163316682594957
"conflicts_arr",0.912613071346618,0.928217197858558,0.921069666305986,0.844723998782262,0.819193153396353,0.821620791627224,0.883573884715107
"inv_distance_2",2.40317742848728,2.40889182050859,2.45030545808479,2.44683853218328,2.41387672626257,2.41064819798846,2.43952150186816
"gdp_mean_dep",-6.33846356315766,-6.03570210300886,-6.10329634974182,-6.06509699045894,-6.17782317211191,-6.14170118784862,-5.8514507202774
"gdp_mean_arr",2.79701609410747,2.81999528542894,2.75102473045595,2.62526098274763,2.56965748530286,2.13013314303152,2.17509754351954
"population_density_dep",6.85967794524548,6.51109481345219,6.59790164809523,6.57484623183919,6.72591816369823,6.7018827839444,6.36254614285503
"population_density_arr",-2.6670904763209,-2.69008822304702,-2.59953496743818,-2.42735895896023,-2.37640752582379,-1.8729144680083,-1.95316416112243
