"","coef.sdm.","coef.sdm_1.","coef.sdm_2.","coef.sdm_3.","coef.sdm_4.","coef.sdm_5.","coef.sdm_6."
"rho",-0.260508477145829,-0.27092093111521,-0.285283512194996,-0.281434420899816,-0.29054547630637,-0.292729073837667,-0.276135574741234
"TA",0.0466411869304271,0.0773260655686856,0.104558027637212,0.100272636311542,0.104601403871362,0.0992367852249435,0.0747734426320879
"PA",-0.0545731955508386,-0.0487619554094586,-0.0439701526113183,-0.047114725056156,-0.0414600267440325,-0.0273310190842482,-0.0344314153520004
"DL",0.019204231038663,0.0239666702388388,0.0180952167718968,0.0243242257368416,0.0274488625252028,0.0317262697807238,0.0242037824479137
"Wlag.TA",0.019033574641411,-0.00661032833503051,0.0544631857355933,0.0361397933271495,0.00166877559576188,-0.00743583397116499,-0.0618105807600059
"Wlag.PA",-0.0198099887837819,0.00307310951240675,-0.0454627848698102,-0.0301378582704621,-0.00294614634732027,0.00453517112877768,0.0493689176408521
"Wlag.DL",-0.00185017348391946,0.00582221752957797,-0.0142149483643167,-0.00952516638985679,0.00197228306340075,0.00456088295053301,0.0194769701623246
