"","summary.slx..coef...4.","summary.slx_1..coef...4.","summary.slx_2..coef...4.","summary.slx_3..coef...4.","summary.slx_4..coef...4.","summary.slx_5..coef...4.","summary.slx_6..coef...4."
"TA",0.207260403180259,0.135885124165472,0.0531107874230753,0.0909079651919653,0.0923195910995632,0.192909844828861,0.661981189471315
"PA",0.510616855634013,0.821678737506709,0.937509221320433,0.688935385910715,0.391498115047132,0.161776584219289,0.164335815702588
"DL",2.3714302377384e-16,3.00581619486273e-16,5.97247893294738e-15,1.78300062671612e-15,1.43008277781911e-15,6.52466692279587e-17,4.93951156548378e-16
"Wlag.TA",0.0666437924298378,0.142412768481787,0.0544577158963945,0.0922798178723131,0.00911886857835892,0.000813633396710618,0.00353553192093427
"Wlag.PA",0.59574394908365,0.0429441648807522,0.000186238988622811,8.9104776885661e-07,8.21925251914159e-06,0.0167868623294551,0.830614151441187
"Wlag.DL",0.000269295129604374,0.000552224041953851,0.000352518815333375,0.000764610679633434,0.000334707191009652,0.000828752713257592,0.0054211606736004
