"","coef.slx.","coef.slx_1.","coef.slx_2.","coef.slx_3.","coef.slx_4.","coef.slx_5.","coef.slx_6."
"TA",0.0423348332518742,0.0706199391752918,0.0950349586017343,0.0915588024234998,0.0937741131213148,0.0881445375961243,0.0661061303867833
"PA",-0.0517908448356611,-0.0462423994172084,-0.042376010693301,-0.0478058762670649,-0.0419872783184563,-0.0273415585587382,-0.0329973745793767
"DL",0.0170751170154231,0.0219560397903852,0.0154043108005644,0.0222027720764437,0.025093305409719,0.0295388632403624,0.0220944502738379
"Wlag.TA",0.0206916178202313,-0.00193263580685936,0.0491757907849015,0.029601484025987,-0.00763695982682451,-0.00778547569297926,-0.0433891049077763
"Wlag.PA",-0.0211751025111002,8.01814480385667e-05,-0.04152342364703,-0.0249001131393487,0.0059249118590686,0.00655718168615182,0.0367540590330647
"Wlag.DL",-0.00261017456696192,0.00297336611575298,-0.0117619963839549,-0.00714797107461592,0.00228468827761181,0.00160861085140923,0.00909023333923254
