"","summary.slx..coef...4.","summary.slx_1..coef...4.","summary.slx_2..coef...4.","summary.slx_3..coef...4.","summary.slx_4..coef...4.","summary.slx_5..coef...4.","summary.slx_6..coef...4."
"TA",0.079666967910792,0.0066262205079064,0.000178615485532132,0.000264746593389739,0.000143754277534288,0.000340949844724307,0.00699146375525513
"PA",0.0206871690076492,0.0425562336000023,0.0547095277034818,0.0367822457229024,0.0686031652334771,0.213166965021338,0.147193193395591
"DL",0.337676617028144,0.145372158454984,0.34920129892172,0.131837356365501,0.0757068474001604,0.0337653772050635,0.132892569732032
"sum_disp",0.00449141563564218,0.132279569124349,0.012553747399354,0.141088559110508,0.256568308279638,0.2987214357114,0.106504236444662
"Wlag.TA",0.725164376829717,0.957725880133068,0.280063046386959,0.425155367670614,0.888358868525799,0.892924411428091,0.172429765820696
"Wlag.PA",0.659432469012843,0.999088356904614,0.271485184248976,0.428409929211617,0.875385018927007,0.909543742993638,0.192548288107651
"Wlag.DL",0.852052618634299,0.758408996034515,0.568723632478476,0.731076386265195,0.848487413892906,0.729435176269531,0.295749518566462
"Wlag.sum_disp",0.536076012118503,0.714157932302913,0.971193229806507,0.741506164138352,0.53917903760439,0.530939527508736,0.612861559013796
