"","coef.slx.","coef.slx_1.","coef.slx_2.","coef.slx_3.","coef.slx_4.","coef.slx_5.","coef.slx_6."
"TA",0.0418613572578959,0.0705842385859135,0.0951542010116881,0.0915773555395733,0.0943003793094856,0.0883112116727884,0.066496918000909
"PA",-0.0515882688850001,-0.0462316746115588,-0.0423192725416625,-0.0471544537928342,-0.042142297758812,-0.0276168431533637,-0.0331701975460215
"DL",0.0172285282312406,0.0219493968490957,0.0160893022079592,0.0222776669882872,0.0252138020655289,0.0295856524741672,0.0223441144616669
"Wlag.TA",0.0210292072815231,-0.00373719196422357,0.0542862557870824,0.0370200904011831,0.00281907811614636,-0.00833942846121932,-0.0611041903530396
"Wlag.PA",-0.0217055829293454,0.000466918305700783,-0.0455143835981916,-0.0310219811803896,-0.00381586186110011,0.00538513133774516,0.0487803479534185
"Wlag.DL",-0.00231704409837687,0.00536653649088857,-0.0137880769640587,-0.00946669813149519,0.00156837968449333,0.00469849203593513,0.0193249726071246
