"","lm.coefficients","lm_lag1.coefficients","lm_lag2.coefficients","lm_lag3.coefficients","lm_lag4.coefficients","lm_lag5.coefficients","lm_lag6.coefficients"
"(Intercept)",-6.63024403106518,-6.91627076035646,-7.08369983075107,-7.27824372516789,-7.21023162913563,-7.15556120673732,-7.30394878509435
"TA_dep",-0.152353792071596,-0.00798284492357291,-0.364869320410376,-0.419903022891739,0.104678148373053,-0.0875201100025816,0.364407987635774
"PA_dep",0.400852390744912,0.100631420927489,0.473147238905879,0.981684004572734,1.30986507324805,1.32604845321615,0.861329282854746
"DL_dep",0.539867925600522,0.579790374181043,0.651835627886805,0.714675046540771,0.664587531991437,0.771004514538302,0.588296502662562
"conflicts_dep",2.3534258926114,1.41401405680506,0.742341904893217,0.772390960632452,0.953455877786898,0.872335316262436,0.81826058393936
"TA_arr",-1.30364794181407,-1.52097110540391,-1.25362453967772,-1.32488407013483,-1.87493846515923,-1.60366101914541,-1.46765228362451
"PA_arr",-0.590455119686468,0.189242837431608,0.156303847850255,0.180251685163118,-0.344748438586891,-0.608954660272244,-0.340499377004309
"DL_arr",-0.833343718076519,-0.744045250970172,-0.780843823028816,-0.773682335585379,-0.686917755918552,-0.673005190649567,-0.669595220666767
"conflicts_arr",2.28165408475391,1.68349700381924,1.70651954862664,1.62862584554735,1.62144762911535,1.23074884516906,1.41369031500337
"distance",-4.75884809711227,-4.83582736386252,-4.90032050253993,-4.89002097833957,-4.81790048698005,-4.89490440811001,-4.86802249555547
"gdp_mean_dep",-1.11566701234071,-0.935324751394025,-0.846976831863091,-0.852570888742921,-0.861721629120491,-0.822009838996197,-0.802247340535863
"gdp_mean_arr",-0.0649181725959408,0.10161064445267,0.129772984123864,0.115055435728039,0.112691674435006,0.199439433270797,0.175304473050939
"pop_count_dep",1.05361852367637,1.53183463010025,1.90857473957513,1.91545270580083,1.82123098014138,1.87491610948208,1.84507688817187
"pop_count_arr",-1.66989127083869,-1.47036374928963,-1.48908922295042,-1.43038161292967,-1.41851058652997,-1.27650476570717,-1.32149987227268
