"","summary.fe..coef...4.","summary.fe_lag1..coef...4.","summary.fe_lag2..coef...4.","summary.fe_lag3..coef...4.","summary.fe_lag4..coef...4.","summary.fe_lag5..coef...4.","summary.fe_lag6..coef...4."
"TA",0.102780110670892,0.00886460543049767,0.000330520017401149,0.000384176120175953,0.00021636765464647,0.000450439839355183,0.00610746290467329
"PA",0.030648782500091,0.0534253802495351,0.0766654692330945,0.0551587571646901,0.0804305184960001,0.246803856489127,0.18081366030328
"DL",0.227341637403835,0.12058983693059,0.237438314827986,0.107420070121409,0.0685086060017184,0.0318970679918461,0.103031869094931
