"","coef.sdm.","coef.sdm_1.","coef.sdm_2.","coef.sdm_3.","coef.sdm_4.","coef.sdm_5.","coef.sdm_6."
"rho",-0.0160917568462048,-0.0218658131991168,-0.0291134723707775,-0.0272196828123958,-0.0300386406653547,-0.0303527970297537,-0.0222057057096267
"TA",0.0428429849761357,0.0716155170432379,0.0967904933454255,0.0930809909990167,0.0956411916495743,0.090096798870472,0.0672341313454883
"PA",-0.0522234854806179,-0.0467359678821404,-0.0428068129811627,-0.0479015565338998,-0.0419321935547235,-0.0273540203754117,-0.0332343389022129
"DL",0.0172826800780431,0.0222332213251256,0.0157322194653822,0.022533991303734,0.0255012322832667,0.0299530286516741,0.0223736759536355
"Wlag.TA",0.0204618484205996,-0.00241123789946939,0.0492681775135124,0.029839890507765,-0.00771008477211701,-0.00740496464057002,-0.0433402232422754
"Wlag.PA",-0.0209406739284325,0.000515777916921399,-0.041575688356534,-0.0250787918264367,0.00596599345621072,0.00622336588974289,0.0367081886347086
"Wlag.DL",-0.00258210527418427,0.00304462957980302,-0.0118426935728831,-0.00725441534377554,0.00231853921343044,0.00152786838471309,0.00907735711046084
