"","coef.fe.","coef.fe_lag1.","coef.fe_lag2.","coef.fe_lag3.","coef.fe_lag4.","coef.fe_lag5.","coef.fe_lag6."
"TA",0.04142636435615,0.0705049141878291,0.0950797624232084,0.0919065165662963,0.0941857478844073,0.0885190252726686,0.0689918120681991
"PA",-0.0513507131982831,-0.0460177571318524,-0.0423411954131633,-0.0460687042815895,-0.0421943524521003,-0.0279641713686679,-0.0327345993619923
"DL",0.0171720750811306,0.021901150763699,0.016534987529939,0.022392225656088,0.0251943082727684,0.0295695024840421,0.0224232989998498
