"","lm.coefficients","lm_lag1.coefficients","lm_lag2.coefficients","lm_lag3.coefficients","lm_lag4.coefficients","lm_lag5.coefficients","lm_lag6.coefficients"
"(Intercept)",2.73438822392545,2.74328449700725,2.74882188640084,2.74891745588095,2.74927714919913,2.74766500421517,2.74528015912168
"TA_dep",0.103841540969547,0.124880672252903,0.120039365155385,0.121291163610421,0.115796411826953,0.0959059792251041,0.0705690672638246
"PA_dep",0.147922715820979,0.152874123688677,0.148033677552676,0.110192946562763,0.0612014027555489,0.0347755064322809,-0.00281579938403354
"DL_dep",0.128604515977186,0.119470272593383,0.129361483809061,0.13462978130889,0.129917891162953,0.131850304386234,0.135877132385133
"conflicts_dep",0.0685120062368152,0.0600482897462663,0.0551224009261569,0.0959516720432802,0.0835758034968709,0.0938696492033652,0.099973656968809
"TA_arr",-0.168268296920898,-0.188232663103633,-0.188369545097822,-0.18426792347371,-0.168346954926522,-0.153873765137863,-0.140696102965777
"PA_arr",-0.0682228834161561,-0.0778907162597619,-0.0721184766935447,-0.0488034017609083,-0.0170913990730161,-0.00209313477006188,0.00800926927625932
"DL_arr",0.126954002739559,0.130765813272942,0.119494969782235,0.110877973095402,0.110199079548726,0.106320254369024,0.108634171076892
"conflicts_arr",0.0553006737182297,0.0715562136495504,0.0468072745455597,-0.00455102625352644,-0.00357812078337735,-0.0125798415122197,0.0156266377937228
"dist_centroids",-0.76483359765867,-0.757341738163375,-0.753697002592824,-0.756532192106893,-0.755374904606238,-0.757603418114648,-0.758843569892946
"population_dep",0.0521647123983723,0.050612003869595,0.0518899965742064,0.0420165929962163,0.0439035151586756,0.0411348915618433,0.0371968924583513
"population_arr",-0.167266046860481,-0.167979712100557,-0.16944450665073,-0.170021522365117,-0.170693565567688,-0.171375814460943,-0.172103775223447
"gdp_mean_dep",-0.0157509138153458,-0.00823295973855823,-0.00384458854775393,-0.0267818437214632,-0.0194866827392341,-0.0252796750431799,-0.0269006254196496
"gdp_mean_arr",0.155588661394238,0.144073838875231,0.167475169813544,0.209302144012738,0.211095820289973,0.218407407414869,0.197013397171739
