"","summary.fe_ps..coef...4.","summary.fe_ps_lag1..coef...4.","summary.fe_ps_lag2..coef...4.","summary.fe_ps_lag3..coef...4.","summary.fe_ps_lag4..coef...4.","summary.fe_ps_lag5..coef...4.","summary.fe_ps_lag6..coef...4."
"TA",0.0805683378385079,0.0062725294273386,0.00017624286798246,0.000224683041436226,0.000124900460104868,0.000278910979717657,0.00451958225914191
"PA",0.0205275815011331,0.0415627673037864,0.0541131131662686,0.0409110140601696,0.0635693266931121,0.213397358299015,0.149989367372802
"DL",0.332657519240149,0.14674749781344,0.33417336427103,0.130404386579064,0.0770147986950794,0.0343550910621235,0.12487935041524
"sum_disp",0.00422958877036737,0.130772622815502,0.0114735435751812,0.136922762263658,0.256776905209456,0.299218501427968,0.111355077297577
