"","coef.slx.","coef.slx_1.","coef.slx_2.","coef.slx_3.","coef.slx_4.","coef.slx_5.","coef.slx_6."
"TA",0.0217704671779655,0.0257233043555354,0.0333465675780757,0.0290900877985056,0.0289942531887906,0.0224853674063666,0.00756593479573735
"PA",-0.00680250031689488,-0.00234048224419475,0.000816126678728524,0.00417384870257462,0.00893965758667397,0.0145915147671797,0.0145071683248312
"DL",0.106548423347426,0.106073413172987,0.101237952551116,0.1033230847191,0.103980265135032,0.10892845794788,0.106094244328747
"Wlag.TA",-0.0416424361739014,-0.0329849554243872,-0.0428922662705012,-0.0370932383785126,-0.0568788993656291,-0.072942418374538,-0.064282680983772
"Wlag.PA",0.0111494163683077,-0.0425118784080629,-0.078348084911193,-0.102893714641094,-0.0931357010064114,-0.0501206548250556,-0.00450507379812855
"Wlag.DL",0.0677944098739174,0.0639697831412427,0.0658604631684419,0.0615742772366595,0.0653178647359664,0.0606384418230386,0.0502661332489718
