"","summary.lm_19..coefficients...4.","summary.lm1_19..coefficients...4.","summary.lm2_19..coefficients...4.","summary.lm3_19..coefficients...4.","summary.lm4_19..coefficients...4.","summary.lm5_19..coefficients...4.","summary.lm6_19..coefficients...4."
"(Intercept)",1.09760970323208e-14,2.32442343481895e-14,6.04860393694799e-16,4.98381917938644e-15,9.3396219370928e-18,5.85397740676907e-20,1.70618091179115e-16
"TA",4.05182776044623e-07,3.19171426598934e-05,4.30017054869771e-07,8.88102838031864e-06,1.1361435665459e-05,2.51045614819851e-06,2.24524136817287e-05
"PA",0.888197468093174,0.85100930836823,0.262427830425661,0.200523799325248,0.166109392015792,0.0572091165347639,0.346736242185401
"DL",3.7915475133988e-13,1.07892795733537e-11,4.58763307625031e-12,1.73073909372697e-10,4.00511255682731e-10,5.35692067477569e-10,1.3856491272991e-09
"conflicts",0.471213312628272,0.818386824161504,0.729236877020954,0.995975713559549,0.361460590446334,0.119730725207899,0.555089614601139
"inv_distance_2",1.41297278795664e-17,3.2686028054438e-17,5.1152351412656e-17,4.1984090807063e-16,1.9716460532612e-16,8.8304663369302e-17,6.86029184979683e-16
"gdp_mean_origin",0.868866229770342,0.623439168911888,0.926142974763836,0.851354001076481,0.383827427206241,0.184403360957729,0.62312596648051
"gdp_mean_destination",0.0903442014523367,0.100729299936969,0.0752454884075279,0.0715298990505119,0.0684292433923178,0.0903125074642926,0.0628841802976299
"population_density_origin",0.817356194029831,0.649963821533118,0.973631055493499,0.882373437355904,0.389563788911324,0.182698549679327,0.637135696379301
"population_density_destination",0.102925182534933,0.114487640245719,0.0865190238952612,0.0820539347013089,0.0793418697777159,0.104414185555446,0.0725666046911912
