"","lm.coefficients","lm_lag1.coefficients","lm_lag2.coefficients","lm_lag3.coefficients","lm_lag4.coefficients","lm_lag5.coefficients","lm_lag6.coefficients"
"(Intercept)",2.31498292298684,2.37168177265844,2.41550983228581,2.50472839876361,2.56095866137057,2.69354778017187,2.6618290771729
"TA_dep",0.705576515371022,0.731623241822071,0.982540392398334,1.19028583258627,1.35754318732781,1.30592613250444,1.22272406626157
"PA_dep",0.407146265604266,0.523652771207606,0.616599022236666,0.399793379818333,0.0312290950561255,-0.363585093390228,-0.465792512663101
"DL_dep",-0.423747183215845,-0.445056796309665,-0.50530551065811,-0.556429880998578,-0.596966086311339,-0.593917256645653,-0.576404463602365
"conflicts_dep",0.22388530086979,0.246366222312144,0.21752568905325,0.215205152159243,0.226112227444572,0.276852585569909,0.301703833467869
"TA_arr",-0.544900441313288,-0.70922651737532,-0.907938750894699,-1.01180031159788,-0.985991093387714,-1.00074986078356,-0.939734856529703
"PA_arr",0.436515044770108,0.340905511295617,0.114642295417271,0.0497053445615395,0.116645517678574,0.323225308154014,0.533375869633946
"DL_arr",1.33391831738756,1.31928715363436,1.33882564968184,1.34239351871632,1.3049312112791,1.25865094097337,1.21396370412112
"conflicts_arr",0.178730181325164,0.154721320176718,0.154710546861534,0.167834137940059,0.219639045857046,0.212257470349785,0.200339220311473
"inv_distance_2",2.16484185035705,2.18026410210295,2.16139024566076,2.14946266175875,2.14208871253761,2.14822719728077,2.15911994417051
"gdp_mean_dep",-0.0235502664440043,-0.00212986218813204,-0.169667263528712,-0.184240213432958,-0.18160657506243,0.0326748170421609,0.142969876996118
"gdp_mean_arr",-1.45323981760115,-1.41952754094493,-1.37218053738018,-1.49292505459962,-1.61814490442173,-1.72528202812417,-1.75100522024269
"population_density_dep",-0.00981821720589555,-0.0432659983181148,0.163296378518944,0.183062357715146,0.171855317857724,-0.102941912493558,-0.246145406018767
"population_density_arr",2.32494282305663,2.28947492832512,2.24043108304388,2.37333797181179,2.4902984201374,2.60592591176713,2.63653957481045
