"","coef.slx.","coef.slx_1.","coef.slx_2.","coef.slx_3.","coef.slx_4.","coef.slx_5.","coef.slx_6."
"TA",0.633609520741168,0.989426776493066,1.34061391198539,1.30563815423401,1.34881494940171,1.26709591371031,0.941833911679928
"PA",-0.48506115909812,-0.420999691617661,-0.394577574349173,-0.436765132604799,-0.381248158125307,-0.254121281955724,-0.296323021421335
"DL",0.434634602159006,0.572712965340885,0.408857531806328,0.579222444914078,0.669949741355705,0.775485625295824,0.575793323318744
"Wlag.TA",0.167449645155293,-0.131138810343199,0.546503775512667,0.416831906811449,-0.286568529683923,-0.203593843560598,-0.860493141078759
"Wlag.PA",-0.446259920454241,-0.171050244543322,-0.586281625872906,-0.232729654695074,-0.167174221452942,-0.0565892288100159,-0.000169126302834214
"Wlag.DL",0.00094697848904598,0.124403882802838,-0.240019496751534,-0.184830212236189,0.13620103811787,0.0795473253381199,0.330439255484775
