"","summary.sdm..coef...4.","summary.sdm_1..coef...4.","summary.sdm_2..coef...4.","summary.sdm_3..coef...4.","summary.sdm_4..coef...4.","summary.sdm_5..coef...4.","summary.sdm_6..coef...4."
"TA",0.0562255400688125,0.00282349459263046,3.94135226410187e-05,5.53022977675575e-05,1.94816420459593e-05,4.32732201138489e-05,0.00202732551381443
"PA",0.0168858909451157,0.0336190870136069,0.05548340358078,0.0414691876175165,0.0737267764741856,0.239691293911428,0.142646729031768
"DL",0.160199564887769,0.077131377632839,0.178215288405545,0.0686222402090586,0.0387410002012821,0.0164861134808068,0.0668278676643857
"Wlag.TA",0.668836712156565,0.889773534117113,0.248730777774168,0.436665548631087,0.970946183113229,0.868336112961679,0.158122307508758
"Wlag.PA",0.621205409582194,0.938024810360966,0.241777253533828,0.43643467916726,0.939132964025528,0.904876320571802,0.183628886670819
"Wlag.DL",0.934812290447933,0.794514342570322,0.512644330397035,0.65506964970291,0.925229873085479,0.824706552278447,0.335793611908387
"rho",0.00131227933703351,0.000864983668766906,0.000482308409912595,0.000561260807927568,0.00039144907256197,0.000361609605131688,0.000709567997473058
