"","coef.fe_ps.","coef.fe_ps_lag1.","coef.fe_ps_lag2.","coef.fe_ps_lag3.","coef.fe_ps_lag4.","coef.fe_ps_lag5.","coef.fe_ps_lag6."
"TA",0.0360199010611853,0.0573102379072741,0.0776272945450553,0.0760811527769328,0.0783531597373464,0.0738487832051236,0.057617376919608
"PA",-0.0275422196566097,-0.0245802331695143,-0.0225259158158064,-0.02442785344173,-0.0222860388116901,-0.0147716262347652,-0.0170519104430527
"DL",0.0258303811078384,0.0330101469775813,0.0249708236322629,0.033881393017459,0.038208648597563,0.0449514344353672,0.0341681164754739
