"","lm_19.coefficients","lm1_19.coefficients","lm2_19.coefficients","lm3_19.coefficients","lm4_19.coefficients","lm5_19.coefficients","lm6_19.coefficients"
"(Intercept)",0.187906428846196,0.196227127413196,0.219834462473939,0.238542264432435,0.234484422924664,0.239885932035308,0.229324491301599
"TA",0.199623733586319,0.175365968655076,0.213745275035926,0.185015882896056,0.185921341559561,0.19856536943343,0.17972454658762
"PA",-0.0064986164542649,0.0102714904255088,-0.0679775574219394,-0.0914167927262663,-0.088699843502871,-0.115909567243818,-0.0607665865884658
"DL",-0.174494399858293,-0.163950774765069,-0.164677451301593,-0.149929388871172,-0.14499044861232,-0.141202081530658,-0.136388598635971
"conflicts",-0.0426386278863198,0.0144417477047265,-0.0216762937211364,-0.000292959008311033,0.0563083835398066,0.0944738347859544,0.0344211496847902
"inv_distance_2",0.1868390238754,0.185456245741778,0.183432906820044,0.179385416650934,0.181146232289164,0.182539862949467,0.178537073956223
"gdp_mean_origin",-0.0737299516456154,0.216417596658001,0.0391862439939459,0.0766762845958138,0.368319481216991,0.583951827840255,0.210087810197446
"gdp_mean_destination",-1.32740757296123,-1.29718191666929,-1.4073688471994,-1.43659117027671,-1.43832777355381,-1.33326101955325,-1.48474937825105
"population_density_origin",0.118146951053558,-0.230385160368691,-0.0161483560693009,-0.0694676016614567,-0.419669216216581,-0.676728301324276,-0.232643157038472
"population_density_destination",1.39348043977892,1.35977974329509,1.47867314553746,1.5116861538748,1.51034367110716,1.39380906859952,1.56251971242243
