"","summary.fe..r.squared","summary.fe_lag1..r.squared","summary.fe_lag2..r.squared","summary.fe_lag3..r.squared","summary.fe_lag4..r.squared","summary.fe_lag5..r.squared","summary.fe_lag6..r.squared"
"rsq",0.00634824760531966,0.00956655390986762,0.0130276666742077,0.0142305190277126,0.0150719936922269,0.0136694066588387,0.00902524286248321
"adjrsq",-0.0663407655315071,-0.0628870291492827,-0.0591727241869831,-0.0578818790831863,-0.0569788476782991,-0.0584840387347263,-0.0634679389451618
