"","lm_16.coefficients","lm1_16.coefficients","lm2_16.coefficients","lm3_16.coefficients","lm4_16.coefficients","lm5_16.coefficients","lm6_16.coefficients"
"(Intercept)",0.117798365578187,0.152276497952202,0.150416931743336,0.197253173317993,0.240267741851844,0.263527288509811,0.10359596651146
"TA",0.0340728341876281,0.0443072611563157,-0.0391608954216442,0.0205273909316977,-0.0103960218538747,0.0278157483320401,0.151556173631325
"PA",0.275148136051333,0.0931024439210062,0.302004029597612,0.118154579151544,0.0278078398303734,-0.0536338723036014,0.12780534070217
"DL",-0.0296995395477124,-0.0437210077137785,-0.013804239648131,-0.0523376719212874,-0.0686853202171679,-0.061613619275722,-0.09196043413754
"conflicts",0.220663738360186,0.418544531992923,0.0320597113186685,0.0237858957707874,0.110999138905687,0.00277780937057589,0.106351145754801
"inv_distance_2",0.222567033388234,0.236303595755825,0.211915539271857,0.206040467498322,0.21107822189094,0.20587030073316,0.227637359457456
"gdp_mean_origin",-0.599843542321279,0.129352219128765,-1.32152192806403,-1.55846428388147,-1.30743970480743,-1.71576336392591,-1.56644047703618
"gdp_mean_destination",2.59193724504932,2.18338893948615,2.25342206342061,2.3018729556038,2.23158094367779,2.3103970536384,2.52019500127719
"population_density_origin",0.607200407100627,-0.329687614998438,1.54786643995921,1.82953889059762,1.4910674098731,2.02504872519433,1.82624023444186
"population_density_destination",-2.94039912899132,-2.46431708648712,-2.53509610314935,-2.58825810925367,-2.50960473286759,-2.59834108894189,-2.84899041321169
