Awdal,Bakool,Banadir,Bari,Bay,Galgaduud,Gedo,Hiraan,Lower Juba,Lower Shabelle,Middle Juba,Middle Shabelle,Mudug,Nugaal,Sanaag,Sool,Togdheer,Woqooyi Galbeed
0.0,517.218397179695,711.2184286605608,742.2685791799214,640.923617786956,572.5737633608322,647.779718782143,557.6283533777485,877.6226540824313,704.7725888499122,767.8883038322028,665.735779607402,623.0266476779329,644.2048977091138,479.0776471055787,482.23152046453134,285.84205947303974,142.40680970760897
517.218397179695,0.0,230.45928507639408,816.8959898581429,132.30715352845252,321.31500610908563,243.6739330346506,168.86762784995085,412.7256198299786,189.05868438665644,288.60350074465094,247.32702290105556,496.0593027536469,627.4523260513062,629.1701988588143,545.6890717637525,434.5295935449952,457.50769056258434
711.2184286605608,230.45928507639408,0.0,800.859246783686,205.43147398830348,280.46773575656505,382.1535442204009,166.20933434832915,428.1987979964169,117.53302974476132,322.26328115861133,102.18776623753683,450.30114978706547,602.6084167522287,680.1991079132545,581.2536714707682,549.3683168138598,620.8355807872097
742.2685791799214,816.8959898581429,800.859246783686,0.0,922.365371675507,525.1663653545203,1059.7604669344287,679.2907065825883,1205.1718077578257,894.8797433096588,1083.2834620103047,698.7008158086098,350.9063054152808,198.32466370672012,263.2339618440032,291.2433752842153,487.81269083022255,611.3496097134963
640.923617786956,132.30715352845252,205.43147398830348,922.365371675507,0.0,405.005883015428,177.23184843107452,245.061573499053,287.51542125054743,103.30276346548312,163.0163387992229,273.4932745437924,585.7779798722588,727.6650539835443,751.1401583194663,662.890375066994,565.184220269948,588.8293601306117
572.5737633608322,321.31500610908563,280.46773575656505,525.1663653545203,405.005883015428,0.0,560.7170798705522,160.40570263282734,681.9346867562307,369.72330919485904,562.0119286582337,180.62915684773958,180.8757553832175,327.3392562078485,406.5154366490855,305.4922251447698,330.0486511161659,446.20622285209697
647.779718782143,243.6739330346506,382.1535442204009,1059.7604669344287,177.23184843107452,560.7170798705522,0.0,401.8968636094282,233.89546735751438,272.2469430623021,150.96118297725803,448.13555623659346,738.3243469009038,871.1162915872502,862.026787880537,784.0072493975657,649.6372271740789,634.425145900955
557.6283533777485,168.86762784995085,166.20933434832915,679.2907065825883,245.061573499053,160.40570263282734,401.8968636094282,0.0,525.9573995384301,222.46547478762892,404.1518538459829,109.87431607458633,340.8588911537368,483.3385168516701,527.7367468754402,432.5970869451654,383.3033685489481,458.22960160870025
877.6226540824313,412.7256198299786,428.1987979964169,1205.1718077578257,287.51542125054743,681.9346867562307,233.89546735751438,525.9573995384301,0.0,316.5630049199518,124.70572070878872,524.0961930964123,861.9965016643134,1008.5649669398754,1038.533550150664,950.2649658743999,846.3582941318034,851.9278252144638
704.7725888499122,189.05868438665644,117.53302974476132,894.8797433096588,103.30276346548312,369.72330919485904,272.2469430623021,222.46547478762892,316.5630049199518,0.0,205.5545112392231,207.7894900555103,547.8969989093991,697.0111423210165,749.7591206466499,655.0625598317744,588.7216360609725,635.1435847719836
767.8883038322028,288.60350074465094,322.26328115861133,1083.2834620103047,163.0163387992229,562.0119286582337,150.96118297725803,404.1518538459829,124.70572070878872,205.5545112392231,0.0,412.03210826639133,742.7072492817588,887.4544292054804,913.8521476564027,825.9055063927883,722.8504801980525,733.6143516358499
665.735779607402,247.32702290105556,102.18776623753683,698.7008158086098,273.4932745437924,180.62915684773958,448.13555623659346,109.87431607458633,524.0961930964123,207.7894900555103,412.03210826639133,0.0,348.1142761540727,500.47670553160367,584.9069317215889,484.7234959256312,473.13226503467473,561.1089407906446
623.0266476779329,496.0593027536469,450.30114978706547,350.9063054152808,585.7779798722588,180.8757553832175,738.3243469009038,340.8588911537368,861.9965016643134,547.8969989093991,742.7072492817588,348.1142761540727,0.0,153.32337381936233,298.12607996882303,204.24561098530089,340.6396901707934,482.0823362448876
644.2048977091138,627.4523260513062,602.6084167522287,198.32466370672012,727.6650539835443,327.3392562078485,871.1162915872502,483.3385168516701,1008.5649669398754,697.0111423210165,887.4544292054804,500.47670553160367,153.32337381936233,0.0,212.7727230594773,162.85685571821165,362.3973053777581,502.994192587016
479.0776471055787,629.1701988588143,680.1991079132545,263.2339618440032,751.1401583194663,406.5154366490855,862.026787880537,527.7367468754402,1038.533550150664,749.7591206466499,913.8521476564027,584.9069317215889,298.12607996882303,212.7727230594773,0.0,101.66032878559861,235.97411429864795,349.2069224387595
482.23152046453134,545.6890717637525,581.2536714707682,291.2433752842153,662.890375066994,305.4922251447698,784.0072493975657,432.5970869451654,950.2649658743999,655.0625598317744,825.9055063927883,484.7234959256312,204.24561098530089,162.85685571821165,101.66032878559861,0.0,204.75499978224636,341.937556884731
285.84205947303974,434.5295935449952,549.3683168138598,487.81269083022255,565.184220269948,330.0486511161659,649.6372271740789,383.3033685489481,846.3582941318034,588.7216360609725,722.8504801980525,473.13226503467473,340.6396901707934,362.3973053777581,235.97411429864795,204.75499978224636,0.0,143.45329358047215
142.40680970760897,457.50769056258434,620.8355807872097,611.3496097134963,588.8293601306117,446.20622285209697,634.425145900955,458.22960160870025,851.9278252144638,635.1435847719836,733.6143516358499,561.1089407906446,482.0823362448876,502.994192587016,349.2069224387595,341.937556884731,143.45329358047215,0.0
