GUBID,ISOALPHA,COUNTRYNM,NAME1,NAME2,NAME3,NAME4,NAME5,NAME6,CENTROID_X,CENTROID_Y,INSIDE_X,INSIDE_Y,CONTEXT,CONTEXT_NM,WATER_CODE,TOTAL_A_KM,WATER_A_KM,LAND_A_KM,UN_2000_E,UN_2005_E,UN_2010_E,UN_2015_E,UN_2020_E,UN_2000_DS,UN_2005_DS,UN_2010_DS,UN_2015_DS,UN_2020_DS,B_2010_E,F_2010_E,M_2010_E,A00_04B,A05_09B,A10_14B,A15_19B,A20_24B,A25_29B,A30_34B,A35_39B,A40_44B,A45_49B,A50_54B,A55_59B,A60_64B,A65PLUSB,A65_69B,A70PLUSB,A70_74B,A75PLUSB,A75_79B,A80PLUSB,A80_84B,A85PLUSB,A00_04F,A05_09F,A10_14F,A15_19F,A20_24F,A25_29F,A30_34F,A35_39F,A40_44F,A45_49F,A50_54F,A55_59F,A60_64F,A65PLUSF,A65_69F,A70PLUSF,A70_74F,A75PLUSF,A75_79F,A80PLUSF,A80_84F,A85PLUSF,A00_04M,A05_09M,A10_14M,A15_19M,A20_24M,A25_29M,A30_34M,A35_39M,A40_44M,A45_49M,A50_54M,A55_59M,A60_64M,A65PLUSM,A65_69M,A70PLUSM,A70_74M,A75PLUSM,A75_79M,A80PLUSM,A80_84M,A85PLUSM
{DDA4A2B4-CE82-49E7-B0D8-1D58C638EDE6},SOM,Somalia,South,Bakool,Waajid,NA,NA,NA,43.43514451206101,3.811132471627605,43.43514451206101,3.811132471627605,0,Not applicable,L,2754.8390455749122,0.0,2754.8390455749122,68605,78651,89007,100204,115398,24.903451296074795,28.550125324503735,32.309328613216664,36.373812895151644,41.88919863952247,79317.93193212616,39885.306438008025,39432.62549411813,15030.546426872192,12281.261612819082,10511.50888146528,8321.956686097488,6692.1388081895475,5424.503058433267,4436.735316794181,3695.908236483965,3086.785447003433,2527.049430769048,2074.3243187412727,1687.447105192004,1300.569891642736,2247.1967116226597,921.9249394841812,1325.2717721384784,674.982579380776,650.2891927577023,378.6483497076222,271.64084305008015,0.0,0.0,7458.42881998664,6116.5702133003015,5235.7182444939335,4157.292002310434,3350.530386020488,2724.8785203262446,2239.1750982741346,1868.7233356920167,1572.3619256263225,1292.4650383420558,1078.4262421834987,880.8519688063692,683.2776954292397,1226.6069472163458,493.93568344282386,732.671263773522,370.45176258211785,362.2195011914041,205.80653476784326,156.41296642356087,0.0,0.0,7572.117606885552,6164.6913995187815,5275.790636971346,4164.664683787054,3341.6084221690594,2699.624538107023,2197.5602185200464,1827.1849007919486,1514.4235213771105,1234.5843924269923,995.8980765577737,806.595136385635,617.2921962134961,1020.5897644063136,427.98925604135735,592.6005083649563,304.5308167986581,288.06969156629816,172.8418149397789,115.22787662651928,0.0,0.0
{A4607561-58F7-4C9F-8848-2A2FAB98CAFD},SOM,Somalia,North-East,Bari,Qardho,NA,NA,NA,49.50587086463327,9.483594944475911,49.50587086463327,9.483594944475911,0,Not applicable,L,18370.537245408726,0.0,18370.537245408726,79888,91587,103645,116684,134376,4.348702432203831,4.985537373050424,5.641914475087198,6.351692301713297,7.31475613396032,92362.70100559058,46444.91533393088,45917.7856716597,17502.49699858294,14301.059882485515,12240.250448879333,9690.60057991976,7792.739936256075,6316.626541886106,5166.408749243099,4303.743921142318,3594.4437073063764,2942.652503852453,2415.4714094723604,1964.9676768296022,1514.4639441868433,2616.7747055478026,1073.5463653797774,1543.2283401680252,785.991422679517,757.2369174885082,440.9215351231352,316.315382365373,0.0,0.0,8685.05537513754,7122.512299919637,6096.793839500525,4841.007687024788,3901.564611126908,3173.0169196142665,2607.4338433084004,2176.0569207022313,1830.955382617296,1505.0261522037458,1255.786152475737,1025.7184604191134,795.6507683624898,1428.3369215182047,575.169230141559,853.1676913766457,431.37692260616916,421.7907687704766,239.6538458923162,182.13692287816033,0.0,0.0,8817.441623445402,7178.547582565877,6143.456609378808,4849.592892894972,3891.175325129167,3143.6096222718393,2558.9749059346987,2127.6870004400866,1763.4883246890806,1437.626351648707,1159.6852569966236,939.2492164104887,718.8131758243535,1188.4377840295979,498.37713523821844,690.0606487913794,354.61450007334776,335.4461487180316,201.26768923081897,134.17845948721265,0.0,0.0
{11FF4433-D393-47B9-B729-C0A3450C4895},SOM,Somalia,South,Gedo,Ceel Waaq,NA,NA,NA,41.44844412902717,2.660478203905319,41.44844412902717,2.660478203905319,0,Not applicable,L,8303.923233083113,0.0,8303.923233083113,19684,22566,25537,28750,33109,2.3704458058545477,2.7175106713530646,3.0752933623301963,3.46221890460873,3.9871515030501024,22757.2153544752,11443.547328814637,11313.66802566054,4312.43444703613,3523.633414783627,3015.871259990523,2387.6638720005335,1920.0506156707615,1556.3515246137617,1272.9497430857225,1060.3980413914153,885.6337962849109,725.0391772269898,595.1472017325801,484.14773603781214,373.1482703430441,644.7462542773646,264.51073392150926,380.23552035585533,193.66016669007348,186.57535366578185,108.6385112169427,77.93684244883916,0.0,0.0,2139.9079215492384,1754.913450012234,1502.187017776287,1192.7742829827432,961.3052142058941,781.7985894401743,642.4447623194183,536.1579450239262,451.12849118753263,370.82289589760535,309.41273479354334,252.7264322359476,196.04012967835186,351.92746171174014,141.71575639398932,210.2117053177508,106.28681729549199,103.92488802225883,59.04823183082888,44.876656191429944,0.0,0.0,2172.5265254868914,1768.719964771393,1513.6842422142363,1194.8895890177903,958.7454014648673,774.5529351735873,630.5049807663042,524.2400963674891,434.5053050973783,354.21628132938446,285.7344669390368,231.42130380186452,177.10814066469223,292.8187925656245,122.79497752751995,170.02381503810454,87.37334939458151,82.65046564352303,49.59027938611382,33.060186257409214,0.0,0.0
{84F6E869-67DE-4D49-B5FD-E1B693D393E7},SOM,Somalia,South,Juba Hoose (Lower),Afmadow/Xagar,NA,NA,NA,41.78567672855519,0.5801934116562348,41.78567672855519,0.5801934116562348,0,Not applicable,L,27360.926903844833,81.37944483422017,27279.546981086187,50532,57932,65559,73807,84998,1.8523768021160876,2.12364230389039,2.4032290582191203,2.705580120196748,3.115814205380021,58422.62917616672,29378.028534575526,29044.600641591198,11070.939683144274,9045.919069539053,7742.385240065696,6129.64278882154,4929.179751192387,3995.4865555372535,3267.93369231659,2722.26810646064,2273.610987121908,1861.330322252967,1527.8698966663483,1242.9105762034944,957.9512557406404,1655.2012511039343,679.0555118587104,976.1457392452239,497.1669832400601,478.97875600516386,278.8982463898051,200.0805096153588,0.0,0.0,5493.6003823169085,4505.237399626339,3856.434705467499,3062.1061733664887,2467.8756684359623,2007.0438482857578,1649.2928300112571,1376.4318838696888,1158.1431269564343,951.9815232050271,794.32853210101,648.8026941588403,503.2768562166704,903.4729105576373,363.81459485542445,539.6583157022128,272.86094614156826,266.7973695606446,151.5894145230935,115.20795503755107,0.0,0.0,5577.339300827365,4540.681669912714,3885.950534598197,3067.536615455051,2461.304082756424,1988.4427072514954,1618.640862305333,1345.8362225909511,1115.4678601654732,909.34879904794,733.5413645653382,594.1078820446542,454.67439952397,751.728340546297,315.24091700328586,436.4874235430112,224.30603709849186,212.18138644451932,127.30883186671159,84.87255457780773,0.0,0.0
{ADDCDDB0-6AF9-465D-9F5F-247BD479A4F8},SOM,Somalia,South,Gedo,Baardheere,NA,NA,NA,41.70175786659549,2.084877036032978,41.70175786659549,2.084877036032978,0,Not applicable,L,14887.313136199176,0.0,14887.313136199176,104513,119818,135593,152651,175797,7.020272835255403,8.048329399927587,9.107956470016035,10.253764302762074,11.808510937580914,120833.120054778,60761.36762327013,60071.75243150787,22897.56901933989,18709.302206161614,16013.256822150139,12677.687968495746,10194.81966228227,8263.700443653353,6758.932792703415,5630.355113553183,4702.416054168917,3849.7129188109648,3160.0304412058194,2570.6608036910707,1981.2911661763214,3423.3846423852983,1404.4625746106478,2018.9220677746507,1028.2700148939039,990.6520528807469,576.8337673997426,413.8182854810043,0.0,0.0,11362.18762986228,9317.997140162994,7976.105223611933,6333.22820428306,5104.205701273673,4151.086209143945,3411.164498148499,2846.8174304401073,2395.339776273395,1968.9442140048325,1642.8770193288728,1341.891916551064,1040.9068137732554,1868.6158464122293,752.462756944522,1116.1530894677073,564.3470677083913,551.8060217593161,313.5261487268841,238.27987303243194,0.0,0.0,11535.38138947761,9391.305065998622,8037.151598538206,6344.4597642126855,5090.6139610085975,4112.6142345094095,3347.7682945549154,2783.5376831130757,2307.0762778955223,1880.768704806132,1517.1534218769464,1228.7688871400067,940.384352403066,1554.7687959730692,651.9998176661259,902.7689783069434,463.9229471855126,438.8460311214308,263.3076186728585,175.53841244857233,0.0,0.0
{B6C31158-B105-4064-8015-9E23F991E144},SOM,Somalia,Central,Galgaduud,Ceel Buur,NA,NA,NA,46.83937291049144,4.758217932799395,46.83937291049144,4.758217932799395,0,Not applicable,L,13374.8347973924,0.0,13374.8347973924,77856,89257,101009,113716,130959,5.82108124544305,6.673502989166029,7.552168047690057,8.502235857310959,9.791448042822346,90013.68657812325,45263.70500753194,44749.981570591306,17057.364737196534,13937.348171737693,11928.950274813498,9444.144377088738,7594.55107494659,6155.978935024594,5035.014056818167,4194.288952276951,3503.0280163915904,2867.8134929604494,2354.0399319580556,1914.9936356622663,1475.947339366477,2550.2235818816453,1046.2433970454108,1503.9801848362345,766.0016955316717,737.9784893045627,429.7077980181257,308.270691286437,0.0,0.0,8464.172701098852,6941.369003219036,5941.737127923699,4717.888757235011,3802.3380677121772,3092.319165633245,2541.1202811246003,2120.7143522620745,1784.389609172054,1466.749574031479,1223.8483706886864,999.6318752953391,775.415379901992,1392.0107422336964,560.5412384833677,831.4695037503287,420.40592886252574,411.063574887803,233.55884936806987,177.5047255197331,0.0,0.0,8593.192036097684,6995.979168518657,5987.213146889799,4726.255619853726,3792.2130072344125,3063.659769391348,2493.893775693567,2073.574600014876,1718.6384072195367,1401.0639189289702,1130.1915612693692,915.3617603669272,700.5319594644851,1158.2128396479486,485.702158562043,672.5106810859056,345.595766669146,326.9149144167597,196.14894865005581,130.76596576670389,0.0,0.0
{D5A48F4E-CFC8-421C-98DE-530D0CA38FDB},SOM,Somalia,South,Bay,Buur Hakaba,NA,NA,NA,44.01881719321804,2.4815770796592584,44.01881719321804,2.4815770796592584,0,Not applicable,L,17623.101363610996,0.0,17623.101363610996,123653,141761,160425,180607,207992,7.016528898558372,8.04404384194911,9.103108283270336,10.248309663185946,11.802235923665037,142962.11062051193,71889.00986479202,71073.1007557199,27090.956466237792,22135.663884349895,18945.873384425377,14999.439135087981,12061.86628016096,9777.088073408806,7996.742094791773,6661.480314434093,5563.601467999873,4554.737011729627,3738.7482943008526,3041.44338918413,2344.1384840674064,4050.332340333342,1661.6713518845936,2388.6609884487484,1216.5840917653677,1172.0768966833807,682.4732559025549,489.6036407808257,0.0,0.0,13443.022278122098,11024.465289894833,9436.823585966506,7493.075331624349,6038.973584101208,4911.302841124078,4035.874238023412,3368.1744559974795,2834.014630376734,2329.5303506238074,1943.748254342158,1587.6417039283274,1231.5351535144966,2210.828167152531,890.2663760345762,1320.5617911179547,667.6997820259321,652.8620090920225,370.94432334774007,281.91768574428244,0.0,0.0,13647.934188115694,11111.198594455062,9509.049798458871,7506.363803463632,6022.892696059754,4865.785232284727,3960.86785676836,3293.3058584366136,2729.586837623139,2225.20666110582,1795.0000399586945,1453.8016852558026,1112.60333055291,1839.5041731808112,771.4049758500175,1068.0991973307937,548.8843097394356,519.214887591358,311.5289325548148,207.68595503654322,0.0,0.0
{158EC44A-9C18-4A69-9D42-8D6A0CC529CF},SOM,Somalia,South,Shabelle Dhexe (Middle),Jowhar/Mahaday,NA,NA,NA,45.56420232558804,2.9840455358267564,45.56420232558804,2.9840455358267564,0,Not applicable,L,4763.216328448327,0.0,4763.216328448327,265050,303863,343871,387130,445830,55.64517370688959,63.79365937784038,72.1930259489222,81.27491453366598,93.59852025558418,306438.264387874,154093.5798717072,152344.68451616683,58069.27194967035,47447.63764574895,40610.344461455745,32151.190797321884,25854.524336050345,20957.118546855774,17140.959640629764,14278.83553865416,11925.540062326792,9763.046296389668,8013.980300905657,6519.312210558779,5024.6441202118995,8681.858481094248,3561.780690313258,5120.077790780991,2607.739322988057,2512.3384677929334,1462.8765560482286,1049.4619117447048,0.0,0.0,28815.02236610252,23630.862713039925,20227.76404507859,16061.353526359573,12944.496802432368,10527.342608366373,8650.867641920404,7219.657921749748,6074.690145613225,4993.331690373174,4166.410518719018,3403.098667961335,2639.7868172036524,4738.89440678728,1908.2796268942068,2830.6147798930733,1431.209720170655,1399.4050597224182,795.1165112059194,604.2885485164987,0.0,0.0,29254.24958356783,23816.77493270903,20382.580416377154,16089.837270962309,12910.027533617978,10429.775938489402,8490.09199870936,7059.177616904412,5850.849916713567,4769.714606016494,3847.569782186639,3116.2135425974434,2384.857303008247,3942.9640743069685,1653.5010634190514,2289.4630108879173,1176.529602817402,1112.9334080705153,667.7600448423092,445.17336322820614,0.0,0.0
{4EB2DA8C-BB05-4099-B970-16715F86C879},SOM,Somalia,South,Bakool,Tayeeglow,NA,NA,NA,44.52430191054056,3.8348968034628528,44.52430191054056,3.8348968034628528,0,Not applicable,L,6692.052735366397,0.0,6692.052735366397,79786,91470,103514,116536,134206,11.922500188670679,13.66845176168384,15.468198487579983,17.414088712141556,20.054534132814492,92245.4779018943,46385.969275975935,45859.50862591836,17480.283518484684,14282.909540330947,12224.71560492159,9678.301651193211,7782.849697537627,6308.609728171603,5159.851746665692,4298.281778800683,3589.8817808702224,2938.917805149994,2412.405788259195,1962.473817217085,1512.5418461749746,2613.4535981167883,1072.1838625995256,1541.2697355172625,784.9938733111894,756.275862206073,440.36193487031744,315.9139273357556,0.0,0.0,8674.0326447955,7113.4726877296425,6089.056028796841,4834.863670664157,3896.6128989313115,3168.9898514650226,2604.124590931982,2173.2951549322056,1828.6316061323846,1503.1160322658868,1254.1923581326828,1024.416658932802,794.640959732921,1426.5241325325933,574.439247999702,852.0848845328912,430.8294359997765,421.25544853311476,239.34968666654248,181.90576186657228,0.0,0.0,8806.250873689187,7169.436852601306,6135.659576124749,4843.437980529053,3886.2367986063155,3139.61987670658,2555.7271557337103,2124.986623868478,1761.2501747378376,1435.8017728841069,1158.2134301265125,938.0571582842831,717.9008864420534,1186.929465584195,497.74461459982365,689.1848509843712,354.164437311413,335.0204136729582,201.01224820377493,134.0081654691833,0.0,0.0
{2A056B3F-CA3F-4C06-BEE5-56E1385C2397},SOM,Somalia,North-East,Bari,Bandarbayla,NA,NA,NA,50.324244352337814,9.213020987511499,50.324244352337814,9.213020987511499,0,Not applicable,L,11102.858555721692,0.0,11102.858555721692,14151,16224,18360,20669,23803,1.2745366365770276,1.461245310707773,1.6536281992477018,1.8615926606890385,2.1438623108220614,16361.158628522477,8227.267273406651,8133.891355115825,3100.397960121597,2533.294357417957,2168.2419100632023,1716.5961104160683,1380.4084642369921,1118.9292617447218,915.1793111922567,762.3665854692438,636.7209169529851,521.2624130733755,427.8773840821955,348.07500766551277,268.2726312488302,463.53631483753765,190.16834921262358,273.36796562491406,139.23077397161927,134.1371916532948,78.10498285931035,56.03220879398444,0.0,0.0,1538.4735087113368,1261.6841246937342,1079.9880259827928,857.537662140425,691.1244128537683,562.0692399375854,461.8816714894963,385.4674243680722,324.33602667093305,266.600817734746,222.4503638423677,181.69609871094156,140.94183357951542,253.01606269093728,101.88566282856536,151.13039986237192,76.41424712142401,74.71615274094792,42.45235951190223,32.26379322904569,0.0,0.0,1561.9244514102604,1271.6102327242231,1088.2538840804098,859.0584482756434,689.2840513832238,556.8600218071364,453.2976397027604,376.8991611011716,312.38489028205214,254.66159533862947,205.42702023982775,166.37890895457124,127.33079766931473,210.52025214660037,88.28268638405822,122.23756576254215,62.81652685019527,59.42103891234687,35.652623347408124,23.76841556493875,0.0,0.0
