time,admin1,TA,PA,DL,conflicts,month
1997-01,Awdal,-0.11824100493575555,-0.4789567278754335,0,0.0,January
1997-01,Bakool,-0.17634979429294587,-0.3548924095844961,0,0.0,January
1997-01,Banadir,-0.1006511659877337,-0.07618529067229542,0,0.0,January
1997-01,Bari,-0.21055623440079127,-0.03038953385582624,0,0.0,January
1997-01,Bay,-0.07044497831989154,-0.16799350986189834,0,0.0,January
1997-01,Galgaduud,-0.22646677726338846,-0.15364759335548517,0,0.0,January
1997-01,Gedo,-0.08261407010802939,-0.357869997747694,0,0.0,January
1997-01,Hiraan,-0.156151776914358,-0.2499059446499182,0,0.0,January
1997-01,Lower_Juba,0.05309801349818947,-0.11756250719376797,1,0.0,January
1997-01,Lower_Shabelle,-0.06374833556555355,-0.05052189165975845,0,0.0,January
1997-01,Middle_Juba,-0.012417922165870343,0.03698348617418498,0,0.0,January
1997-01,Middle_Shabelle,-0.14006458292009805,-0.1358629806214499,0,0.0,January
1997-01,Mudug,-0.1861467085725165,-0.024463610410777475,0,0.0,January
1997-01,Nugaal,-0.1690681282176607,-0.06477721552738937,0,0.0,January
1997-01,Sanaag,-0.16081021309264243,-0.32553113956419594,0,0.0,January
1997-01,Sool,-0.17872264895642054,-0.4034467974252176,0,0.0,January
1997-01,Togdheer,-0.13431022174739685,-0.41295918872585724,0,0.0,January
1997-01,Woqooyi_Galbeed,-0.20324514004454955,-0.40395331071488916,0,0.0,January
1997-02,Awdal,0.09804482084907311,-0.4238153550276918,1,0.0,February
1997-02,Bakool,-0.15787974446950703,-0.3059078971361887,0,0.0,February
1997-02,Banadir,0.018560668777146065,-0.030402500438221746,1,0.0,February
1997-02,Bari,0.21632657491848226,0.008494175371456284,2,0.0,February
1997-02,Bay,0.030957142118557632,-0.2476982695047276,3,0.0,February
1997-02,Galgaduud,-0.23969877553925886,-0.06302899266944371,0,0.0,February
1997-02,Gedo,-0.025964662404608135,-0.5322687965368201,0,0.0,February
1997-02,Hiraan,-0.11358187622532252,-0.12834153093387946,0,0.0,February
1997-02,Lower_Juba,0.27665094368107274,-0.27410583937331984,1,1.0,February
1997-02,Lower_Shabelle,0.08096630102564399,-0.032336108239232435,2,0.0,February
1997-02,Middle_Juba,0.1764176899311498,-0.21318095353558228,3,0.0,February
1997-02,Middle_Shabelle,-0.045940396407529276,-0.0063138819139842055,0,0.0,February
1997-02,Mudug,-0.043116416719298355,-0.0008636648688076232,0,0.0,February
1997-02,Nugaal,0.20124351392641038,-0.031123361584523182,1,0.0,February
1997-02,Sanaag,0.22016193126413108,-0.30157210937058526,2,0.0,February
1997-02,Sool,0.22240632622049317,-0.3675882165174158,3,0.0,February
1997-02,Togdheer,0.16239549111360227,-0.3833866819819889,4,0.0,February
1997-02,Woqooyi_Galbeed,0.06385982291807378,-0.37004446903928984,5,0.0,February
1997-03,Awdal,0.32393848398917247,-0.11993843347709869,6,0.0,March
1997-03,Bakool,0.15466431988987395,0.16980620722629217,7,0.0,March
1997-03,Banadir,0.19177406866685276,0.23715032307286266,8,0.0,March
1997-03,Bari,0.3061035910538223,0.14075098069398884,9,0.0,March
1997-03,Bay,0.25714406256331945,0.2891253792892888,10,0.0,March
1997-03,Galgaduud,0.10651208918006137,0.24784511431281567,11,0.0,March
1997-03,Gedo,0.2222471537253423,0.14585762669762192,12,0.0,March
1997-03,Hiraan,0.1617784139147275,0.19550150578445166,13,0.0,March
1997-03,Lower_Juba,0.4554869513778703,0.47441725499969184,14,0.0,March
1997-03,Lower_Shabelle,0.2373189123142261,0.2858668489338933,15,0.0,March
1997-03,Middle_Juba,0.3681235936925266,0.4443973121871004,16,0.0,March
1997-03,Middle_Shabelle,0.14340219106901184,0.19725148386585192,17,0.0,March
1997-03,Mudug,0.18865745168096956,0.3430610217634493,18,1.0,March
1997-03,Nugaal,0.3343464150668339,0.13084862161327776,19,0.0,March
1997-03,Sanaag,0.3320402667924784,-0.11217310012143004,20,0.0,March
1997-03,Sool,0.338980892559744,-0.26354949581820086,21,0.0,March
1997-03,Togdheer,0.3233971261511121,-0.299063301052595,22,0.0,March
1997-03,Woqooyi_Galbeed,0.2999493478809767,-0.23408691937383494,23,0.0,March
1997-04,Awdal,-0.16945867220309416,-0.17959821706294174,0,0.0,April
1997-04,Bakool,-0.4272933252415361,0.159423218500119,0,0.0,April
1997-04,Banadir,-0.3280142978825878,0.15834888309760717,0,1.0,April
1997-04,Bari,0.059740143503212516,0.06473997624902177,1,0.0,April
1997-04,Bay,-0.36744944511816957,0.466576901072032,0,0.0,April
1997-04,Galgaduud,-0.3856962370669345,0.1296331480248787,0,0.0,April
1997-04,Gedo,-0.4485964254836409,0.4996967755369098,0,0.0,April
1997-04,Hiraan,-0.3788440692606943,0.13675585187628847,0,0.0,April
1997-04,Lower_Juba,-0.2727903094445538,0.6983525653356307,0,0.0,April
1997-04,Lower_Shabelle,-0.33232994611827754,0.31275771547180103,0,0.0,April
1997-04,Middle_Juba,-0.32115515339536693,0.6689261000677597,0,0.0,April
1997-04,Middle_Shabelle,-0.319197307998419,0.07013819812368204,0,0.0,April
1997-04,Mudug,-0.289280717673254,0.23606289474968797,0,0.0,April
1997-04,Nugaal,-0.06083583291327247,0.12758224125558743,0,0.0,April
1997-04,Sanaag,-0.0625964029829182,-0.14727654895053488,0,0.0,April
1997-04,Sool,-0.09830637278545552,-0.03930336864862738,0,0.0,April
1997-04,Togdheer,-0.1843454520982614,-0.05452141536031276,0,0.0,April
1997-04,Woqooyi_Galbeed,-0.1841666920169711,-0.09627487469181266,0,0.0,April
1997-05,Awdal,-0.12118577655904457,-0.1740596816247237,0,0.0,May
1997-05,Bakool,-0.43067657192900954,0.15620476272756814,0,0.0,May
1997-05,Banadir,-0.47381954886332095,0.19244893807668104,0,0.0,May
1997-05,Bari,-0.031744085374296134,0.036195594943006955,0,0.0,May
1997-05,Bay,-0.5034998016114246,0.45110917739754935,0,0.0,May
1997-05,Galgaduud,-0.30811611569080594,0.2034473012219767,0,0.0,May
1997-05,Gedo,-0.5443919983816824,0.481220152343852,0,0.0,May
1997-05,Hiraan,-0.39736655227142753,0.2077457339999448,0,0.0,May
1997-05,Lower_Juba,-0.6745298347290283,0.8509684139814132,0,0.0,May
1997-05,Lower_Shabelle,-0.529258820366849,0.2937108192922985,0,0.0,May
1997-05,Middle_Juba,-0.6345643517244847,0.768176264118721,0,0.0,May
1997-05,Middle_Shabelle,-0.4124148505321596,0.11275700377426508,0,0.0,May
1997-05,Mudug,-0.27952520774849476,0.2999960235220486,0,0.0,May
1997-05,Nugaal,-0.17168622993831353,0.13156425603776398,0,0.0,May
1997-05,Sanaag,-0.13980277025410956,-0.19525715113044528,0,0.0,May
1997-05,Sool,-0.1964053213474639,-0.017751749440347697,0,0.0,May
1997-05,Togdheer,-0.2206864780515295,-0.01366097207296832,0,0.0,May
1997-05,Woqooyi_Galbeed,-0.16320695241607536,-0.08042308120089396,0,0.0,May
1997-06,Awdal,-0.5119566056473948,-0.39194946562814126,0,0.0,June
1997-06,Bakool,-0.8419281284075825,0.08220828916755892,0,0.0,June
1997-06,Banadir,-0.720515415517343,0.3538984372595595,0,0.0,June
1997-06,Bari,-0.2801359488460914,-0.12262040807998109,0,0.0,June
1997-06,Bay,-0.8257390301951645,0.6937482378303139,0,1.0,June
1997-06,Galgaduud,-0.666374131273507,0.09951701183083761,0,0.0,June
1997-06,Gedo,-0.9575704364273786,0.8870050917442048,0,4.0,June
1997-06,Hiraan,-0.7094501846989371,0.16196333951314318,0,0.0,June
1997-06,Lower_Juba,-0.9599425425837763,1.3638564130104898,0,3.0,June
1997-06,Lower_Shabelle,-0.7655146374405292,0.4890948702082665,0,2.0,June
1997-06,Middle_Juba,-0.921292719008116,1.1226196761911096,0,0.0,June
1997-06,Middle_Shabelle,-0.6680975004599669,0.09152889083589538,0,0.0,June
1997-06,Mudug,-0.6024505428734136,0.07394433400392446,0,0.0,June
1997-06,Nugaal,-0.46370553942873616,0.018921922689039982,0,0.0,June
1997-06,Sanaag,-0.4320555354795664,-0.3578003983038798,0,0.0,June
1997-06,Sool,-0.49752903707302654,-0.012910002041632082,0,0.0,June
1997-06,Togdheer,-0.5579311697078325,-0.0017089638447616202,0,1.0,June
1997-06,Woqooyi_Galbeed,-0.5466620441764375,-0.16015163323865514,0,0.0,June
1997-07,Awdal,0.40305495276884146,-0.4857336270883088,1,0.0,July
1997-07,Bakool,-0.2628019744577894,0.01113096494940454,0,1.0,July
1997-07,Banadir,-0.2434020379515055,0.29863823673742185,0,0.0,July
1997-07,Bari,0.6191842032486006,-0.2665416274990857,1,0.0,July
1997-07,Bay,-0.21493677205493047,0.6920310071547834,0,0.0,July
1997-07,Galgaduud,-0.22861119047504616,0.039780183068652074,0,0.0,July
1997-07,Gedo,-0.27256906330084235,1.0572859384509357,0,0.0,July
1997-07,Hiraan,-0.2231521123749974,0.057134911777566716,0,0.0,July
1997-07,Lower_Juba,-0.2297679022401997,1.1503084014029004,0,0.0,July
1997-07,Lower_Shabelle,-0.2514980460063511,0.3911527735510014,0,0.0,July
1997-07,Middle_Juba,-0.2487105473219069,0.934665331483795,0,0.0,July
1997-07,Middle_Shabelle,-0.23345127674156604,0.0832303527530641,0,0.0,July
1997-07,Mudug,0.020601513082471785,0.02016393787248823,1,0.0,July
1997-07,Nugaal,0.40146355080519897,0.018173284962559353,2,0.0,July
1997-07,Sanaag,0.5330471234308444,-0.5089110098520385,3,0.0,July
1997-07,Sool,0.42240644703868574,-0.08736032171278452,4,0.0,July
1997-07,Togdheer,0.363522547656701,-0.14490420850672522,5,0.0,July
1997-07,Woqooyi_Galbeed,0.3636042622748734,-0.3043467227133449,6,0.0,July
1997-08,Awdal,0.850083941248894,-0.5715852454658877,7,0.0,August
1997-08,Bakool,0.35575952495120927,0.08938457205056437,8,3.0,August
1997-08,Banadir,0.18952210505277436,0.2534375771965511,9,2.0,August
1997-08,Bari,0.9927128575129226,-0.3625637096611711,10,0.0,August
1997-08,Bay,0.36668125651338923,0.6960054267567144,11,1.0,August
1997-08,Galgaduud,0.038010657907457925,0.04360573996247869,12,0.0,August
1997-08,Gedo,0.45844496614424113,1.0899032184350543,13,0.0,August
1997-08,Hiraan,0.19266265455948692,0.05911358970677888,14,1.0,August
1997-08,Lower_Juba,0.37237955058718414,0.868630953951865,15,2.0,August
1997-08,Lower_Shabelle,0.23867508965952453,0.32362137854182904,16,0.0,August
1997-08,Middle_Juba,0.3516018327907487,0.7666920797012655,17,0.0,August
1997-08,Middle_Shabelle,0.13696171154109668,0.06553159633033706,18,1.0,August
1997-08,Mudug,0.40037332440017753,0.029129209995028382,19,0.0,August
1997-08,Nugaal,0.8086773280496816,0.061873602875645146,20,0.0,August
1997-08,Sanaag,0.9664417612193491,-0.6068161231217248,21,0.0,August
1997-08,Sool,0.8652766631773353,-0.09557218353416475,22,0.0,August
1997-08,Togdheer,0.8193377878427146,-0.20421501958713217,23,0.0,August
1997-08,Woqooyi_Galbeed,0.8157380514887983,-0.3835610133644051,24,0.0,August
1997-09,Awdal,1.3004396021521087,-0.6203472557761036,25,0.0,September
1997-09,Bakool,0.8231975487794747,-0.03773246591007958,26,0.0,September
1997-09,Banadir,0.5247109127210208,-0.004804656052519853,27,0.0,September
1997-09,Bari,1.4069848791055657,-0.38748628071627644,28,0.0,September
1997-09,Bay,0.8063269585288505,0.22647905344032426,29,0.0,September
1997-09,Galgaduud,0.36364807471696664,0.0010037185021870888,30,0.0,September
1997-09,Gedo,1.0568481962451315,0.6493776376952066,31,0.0,September
1997-09,Hiraan,0.5498730125678436,-0.029558066887931857,32,0.0,September
1997-09,Lower_Juba,0.9337112728496217,-0.18498545292894253,33,0.0,September
1997-09,Lower_Shabelle,0.6040863035447099,-0.03489975473457226,34,0.0,September
1997-09,Middle_Juba,0.857417779526125,-0.06015980325437977,35,0.0,September
1997-09,Middle_Shabelle,0.4386697325689847,0.024934003913133173,36,0.0,September
1997-09,Mudug,0.6982020106694685,0.012884849520568023,37,0.0,September
1997-09,Nugaal,1.1574313255675637,0.05509748116153756,38,0.0,September
1997-09,Sanaag,1.3925587654660132,-0.6532765030702721,39,0.0,September
1997-09,Sool,1.250885377769968,-0.13926150142395763,40,0.0,September
1997-09,Togdheer,1.2267065739546141,-0.252917710829386,41,0.0,September
1997-09,Woqooyi_Galbeed,1.2682114097509096,-0.41318805363192707,42,0.0,September
1997-10,Awdal,0.4510318728490759,1.1536802653182356,43,0.0,October
1997-10,Bakool,0.06893551534702036,0.13705781628023359,44,0.0,October
1997-10,Banadir,0.04785676111454751,0.22802213227574364,45,1.0,October
1997-10,Bari,1.0206100351242526,0.514926101199965,46,0.0,October
1997-10,Bay,0.21417208461814718,0.7032815844878798,47,0.0,October
1997-10,Galgaduud,-0.3867069431016836,0.2218448922658058,0,0.0,October
1997-10,Gedo,0.36622585524488654,1.0693306954070687,1,0.0,October
1997-10,Hiraan,-0.10218141543328281,0.22534682832482142,0,0.0,October
1997-10,Lower_Juba,0.4876422526145687,0.7996398288461043,1,0.0,October
1997-10,Lower_Shabelle,0.1582148166265731,0.3351717347231075,2,0.0,October
1997-10,Middle_Juba,0.38250326861281647,0.8106387014548383,3,0.0,October
1997-10,Middle_Shabelle,-0.06817030385427876,0.11320578483692123,0,0.0,October
1997-10,Mudug,-0.030500597178334827,0.21264556691890235,0,0.0,October
1997-10,Nugaal,0.6066009294351802,0.3890319469985728,1,0.0,October
1997-10,Sanaag,0.8385833377980748,0.7604842284182451,2,0.0,October
1997-10,Sool,0.6410100998544187,0.45758439762069275,3,0.0,October
1997-10,Togdheer,0.48137658495002383,0.37966565836562244,4,0.0,October
1997-10,Woqooyi_Galbeed,0.46076298842196817,0.5866252000089036,5,0.0,October
1997-11,Awdal,0.6219685731814752,2.038137620844628,6,0.0,November
1997-11,Bakool,-0.8712766373198909,0.9017703502509731,0,0.0,November
1997-11,Banadir,-0.7376742366970257,1.0360692683975696,0,1.0,November
1997-11,Bari,1.435389479735723,1.0135005009917166,1,0.0,November
1997-11,Bay,-0.8000176219045301,1.6668945006018332,0,0.0,November
1997-11,Galgaduud,-0.843409238509949,0.7839373422931635,0,0.0,November
1997-11,Gedo,-0.8333336926410312,2.183630957690985,0,0.0,November
1997-11,Hiraan,-0.8104093001947947,0.9578155406384431,0,0.0,November
1997-11,Lower_Juba,-0.7381706276725009,2.0256981580955498,0,0.0,November
1997-11,Lower_Shabelle,-0.7345667760422502,1.2320768750487463,0,0.0,November
