new_province_id,ident_yrmth,yr_id,month_id,TA3_m50,TA1_m80,TA2_m80,TA3_m80,TA4_m80,TA5_m80,TA6_m80,TA3_a80,PA1_83,PA2_83,PA3_83,PA4_83,PA5_83,PA6_83,DL_TA3_m50,DL_TA1_m80,DL_TA2_m80,DL_TA3_m80,DL_TA4_m80,DL_TA5_m80,DL_TA6_m80,DL_TA3_a80,DL_PA1_83,DL_PA2_83,DL_PA3_83,DL_PA4_83,DL_PA5_83,DL_PA6_83,TA3_a97,PA3_97,DL_TA3_a97,DL_PA3_97,tot_violent_mth,tot_conflict_mth,tot_ucdp_mth,lwage,lprice_rice,lprice_whmaize,lprice_sorghum,lr_rat_price_camlo_petro,lr_rat_price_catlo_petro,lr_rat_price_catex_sugar,lr_rat_price_catex_rrice,lr_rat_price_catex_petro,lr_rat_price_goaex_petro,lr_rat_price_sheex_petro,newident_yrmth,rainy,x_coord,y_coord,Interdum1_1,Interdum2_1,Interdum3_1,Interdum4_1,Interdum5_1,Interdum6_1,Interdum7_1,Interdum8_1,Interdum9_1,Interdum10_1,Interdum11_1,Interdum12_1,Interdum13_1,Interdum14_1,Interdum15_1,Interdum16_1,Interdum17_1,Interdum18_1,Interdum1_2,Interdum2_2,Interdum3_2,Interdum4_2,Interdum5_2,Interdum6_2,Interdum7_2,Interdum8_2,Interdum9_2,Interdum10_2,Interdum11_2,Interdum12_2,Interdum13_2,Interdum14_2,Interdum15_2,Interdum16_2,Interdum17_2,Interdum18_2,Interdum1_3,Interdum2_3,Interdum3_3,Interdum4_3,Interdum5_3,Interdum6_3,Interdum7_3,Interdum8_3,Interdum9_3,Interdum10_3,Interdum11_3,Interdum12_3,Interdum13_3,Interdum14_3,Interdum15_3,Interdum16_3,Interdum17_3,Interdum18_3,Interdum1_4,Interdum2_4,Interdum3_4,Interdum4_4,Interdum5_4,Interdum6_4,Interdum7_4,Interdum8_4,Interdum9_4,Interdum10_4,Interdum11_4,Interdum12_4,Interdum13_4,Interdum14_4,Interdum15_4,Interdum16_4,Interdum17_4,Interdum18_4,Interdum1_5,Interdum2_5,Interdum3_5,Interdum4_5,Interdum5_5,Interdum6_5,Interdum7_5,Interdum8_5,Interdum9_5,Interdum10_5,Interdum11_5,Interdum12_5,Interdum13_5,Interdum14_5,Interdum15_5,Interdum16_5,Interdum17_5,Interdum18_5,Interdum1_6,Interdum2_6,Interdum3_6,Interdum4_6,Interdum5_6,Interdum6_6,Interdum7_6,Interdum8_6,Interdum9_6,Interdum10_6,Interdum11_6,Interdum12_6,Interdum13_6,Interdum14_6,Interdum15_6,Interdum16_6,Interdum17_6,Interdum18_6,Interdum1_7,Interdum2_7,Interdum3_7,Interdum4_7,Interdum5_7,Interdum6_7,Interdum7_7,Interdum8_7,Interdum9_7,Interdum10_7,Interdum11_7,Interdum12_7,Interdum13_7,Interdum14_7,Interdum15_7,Interdum16_7,Interdum17_7,Interdum18_7,Interdum1_8,Interdum2_8,Interdum3_8,Interdum4_8,Interdum5_8,Interdum6_8,Interdum7_8,Interdum8_8,Interdum9_8,Interdum10_8,Interdum11_8,Interdum12_8,Interdum13_8,Interdum14_8,Interdum15_8,Interdum16_8,Interdum17_8,Interdum18_8,Interdum1_9,Interdum2_9,Interdum3_9,Interdum4_9,Interdum5_9,Interdum6_9,Interdum7_9,Interdum8_9,Interdum9_9,Interdum10_9,Interdum11_9,Interdum12_9,Interdum13_9,Interdum14_9,Interdum15_9,Interdum16_9,Interdum17_9,Interdum18_9,Interdum1_10,Interdum2_10,Interdum3_10,Interdum4_10,Interdum5_10,Interdum6_10,Interdum7_10,Interdum8_10,Interdum9_10,Interdum10_10,Interdum11_10,Interdum12_10,Interdum13_10,Interdum14_10,Interdum15_10,Interdum16_10,Interdum17_10,Interdum18_10,Interdum1_11,Interdum2_11,Interdum3_11,Interdum4_11,Interdum5_11,Interdum6_11,Interdum7_11,Interdum8_11,Interdum9_11,Interdum10_11,Interdum11_11,Interdum12_11,Interdum13_11,Interdum14_11,Interdum15_11,Interdum16_11,Interdum17_11,Interdum18_11,Interdum1_12,Interdum2_12,Interdum3_12,Interdum4_12,Interdum5_12,Interdum6_12,Interdum7_12,Interdum8_12,Interdum9_12,Interdum10_12,Interdum11_12,Interdum12_12,Interdum13_12,Interdum14_12,Interdum15_12,Interdum16_12,Interdum17_12,Interdum18_12,DL_TAPA3_m83,lprice_ymaize1,lratio_catlo_missing,lratio_goaex_missing,lratio_sheex_missing,lratio_camlo_missing,lratio_sugar_missing,lratio_rrice_missing,med_pastoralist,med_agro,farming,w2x_TA3_m80,w2x_DL_TA3_m80,_merge,res2_tot_violent_mth,res2_TA3_m80,res2_DL_TA3_m80,res2_tot_conflict_mth,res2_tot_ucdp_mth,interTDI,res2_interTDI,res2_PA3_83,res2_DL_PA3_83,res2_TA3_m50,res2_DL_TA3_m50,res2_TA3_a97,res2_DL_TA3_a97,res2_TA3_a80,res2_DL_TA3_a80,res2_TA1_m80,res2_DL_TA1_m80,res2_TA2_m80,res2_DL_TA2_m80,res2_TA4_m80,res2_DL_TA4_m80,res2_TA5_m80,res2_DL_TA5_m80,res2_TA6_m80,res2_DL_TA6_m80,res2_PA1_83,res2_DL_PA1_83,res2_PA2_83,res2_DL_PA2_83,res2_PA4_83,res2_DL_PA4_83,res2_PA5_83,res2_DL_PA5_83,res2_PA6_83,res2_DL_PA6_83,res2_PA3_97,res2_DL_PA3_97,res2_DL_TAPA3_m83,res2_lr_rat_price_catex_petro,lr_rat_price_catex_missing,res2_lr_rat_price_catex_missing,pricehatDL,touse,_est_OLS,_est_spatial,_est_spatHAC
1,1,1997,1,.0842680388456752,.5917368416358866,.575447130238849,.1303453747791184,.2067954924161809,.2949376192566849,.2344381794002715,-.3082923259592092,.4917392171065176,-.4871163886162548,-.6298295930742155,-.6815618506017309,-.6767493909799909,-.4759284521942549,5,2,1,5,4,3,2,0,0,5,4,4,4,3,.4512475389051561,.0496717726369384,1,0,0,0,0,9.3758545,7.3018222,6.6846118,6.6293631,4.7257981,4.6051702,6.0065026,6.1132107,5.1463013,2.9110539,,25,0,48.292454,11.750271,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,0,0,1,0,0,0,0,1,0,.0007977823255703,.0199770892578974,3,1.3717948,.033037897,3.0352564,1.5106838,.3849715,.6517269,-.84224325,.17939989,-1.9718661,-.072066441,-1.380698,.054063078,-.21548821,-.013492439,.19408832,.22040957,.69622505,.29592067,-.5826211,.042100471,-1.6353276,.12080979,-1.2336183,.22388434,-.34188035,1.35533,-3.6926639,.48190892,-1.6531339,.22296292,-2.1819801,.16479979,-1.6705841,.26300091,-2.0163817,.2873041,-1.3779461,9.5851135,-1.0731316,0,-.70334756,-.11088029,1,1,1,1
1,2,1997,2,.1970377131611093,-.5030420196496893,.0443474109930986,.2159507469426696,-.0280014738280835,.0648279900030069,.1619410127722893,-.1598011153832018,-.6695047462214999,-.0888827645574911,-.5479125078180033,-.6397483813610366,-.6791504297256848,-.675541950186909,6,0,2,6,0,4,3,0,1,6,5,5,5,4,-.2569212921258712,-.2284609884141587,0,1,0,0,0,9.187583,7.2723985,6.5985088,6.6463904,,5.8318825,6.0611935,6.2260013,6.1851792,4.178226,,26,0,48.292454,11.750271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,0,0,1,1,0,0,0,1,0,-.0001150382685978,.004240557359639,3,1.3717948,.12374894,3.7574787,1.5106838,.16274929,1.2957045,-.29264146,.37930837,-1.9718661,-.060820583,-1.1029202,-.28683916,-1.1599326,.086876988,.13853276,-.21598525,-.41488603,-.0013216728,.58404559,-.030050766,-4.4686608,-.010378013,.15527065,.063060597,.38034189,.15812759,-3.6371083,.76038039,-1.3753561,.17884073,-2.1819801,.21241237,-1.6705841,.16449785,-2.0163817,.19982217,-1.3223906,16.918447,.13361497,0,-.48112535,-.010239749,1,1,1,1
1,3,1997,3,.1266036900322555,.430012542106234,-.0365147387717276,.1729024546974771,.2694661957335607,.06360132935878,.1256920820202114,-.0290051333059754,.979248362256791,.1548718080176456,.2671609443806029,-.1661222902993046,-.3159490326374711,-.4027506310619389,7,1,0,7,1,5,4,0,0,0,0,6,6,5,-.3869649034889518,-.1594514552606713,0,2,0,0,0,9.1049795,6.9077554,6.4297194,6.4134588,6.3481393,6.0604572,5.9694858,6.1092477,6.3706121,4.5380311,,27,1,48.292454,11.750271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,1,0,-.0002000205921558,.0063010395602881,3,1.3162394,-.013204646,4.3130341,1.4551282,.27386039,1.2103171,-.39124915,.63292307,-6.0829773,-.19376005,-1.0473647,-.36702973,-1.6043772,.033493344,-.028133903,-.032361351,-.30377492,-.12770714,-1.0826211,.083888501,-3.8019943,-.03137422,1.0441595,-.015658582,1.4358975,.36202866,-1.8593305,.26372972,-5.2086897,.37974736,-1.070869,.21789484,-1.3372507,.23815851,-2.0163817,.010103568,-1.1001683,-13.970442,.17088364,0,-.53668094,-.012503757,1,1,1,1
1,4,1997,4,-.1895650824796478,-.672563565793298,-.121275511843532,-.2485310144455845,-.0384640504252167,.0810602434281889,-.059092819833233,-.5290791565498077,-.4368926871765314,.2711778375401298,-.0423830237137468,.0911475364913193,-.22027636967475,-.3361063083939812,0,0,0,0,0,6,0,0,1,0,1,0,7,6,-.5661890462374038,-.3569745534013649,0,3,0,0,0,9.205328,7.0166097,6.3969297,6.3801227,6.2501149,5.8031006,6.0442014,6.0906401,6.3858242,5.3930798,,28,1,48.292454,11.750271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,1,0,-.001061729927129,.0129485492562483,3,1.3162394,-.066505559,-1.1314102,1.4551282,-.55947292,0,-1.4061182,-.042953089,-3.360755,-.091787763,-5.9362535,-.15947412,-.93771046,.0039813286,.19408832,.060506821,-.35933048,.010538907,-1.0826211,.0043903473,-4.4686608,.078350827,1.9330485,-.017677393,-1.8974359,-.67229843,.41844729,-.15148328,-.31980056,.3113766,-6.6264243,.17175473,-.5039174,.070339382,-1.6274929,-.34257558,.28872055,-5.9704418,.21653534,0,-.48112535,-.0088204052,1,1,1,1
1,5,1997,5,-.1716188071883423,-.3385585277072944,-.5055610467502962,-.1937031837981195,-.2710378927610119,-.0984829458816322,.011123781572275,-.552233456458611,-.0546476993290488,-.2457701932527901,.1625693252504036,-.0454491926175723,.0619884893272457,-.1926715912837998,0,0,0,0,0,0,1,0,2,1,0,1,0,7,-.4609395223631784,-.3185840025362597,0,4,0,0,0,9.3056507,7.1188264,6.49224,6.4134588,,,6.0378051,6.0618062,,,,29,1,48.292454,11.750271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,1,0,-.0009994398886011,.0129906889539271,3,1.3717948,-.048136979,-1.1314102,1.5106838,.21830484,0,-1.4061182,-.11456719,-.360755,.0053681112,-5.769587,-.27917257,-1.2154882,.014092057,.19408832,-.16087951,-.35933048,-.053720176,-1.0826211,-.090931922,-4.4686608,-.029524963,-3.400285,.036862422,-1.0085471,-.056714699,.91844732,-.36085495,.45797721,-.041634578,-3.7930911,.24017486,-6.9483619,.13448657,-.68304843,-.21516122,.56649834,-5.9704418,,1,.35220799,.0067057363,1,1,1,1
1,6,1997,6,-.4186139226327586,-.5598414400952765,-.4491999839012855,-.5236545111986229,-.2852377478724087,-.3287986022278648,-.1753760282505729,-.8240914955636125,1.154913078990197,.550132689830574,.2211242308282055,.4106552636853519,.1946232617039815,.2441425876044042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.6041453131279143,.4918465804481223,0,0,0,0,0,9.5104446,7.1777825,6.8669333,6.9196839,6.1879945,5.7657924,6.0541339,6.0632524,6.3433299,3.9340019,,30,0,48.292454,11.750271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,1,0,.0009963730938641,.0258890386810797,3,1.0384616,.016415378,-1.1314102,1.1773504,.27386039,0,-1.4061182,.040141463,-.41631055,.08995086,-5.769587,-.053841472,-.27104378,.070082515,.19408832,.16129573,-.35933048,-.0033257217,-1.0826211,.0033883229,-4.4686608,-.041347731,-3.400285,.00066180609,-1.8974359,.82615459,-.35933048,.38837156,-.48646724,.12537217,-.23753561,.13433978,-2.4483619,.33864823,-7.1274929,.52173662,-2.9335017,-5.9704418,-.069549017,0,-.48112535,.18242581,1,1,1,1
1,7,1997,7,.439911763692387,2.13189778073182,.7860281703182718,.411165937643083,.1402335617839878,.198189357848437,.0813174615987493,.1377572000398767,.9038584079664437,1.02938574347832,.6680412625425305,.391807775112765,.5092958925415701,.3128291194143919,1,1,1,1,1,1,1,1,0,0,0,0,0,0,.1736761756098442,1.377324846416403,1,0,0,0,0,9.6323347,7.1762547,6.9565454,7.1188264,5.7227302,5.7227302,6.072638,6.1116233,6.3190274,3.9278889,,31,0,48.292454,11.750271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,1,0,.0008060190899848,.0169466059459661,3,1.3162394,.23105769,-.57585472,1.4551282,.3849715,.41116592,-1.1686851,.40914214,-.24964388,.23368493,-5.2140312,.14385875,.22895622,.27385202,.74964386,.70443374,-.35933048,.42933092,-.52706552,.1875871,-3.8575499,.14273606,-2.8447294,.081332497,-1.2863247,.43470362,-.35933048,.63408071,-.31980056,.14354092,-.23753561,.18965499,-.28169516,.18521051,-.73860401,1.4107614,-3.266835,-5.9704418,.0047572688,0,-.48112535,.011744899,1,1,1,1
1,8,1997,8,.8129910349282579,.5012470672532665,1.316572423992543,.6911011359632701,.4336862200456289,.2124362628778435,.2486989760825753,.5674919293613665,.0288366208007687,.4663475143836062,.6958693692524697,.50824010210709,.3192135442503657,.4292193472514367,2,2,2,2,2,2,2,2,0,0,0,0,0,0,.5445363434266967,1.092440400530672,2,0,0,0,0,9.6485949,7.1951871,6.8023949,6.9177055,5.9594026,5.8852944,6.1141376,6.1341901,6.3920636,3.9022667,,32,0,48.292454,11.750271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,1,0,.0007915015922986,.0165779211472097,3,1.0384616,.12305243,-.52029914,1.1773504,-.11502849,1.3822023,-.70713246,.45997438,-.24964388,.10108338,-5.2140312,.33314702,.6734007,.25036091,.91631055,-.48489526,-.35933048,.1062354,-.52706552,.05123657,-3.4131055,.052229282,-2.1780627,.036514163,-.73076922,.095782004,-.85933048,.2688944,-.31980056,.33556104,-.23753561,.13640566,-.33725071,.17481957,-.23860399,1.232438,-3.766835,-5.9704418,.23669326,0,-.53668094,.064763553,1,1,1,1
1,9,1997,9,1.090750153985526,.0387835879093375,.270015327581302,.890642811964808,.5280217489497869,.3547056936183706,.1834941503830924,.8400773416337454,-.9836011708484493,-.4773822750238403,-.016968714027079,.2760017342272399,.2098718475159821,.1020777584005633,3,3,3,3,3,3,3,3,1,1,1,0,0,0,1.601729955334415,-.0721495579636987,3,1,0,0,0,9.7246599,7.4460015,7.0732698,7.0255384,5.6164608,5.4653058,6.1991987,6.2108064,6.3671975,3.6999106,,33,1,48.292454,11.750271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,0,0,1,0,0,0,0,1,0,.0163593883980149,.0862339219279238,3,1.2051282,-.17779748,-.52029914,1.3440171,.32941595,2.6719284,-.83871025,-.15442912,.47257835,-.1380353,-5.2140312,.94433129,.7845118,.04926889,.91631055,-.74125397,-.35933048,-.61660844,-.52706552,-.09385705,-3.4131055,-.10812289,-2.1780627,-.081634611,-.23076923,-1.0170559,-.24821937,-.45698535,.12464388,.095475718,-.23753561,.067454159,-.44836181,-.055027854,-.29415953,.31488344,-3.6557238,-3.8037748,.065768294,0,-.48112535,-.15610313,1,1,1,1
1,10,1997,10,.1701456379213377,-.6101312898378883,-.2856738509642754,-.0233668782250948,.5154492865141339,.3003911411922519,.1938995297089941,.1315746002534533,2.656185940716227,.8362923849338888,.5671404635561821,.6513199496587475,.7520385755250374,.6175908630493563,4,0,0,0,4,4,4,4,0,0,0,0,0,0,.9145340307906032,-.0296787468036985,4,2,0,0,0,9.949894,7.5432734,,7.1569562,5.4443049,5.3543081,6.1955242,6.1902132,6.2132521,3.8048542,,34,1,48.292454,11.750271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,1,0,.0004023370709804,.0128457349434677,3,1.3717948,-.46462044,-3.6869657,1.5106838,.3849715,0,-2.2470269,-.058756121,-.24964388,-.39192647,-5.0473647,.75459611,1.8956228,-.12454776,1.360755,-.15603518,-1.0259972,-.45217842,-2.2492878,-.17318977,-3.4131055,-.10715401,-1.9558405,-.11772494,.49145299,.72172266,-.35933048,-.14401504,-.31980056,.069367729,-.23753561,.22314163,-.28169516,.17730899,-.23860399,-.19224897,.51094276,-5.9704418,-.24980125,0,-.48112535,-.012761471,1,1,1,1
