time,Previous (Departure) Region,admin1_dep,tmx_dep,pre_dep,conflicts_dep,year,TA_dep,PA_dep,DL_dep,TA_lag1_dep,TA_lag2_dep,TA_lag3_dep,TA_lag4_dep,TA_lag5_dep,TA_lag6_dep,PA_lag1_dep,PA_lag2_dep,PA_lag3_dep,PA_lag4_dep,PA_lag5_dep,PA_lag6_dep,DL_lag1_dep,DL_lag2_dep,DL_lag3_dep,DL_lag4_dep,DL_lag5_dep,DL_lag6_dep,conflicts_lag1_dep,conflicts_lag2_dep,conflicts_lag3_dep,conflicts_lag4_dep,conflicts_lag5_dep,conflicts_lag6_dep,sum_disp_dep,population_density_dep,population_dep,population_arr,admin1_arr,tmx_arr,pre_arr,conflicts_arr,TA_arr,PA_arr,DL_arr,TA_lag1_arr,TA_lag2_arr,TA_lag3_arr,TA_lag4_arr,TA_lag5_arr,TA_lag6_arr,PA_lag1_arr,PA_lag2_arr,PA_lag3_arr,PA_lag4_arr,PA_lag5_arr,PA_lag6_arr,DL_lag1_arr,DL_lag2_arr,DL_lag3_arr,DL_lag4_arr,DL_lag5_arr,DL_lag6_arr,conflicts_lag1_arr,conflicts_lag2_arr,conflicts_lag3_arr,conflicts_lag4_arr,conflicts_lag5_arr,conflicts_lag6_arr,sum_disp_arr,population_density_arr,distance,inv_distance,Current (Arrival) Region,Displacements,inv_distance_2,gdp_mean_arr,accessibility_to_cities_mean_arr,gdp_mean_dep,accessibility_to_cities_mean_dep,Displ_norm_origin
2016-09,Galgaduud,Galgaduud,33.658825,6.3470592,-0.27605126486813014,2016,-0.07556317542123167,-0.026628899042117196,-0.4322996483981366,-0.609764055522634,-0.5853462849535691,0.20305166296220056,0.22721154993201548,0.9827327720945164,1.3379100299490045,0.00632706629089994,0.052717716663827234,-0.05146424962727448,-0.10195065242198306,0.28246855841049695,0.11713898064484238,-0.45826687716675285,-0.48445214058518343,-0.5108226575066351,-0.5366405483134754,-0.5623969901708608,-0.5883730537194541,-0.2737151023872732,-0.3291634258495337,-0.08909607745542404,-0.3221391979162834,-0.07683002011601836,-0.3831111000570277,-0.28542545681276266,-0.2832481014407178,-0.34594500509053583,-0.5483885505260638,Awdal,36.925003,24.199999,-0.7985137978758514,1.4216757738230794,-0.1728528480316904,1.249807602949203,0.27134213421702913,0.25953046514950895,1.1139768726586237,1.061872193221418,1.5494255777683146,1.641394089341787,0.8112085307353097,2.837521692510702,2.010468685024378,2.726588772595584,1.6476317117025474,-0.4401964257411234,1.23016809950858,1.210484717990107,1.190751418564994,1.1710249607828298,1.1512632654840707,1.1314356951042666,-0.5658221286503711,-0.7994079987887045,-0.7407433774724039,-0.6228767054795215,-0.6253625037145375,-0.687794449145091,-0.27561660682295347,-0.2240010035124389,0.3343735342737491,-0.5674186914823924,Awdal,-0.0334813380984518,-0.49291958135641345,-0.23563236879359753,0.07177056348513075,-0.25259600234560164,0.11386298541790972,1.22468797366373e-05
2016-07,Hiraan,Hiraan,31.709093,9.936364,0.13030848302676415,2016,-0.3240000381839101,0.04321314616966056,0.14259776661930854,0.35218407122750317,0.44579249087969103,1.200128586210971,1.423990015729171,0.7785182573138575,1.1384028400018251,-0.22820053631082435,-0.24563777600011594,0.10928603486740336,-0.1192549272814599,0.04370403457802913,0.3856383981736673,0.11879317815266471,0.09483007690257404,0.07072797608746599,0.04699196745361623,0.023284363027660133,-0.0005903167797014696,0.3104989501389226,0.31742286194182623,-0.08909607745542404,-0.20184419489098815,-0.4425183425150311,-0.2003010906041897,-0.28542545681276266,-0.2842916693379607,-0.400817748197049,-0.5153058680647958,Bakool,31.4,16.3,-0.10189708719888975,0.1092923141453618,0.2539927558116533,1.207222609244207,0.7055713246043467,0.868516059026896,1.590967462504224,1.749878138130827,1.1424481125588677,1.5454476589844515,-1.4978612815004595,-0.9240948929444319,-0.10918646572097493,-0.6545784685518703,-0.4830841075457314,1.1622499790460865,1.1874229102256602,1.167574924102125,1.1476735938543197,1.12779292257786,1.1078794615434395,1.0878962331087294,-0.09845088662941447,-0.0352605677625519,-0.26681806836914584,-0.4424342009415786,-0.4425183425150311,-0.44404776987464034,-0.2678272259486932,-0.24862143813966428,-1.2972752294143874,1.532941786099598,Bakool,0.0021646358851130725,1.2292482613920772,-0.25111445969228896,-0.5722394156141107,-0.2501256465445579,0.3315022136806503,4.884151073915437e-05
2018-11,Bay,Bay,33.035713,150.15001,0.13030848302676415,2018,-0.2921847421296662,0.37648424930974317,-0.7516871011856062,-0.5987421551122809,-0.5937873787190759,-0.9953670781868675,-1.1299433297757642,-1.344590826708114,-1.005093485593307,-1.6301059308172454,-2.5074706995868326,-2.2714746609601435,-1.5527067633264742,-0.7260982959071305,-0.42780741550201284,-0.7788557967886516,-0.8062755947450487,-0.8339063428366913,-0.8608808348507486,-0.8877755197255947,1.6974487010462505,0.8947130026651183,0.14108114708963718,-0.08909607745542404,-0.20184419489098815,0.4717024634825008,-0.01749108115135174,-0.035732525454531115,-0.2476932890703517,0.988958023405723,-0.5153058680647958,Bakool,32.787502,115.525,-0.624359620206611,-0.8981706340137345,0.30868110234321694,-0.7942720948906021,-1.0611376214312975,-0.9635602118198572,-1.2815650248078705,-1.4472454912657424,-1.623954163641154,-1.2881817167110932,-1.4007588781367692,-2.0646974501179023,-1.7828749308057936,-1.1093979789916184,-0.5158275923247263,-0.318180118095351,-0.8216009860715712,-0.8491853886330307,-0.8769841675473653,-0.8824968539532335,-0.8877755197255944,-0.8931492876882147,-0.4489793181451319,-0.6818468555539119,-0.3260587320070531,-0.38228669942893095,-0.5034663962481999,-0.6268577793274783,0.6123728128427157,-0.2446869906226242,-1.4450407634978215,2.3561096869117497,Bakool,-0.01387605240749112,2.4157269977625884,-0.25111445969228896,-0.5722394156141107,-0.24447009851706675,-0.7747619379909304,1.7508156714251096e-05
2018-11,Hiraan,Hiraan,33.018185,61.627274,-0.1599484797553032,2018,-1.4605487703313484,0.04891954673740344,-0.858149585448096,-1.4976687806447413,-1.2254365603798947,-1.4807944572989626,-1.6549477502086896,-1.7557727711414164,-1.4253481999281414,-0.2748174877997351,-0.3533373024427846,-0.2762154627151052,-0.09562554551788793,-0.08522201486258811,-0.15916590216216422,-0.8643461753544912,-0.8706402855770218,-0.8769841675473654,-0.8824968539532335,-0.8877755197255947,-0.8931492876882147,0.252077544886303,0.19986171870703354,0.26634790437201944,0.038745811159602364,0.10601414108348801,0.2262555981190989,-0.0953068643632253,-0.28245693022532364,-0.400817748197049,-0.5153058680647958,Bakool,32.787502,115.525,-0.624359620206611,-0.8981706340137345,0.30868110234321694,-0.7942720948906021,-1.0611376214312975,-0.9635602118198572,-1.2815650248078705,-1.4472454912657424,-1.623954163641154,-1.2881817167110932,-1.4007588781367692,-2.0646974501179023,-1.7828749308057936,-1.1093979789916184,-0.5158275923247263,-0.318180118095351,-0.8216009860715712,-0.8491853886330307,-0.8769841675473653,-0.8824968539532335,-0.8877755197255944,-0.8931492876882147,-0.4489793181451319,-0.6818468555539119,-0.3260587320070531,-0.38228669942893095,-0.5034663962481999,-0.6268577793274783,0.6123728128427157,-0.2446869906226242,-1.2972752294143874,1.532941786099598,Bakool,0.13227244092512486,1.2292482613920772,-0.25111445969228896,-0.5722394156141107,-0.2501256465445579,0.3315022136806503,0.00018089448421909025
2019-01,Bay,Bay,33.67857,3.7142856,0.8269251937037259,2019,0.3520798563449349,0.8591421473211789,-0.7091021074806102,0.31593380890667844,-0.3232722641628075,-0.6221123332893782,-0.6253722365508387,-1.0100991533736006,-1.1228503742986884,0.5943793407867316,0.3744357487970638,-1.6545401608921515,-2.532144168307726,-2.2840996815638444,-1.568923354060245,-0.7361106075057318,-0.7633658008570666,-0.7908285181260171,-0.8176487966457788,-0.8443917157849634,-0.8713795566904461,0.36892035539154217,0.14108114708963718,0.9179952043889992,0.15904081418489763,-0.07683002011601836,-0.2003010906041897,-0.17507589442740903,-0.2458096180631111,0.988958023405723,-0.5153058680647958,Bakool,33.375,2.2250001,-0.624359620206611,-0.6243915540578695,1.0271141516534894,-0.7516871011856062,-0.5391948867768384,-0.8955596181144876,-1.0649426555607553,-0.9882748026160627,-1.2940809949668581,-1.438924120504716,0.5274524443705128,0.30607875301824206,-1.423506954301891,-2.086157209155146,-1.793636765815959,-1.1194345483906674,-0.7788557967886515,-0.8062755947450487,-0.8339063428366912,-0.8608808348507486,-0.8877755197255944,-0.8931492876882147,-0.3321365076398928,-0.6230662839365155,-0.4445400592828676,-0.683024206992169,-0.3206222350486935,-0.3831111000570277,-0.23609271127578105,-0.24271976686410413,-1.4450407634978215,2.3561096869117497,Bakool,-0.021005247204204096,2.4157269977625884,-0.25111445969228896,-0.5722394156141107,-0.24447009851706675,-0.7747619379909304,1.3617455222195297e-05
2019-01,Gedo,Gedo,35.257145,5.0928574,-0.33410265742454365,2019,0.579490336636793,0.6729349855441903,-0.7091021074806102,0.614661858104264,-0.05947570903592348,-0.3514572667462465,-0.4514000952348572,-0.8207331361038664,-0.9282435423321832,0.43999255477136456,0.5433322547388106,-1.3209927484337691,-2.5058197837389464,-2.0690153259621082,-1.569560960876096,-0.7361106075057318,-0.7633658008570666,-0.7908285181260171,-0.8176487966457788,-0.8443917157849634,-0.8713795566904461,-0.04002948137679489,0.023520003854844453,0.14786657709620493,0.038745811159602364,0.045066087350319216,-0.01749108115135174,-0.24070864068275008,-0.2610327772626699,-0.36371937852719155,-0.5153058680647958,Bakool,33.375,2.2250001,-0.624359620206611,-0.6243915540578695,1.0271141516534894,-0.7516871011856062,-0.5391948867768384,-0.8955596181144876,-1.0649426555607553,-0.9882748026160627,-1.2940809949668581,-1.438924120504716,0.5274524443705128,0.30607875301824206,-1.423506954301891,-2.086157209155146,-1.793636765815959,-1.1194345483906674,-0.7788557967886515,-0.8062755947450487,-0.8339063428366912,-0.8608808348507486,-0.8877755197255944,-0.8931492876882147,-0.3321365076398928,-0.6230662839365155,-0.4445400592828676,-0.683024206992169,-0.3206222350486935,-0.3831111000570277,-0.23609271127578105,-0.24271976686410413,-0.9949324988134974,0.6184305135383253,Bakool,-0.012093753708312878,0.24889194301701859,-0.25111445969228896,-0.5722394156141107,-0.25227499593013725,-0.2587787191013406,3.3598848277885644e-05
2019-07,Gedo,Gedo,32.68571,26.21429,-0.1599484797553032,2019,0.5736678755972686,2.1614862688743575,-0.5813471263656225,0.29661246328498797,0.48361558644573766,0.7268120070352783,0.7492766795900785,0.8062187032360151,0.44900762024647795,-1.474894947162289,-0.04530231001771923,0.22108970464308217,-0.40344729519602823,0.9960732220397058,0.6865145257679391,-0.6078750396569722,-0.6346364191931205,-0.6615950439939946,-0.6879526820308696,-0.7142403039630699,-0.7407611707038344,-0.39055791289251235,-0.15282171099734462,-0.2668180683691458,-0.20184419489098815,-0.2596741813155247,-0.322174430239415,-0.2108493473314191,-0.2610327772626699,-0.36371937852719155,-0.5153058680647958,Bakool,31.4375,21.8,-0.2179998723117167,0.002571264672091791,1.9088050137628512,-0.6239321200706184,-0.28235686511380365,-0.13128656567210717,-0.03970496949571066,-0.1902542340501868,-0.2651654018379628,-0.6624833764816618,-1.3240939889343073,-0.7117837118759311,-0.2270383708072323,-0.6915581377848776,1.0006301542329168,1.0511924346227632,-0.650620228939892,-0.6775462130811026,-0.7046728687046687,-0.7311847202358394,-0.7576241079037009,-0.7843006326993717,-0.5074007233977516,-0.6818468555539119,-0.4445400592828676,-0.38228669942893095,-0.5644144499813687,-0.6268577793274783,0.04706570828297605,-0.24271976686410413,-0.9949324988134974,0.6184305135383253,Bakool,0.13227244092512486,0.24889194301701859,-0.25111445969228896,-0.5722394156141107,-0.25227499593013725,-0.2587787191013406,0.00017683604356781918
2019-08,Bay,Bay,31.8,4.7428575,-0.1599484797553032,2019,0.6198307633869555,1.6874570465623704,-0.5600546295131245,0.6185208441952071,0.39570524372164234,0.5553229099410634,0.832490595277641,0.7445269115420433,0.7224499845095529,2.4193841117956896,-1.5626422990715276,-0.5252107693369386,-0.23047258560718398,-0.7448632873844931,1.0633303384719652,-0.5865024450155123,-0.6131815222491296,-0.6400561316386576,-0.6663366629283847,-0.6925484019927544,-0.7189914397060658,-0.15687229188203405,0.5525451484114117,0.3255885680099267,0.5199258232607834,0.1669621948166568,-0.13936442078657704,0.029178981830971017,-0.2458096180631111,0.988958023405723,-0.5153058680647958,Bakool,31.9375,1.6000001,-0.33410265742454365,-0.07327066985939829,1.237972065313966,-0.6026396232181204,-0.01931250465014118,-0.3003288240966702,-0.15239290399423835,-0.05933066225833516,-0.19238865961618062,-0.25950073049683203,1.918291515535926,-1.3361379889447207,-0.7198504801536986,-0.22867802779506283,-0.6946964755957835,1.0233800799792583,-0.6292476342984321,-0.6560913161371116,-0.6831339563493316,-0.7095687011333545,-0.7359322059333854,-0.762530901701603,-0.21529369713465363,-0.5055051407017228,-0.6815027138344967,-0.4424342009415786,-0.38157028878186233,-0.5659211095098656,0.002204644358995687,-0.24271976686410413,-1.4450407634978215,2.3561096869117497,Bakool,-0.015658351106669365,2.4157269977625884,-0.25111445969228896,-0.5722394156141107,-0.24447009851706675,-0.7747619379909304,1.6535481341237146e-05
2021-01,Hiraan,Hiraan,33.31818,2.6636362,0.24641126813959108,2021,-0.13750464420254954,0.010595743832683323,-0.34712966098814474,-0.3268085140110471,-0.604261022080976,-0.539900045119371,-0.6860360879374849,-0.6228454332247589,-0.8890494124441444,-0.3370806982658182,-0.2890208739178499,-0.4388902209545738,-0.4916516891808383,-0.32027406319633117,-0.13112021440298713,-0.3727764986009132,-0.3986325528092194,-0.4246670080852868,-0.45017647190353594,-0.47562938228959845,-0.5012941297283796,0.8947130026651183,0.6701062916462044,-0.029855413817516798,0.3394833187228405,-0.07683002011601836,0.4090656075719369,-0.20291571866319105,-0.279704821556368,-0.400817748197049,-0.5153058680647958,Bakool,33.775,0.54999995,0.07225709047035067,0.5497251360733487,-1.524776267081517,-0.2406671767256549,0.3659159222106695,0.12306739320810078,0.08589532440138378,-0.10671412070689808,-0.14383927102569127,-0.5306287378646444,-1.673934915146054,-1.7432714694155713,-2.2916585445246773,-2.826218106291484,-2.0394024867957756,-1.3686538360128595,-0.2659135253936136,-0.2913580680892643,-0.31697244630860133,-0.34209637639111157,-0.3671698724380204,-0.39244547473953656,0.252077544886303,-0.09404113937994826,-0.5037807229207749,-0.683024206992169,-0.7472586111808751,-0.6268577793274783,-0.2510944818484304,-0.238785319347064,-1.2972752294143874,1.532941786099598,Bakool,0.16791841490868972,1.2292482613920772,-0.25111445969228896,-0.5722394156141107,-0.2501256465445579,0.3315022136806503,0.00021707338106290828
2016-01,Hiraan,Hiraan,34.02727,2.8090906,-0.2179998723117167,2016,1.326190420612307,0.3807208058913267,0.014842785504320728,1.2210062253491913,1.1075924300569397,0.6180743929277953,0.26984027183142506,-0.24055845832741615,-0.5865216132160042,0.10189992571254357,0.21863135218231822,0.1160125998156518,-0.09198783990422757,-0.0553086388357253,0.0583378450345033,-0.009442389696094752,-0.03389930476137207,-0.05850549804455648,-0.08270414716129304,-0.10686704879423341,-0.13120870276631316,0.018391923875824685,-0.09404113937994826,0.08862591345829769,-0.021401690353045268,0.8373907858815135,0.28719226793671154,-0.28542545681276266,-0.2842916693379607,-0.400817748197049,2.0365223048386665,Banadir,33.19,6.13,1.2913363341550335,0.4048914622677173,0.19013000605960662,-0.6026396232181204,0.23877770302978943,0.1701302741229964,-0.03905095466001317,-0.26208084011721994,-0.6550944317191286,-0.9009467495459473,-0.00032534670146176596,0.10068595973824421,-0.036990748479856346,-0.1271497687486676,-0.0738214617344206,0.024702338043243875,-0.6292476342984321,-0.6560913161371116,-0.6831339563493316,-0.7095687011333545,-0.7359322059333854,-0.762530901701603,1.1283986236755967,1.6693760091419425,1.2141985225785357,1.0011058353619642,1.203079108280526,2.176229032282704,-0.28542545681276266,3.7442705052407366,-1.308019186277843,1.5805857021712313,Banadir,-0.03169903939927356,1.2900663637216663,4.122641879541502,-2.130881187236087,-0.2501256465445579,0.3315022136806503,1.4471558737527219e-05
