index,time,admin1,year,month,TA,PA,DL,TA_lag1,PA_lag1,DL_lag1,conflicts,Awdal,Bakool,Banadir,Bari,Bay,Galgaduud,Gedo,Hiraan,Lower_Juba,Lower_Shabelle,Middle_Juba,Middle_Shabelle,Mudug,Nugaal,Sanaag,Sool,Togdheer,Woqooyi_Galbeed,April,August,December,February,January,July,June,March,May,November,October,September,month_name
1153,1997-02,Banadir,1997,2,0.08461586323453109,-0.2747400404523179,1,-0.03080054725861799,-0.29026352704200825,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February
1153,1997-02,Bari,1997,2,-0.013525989178325445,0.2601025669048587,0,-0.2894067222318719,0.14750442810521097,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February
1153,1997-02,Bay,1997,2,0.2384167846463345,-0.33284109322659905,2,0.16400668171176144,-0.38219814850241485,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February
1153,1997-02,Galgaduud,1997,2,-0.18501686345802315,-0.3761184345346061,0,-0.2556299518678386,-0.44402960539052144,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February
1153,1997-02,Gedo,1997,2,0.25647291925623117,-0.6034087308480799,2,0.22102083641777392,-0.4980933924607068,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February
1153,1997-02,Hiraan,1997,2,-0.139160563100759,-0.5927485608364647,0,-0.17952908187479188,-0.6709055154786795,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February
1153,1997-02,Lower_Juba,1997,2,0.7538967083170144,-0.6359361762834523,3,0.5409237441055902,-0.43374431225746807,2.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February
1153,1997-02,Lower_Shabelle,1997,2,0.2314019830248505,-0.20228406623650672,2,0.1098979291290058,-0.24091409354701443,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February
1153,1997-02,Middle_Juba,1997,2,0.45754508468554284,-0.3200916660515684,3,0.3319055134443433,-0.23738499466621174,2.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February
1153,1997-02,Middle_Shabelle,1997,2,-0.08140580697426095,-0.298066405532555,0,-0.186992071052295,-0.3252106595360845,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February
1153,1997-02,Mudug,1997,2,-0.19775072459665818,0.15249277520617832,0,-0.2534081388490515,0.0943426365923361,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February
1153,1997-02,Nugaal,1997,2,-0.2058236790262469,0.2729162109002509,0,-0.30920428023012253,0.1580843073375681,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February
1153,1997-02,Sanaag,1997,2,-0.16474720408533536,0.051239098145076295,0,-0.2529575487909379,0.0028573203978261067,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February
1153,1997-02,Sool,1997,2,-0.2445957520074397,0.1537525973320825,0,-0.27794948077632736,0.07955740291942488,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February
1153,1997-02,Togdheer,1997,2,-0.14028297198591888,-0.16428804614757464,0,-0.1369116489953043,-0.18820180876956571,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,February
1153,1997-02,Woqooyi_Galbeed,1997,2,-0.022300012093223187,-0.2181459713043886,0,-0.0061141118553855915,-0.16001635266276537,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,February
1154,1997-03,Awdal,1997,3,0.008503562436692572,0.25749407199494917,7,0.13617712223795678,-0.16100598841477398,6.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March
1154,1997-03,Bakool,1997,3,0.04794199568243909,-0.24705119858651714,1,-0.03749068095698843,-0.49248963211919583,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March
1154,1997-03,Banadir,1997,3,0.13556952667683753,-0.062079071007292874,2,0.08461586323453109,-0.2747400404523179,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March
1154,1997-03,Bari,1997,3,0.22866287612197053,0.2596985787746243,1,-0.013525989178325445,0.2601025669048587,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March
1154,1997-03,Bay,1997,3,0.2451507660475054,-0.15168400688642567,3,0.2384167846463345,-0.33284109322659905,2.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March
1154,1997-03,Galgaduud,1997,3,0.00432449210560253,-0.09638265897068744,1,-0.18501686345802315,-0.3761184345346061,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March
1154,1997-03,Gedo,1997,3,0.26424955850097603,-0.4128887211679601,3,0.25647291925623117,-0.6034087308480799,2.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March
1154,1997-03,Hiraan,1997,3,-0.01026117216359775,-0.2515396375421503,0,-0.139160563100759,-0.5927485608364647,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March
1154,1997-03,Lower_Juba,1997,3,0.5382180005795462,-0.25407415118290155,4,0.7538967083170144,-0.6359361762834523,3.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March
1154,1997-03,Lower_Shabelle,1997,3,0.21935413361505995,-0.03195374603509157,3,0.2314019830248505,-0.20228406623650672,2.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March
1154,1997-03,Middle_Juba,1997,3,0.38795161548151474,-0.1531198469997004,4,0.45754508468554284,-0.3200916660515684,3.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March
1154,1997-03,Middle_Shabelle,1997,3,0.03645279143260618,-0.058046980011365136,1,-0.08140580697426095,-0.298066405532555,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March
1154,1997-03,Mudug,1997,3,0.02739331939819416,0.1762989307725006,1,-0.19775072459665818,0.15249277520617832,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March
1154,1997-03,Nugaal,1997,3,0.09994690870505009,0.2652174335774486,1,-0.2058236790262469,0.2729162109002509,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March
1154,1997-03,Sanaag,1997,3,0.07816446787812621,0.07139002501507001,1,-0.16474720408533536,0.051239098145076295,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March
