index,time,admin1,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,conflicts,Awdal_x,Bakool_x,Banadir_x,Bari_x,Bay_x,Galgaduud_x,Gedo_x,Hiraan_x,Lower_Juba_x,Lower_Shabelle_x,Middle_Juba_x,Middle_Shabelle_x,Mudug_x,Nugaal_x,Sanaag_x,Sool_x,Togdheer_x,Woqooyi_Galbeed_x,April,August,December,February,January,July,June,March,May,November,October,September,month_name,yr_mth,Awdal_y,Bakool_y,Banadir_y,Bari_y,Bay_y,Galgaduud_y,Gedo_y,Hiraan_y,Lower_Juba_y,Lower_Shabelle_y,Middle_Juba_y,Middle_Shabelle_y,Mudug_y,Nugaal_y,Sanaag_y,Sool_y,Togdheer_y,Woqooyi_Galbeed_y,sum_disp,population_density,conflicts_log,conflicts_pro_capite,spei
1380,2016-01,Awdal,2016,1,0.7601278698178022,0.23704470310191628,0.5229885057471264,0.810713096895711,0.8862006768378218,0.8350718491547451,0.7587624461329897,0.6615183128304496,0.5501617358200253,0.2540835743176104,0.2564974247664047,0.29866253180887015,0.46525541948167737,0.5625339871247248,0.5972562375955823,0.5202312138728323,0.5174418604651163,0.5146198830409356,0.5117647058823529,0.5088757396449703,0.5059523809523809,0.041666666666666664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,7,26,0,13,14,0,14,0,0,9,0,0,6,0,0,0,0,0.0007569443263195497,0.016447657558127382,1.6094379124341003,2.533288799296387,-0.32864118
1380,2016-01,Bakool,2016,1,0.7174077108997305,0.5143530124422098,0.5229885057471264,0.6580983821527571,0.6406633813358348,0.5806360759237539,0.52123814703942,0.43996434432639153,0.3953163097098686,0.5042046489781149,0.5475929054164448,0.5381378812001296,0.4105226082342427,0.41208370108085535,0.4202735052656627,0.5202312138728323,0.5174418604651163,0.5146198830409356,0.5117647058823529,0.5088757396449703,0.5059523809523809,0.0625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.011279165372572578,1.9459101490553132,5.541190144439283,-1.283446
1380,2016-01,Banadir,2016,1,0.5048798302887015,0.4234184677417791,0.06896551724137931,0.43962077349874407,0.42355410513933517,0.3962319918943704,0.36586928522631584,0.30732399016251616,0.2695724322632327,0.4049358020190777,0.41522073620093436,0.4026319794301974,0.3941718648487832,0.3995299788111938,0.4080240118185471,0.06358381502890173,0.05813953488372093,0.05263157894736842,0.047058823529411764,0.04142011834319526,0.03571428571428571,0.375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.849494701352818,3.6109179126442243,0.4414388923236525,-0.9725024929999999
1380,2016-01,Bari,2016,1,0.9854028736836984,0.39328263294756993,0.12643678160919541,0.9859554883904991,1.0,0.9007317176318184,0.771571288058039,0.6497132159551346,0.5799025097794328,0.3720150536293737,0.43511699111477464,0.4318917797001375,0.4364997558699692,0.43240644972871634,0.3754928461181115,0.12138728323699421,0.11627906976744186,0.1111111111111111,0.10588235294117647,0.10059171597633136,0.09523809523809523,0.0625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,23,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0.00026365476534725887,0.005696566389636422,1.9459101490553132,10.971521391149626,-2.1066658
1380,2016-01,Bay,2016,1,0.5750552369011899,0.48402896338729473,0.5229885057471264,0.5099355844515123,0.49399298884478626,0.46620382595303783,0.4267813485997317,0.36300091729825035,0.3375171903057306,0.48987317599457125,0.5397900935203696,0.5306063034452928,0.4132664933668464,0.410584016921628,0.41832351056859435,0.5202312138728323,0.5174418604651163,0.5146198830409356,0.5117647058823529,0.5088757396449703,0.5059523809523809,0.16666666666666666,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,14,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000969569137083468,0.010683142322103788,2.833213344056216,15.600902959218994,-1.4763671
1380,2016-01,Galgaduud,2016,1,0.6237590806132962,0.4345837904266191,0.06896551724137931,0.5734572147099415,0.5563105072562342,0.4859439170970997,0.43780966738525573,0.35828450971057846,0.2890114652709104,0.3948263098601268,0.40639507281379594,0.4065137918027011,0.40255696779084443,0.40557341313300876,0.41064153972165046,0.06358381502890173,0.05813953488372093,0.05263157894736842,0.047058823529411764,0.04142011834319526,0.03571428571428571,0.05208333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.004010096349500605,1.791759469228055,12.988050359393359,-1.1359434
1380,2016-01,Gedo,2016,1,0.6264423772645109,0.4530379054265585,0.5229885057471264,0.5739355489321424,0.5562358090059001,0.5320148592861283,0.48457549808948963,0.41763527698500913,0.3971379741536909,0.5224751240992356,0.5810727015940118,0.5795911687703552,0.45425907523702547,0.4149673287724906,0.42189437033212607,0.5202312138728323,0.5174418604651163,0.5146198830409356,0.5117647058823529,0.5088757396449703,0.5059523809523809,0.26041666666666663,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8.504992430556738e-05,0.007746698474563846,3.2580965380214817,33.61647126472527,-1.3552809
1380,2016-01,Hiraan,2016,1,0.6486214055163613,0.4417614740393617,0.23563218390804597,0.5828862303142764,0.5608938487212648,0.49384217401280617,0.44527187670325896,0.3693801747376452,0.3166906997812137,0.41473374599679547,0.42648016725805626,0.4171898001883672,0.39750434346839036,0.40128472830816003,0.41116799429008377,0.23121387283236994,0.22674418604651161,0.2222222222222222,0.21764705882352942,0.21301775147928995,0.20833333333333331,0.10416666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.003791023347595466,2.3978952727983707,27.477189432963133,-1.4792236
1380,2016-01,Lower_Juba,2016,1,0.6643036935632448,0.3424454303828829,0.5229885057471264,0.5997343923903604,0.5498033582596449,0.5368331050301101,0.46497059249474587,0.3642858944230013,0.34672262780680563,0.4119182051695638,0.44055758269418105,0.4705419543916469,0.4750080692691864,0.40048854889445606,0.40632665585113714,0.5202312138728323,0.5174418604651163,0.5146198830409356,0.5117647058823529,0.5088757396449703,0.5059523809523809,0.125,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8.504992430556738e-05,0.01482474325787769,2.5649493574615367,8.43184922838893,-2.0244439
1380,2016-01,Lower_Shabelle,2016,1,0.5218031977571818,0.42419111359648276,0.5172413793103449,0.4540607003924911,0.4340598721775286,0.41010324398700854,0.3759018444142105,0.30583974261193814,0.27683102807698173,0.4191306040649981,0.43726176485357987,0.4254236940398601,0.39737641682813246,0.398249398514506,0.40743782019041896,0.5144508670520231,0.5116279069767442,0.5087719298245614,0.5058823529411764,0.5029585798816568,0.5,0.3020833333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0723432594881032,3.4011973816621555,4.175694259159151,-1.9570963
