,time,Previous (Departure) Region,Banadir,level_0,index,admin1,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,conflicts,yr_mth,sum_disp,population_density,inv_distance,log_disp_ban,x,x_dist,inv_distance_2,gdp_mean,accessibility_to_cities_mean,shapeName,gdp_pp_destination,Disp_log1
0,2016-01,Awdal,0,0,1380,Awdal,2016,1,0.7601278698178022,0.23704470310191628,0.5229885057471264,0.810713096895711,0.8862006768378218,0.8350718491547451,0.7587624461329897,0.6615183128304496,0.5501617358200253,0.2540835743176104,0.2564974247664047,0.29866253180887015,0.46525541948167737,0.5625339871247248,0.5972562375955823,0.5202312138728323,0.5174418604651163,0.5146198830409356,0.5117647058823529,0.5088757396449703,0.5059523809523809,0.0449438202247191,2016-01,0.000380465450317197,0.19213432623648563,0.018434386984671536,-inf,0.2536007158935438,0.41263734154428355,0.004434946097230344,0.323852591155806,0.4293124183496179,Awdal,0.20077716209212926,0.0
1,2016-01,Bakool,0,1,1380,Bakool,2016,1,0.7174077108997305,0.5143530124422098,0.5229885057471264,0.6580983821527571,0.6406633813358348,0.5806360759237539,0.52123814703942,0.43996434432639153,0.3953163097098686,0.5042046489781149,0.5475929054164448,0.5381378812001296,0.4105226082342427,0.41208370108085535,0.4202735052656627,0.5202312138728323,0.5174418604651163,0.5146198830409356,0.5117647058823529,0.5088757396449703,0.5059523809523809,0.06741573033707865,2016-01,0.0,0.13175826598470752,0.3620021645234014,-inf,0.42626505244626467,0.6145944159039614,0.18331513547256373,0.04309775337354135,0.21071290413122373,Bakool,0.04176004791369571,0.0
2,2016-01,Bari,0,3,1380,Bari,2016,1,0.9854028736836984,0.39328263294756993,0.12643678160919541,0.9859554883904991,1.0,0.9007317176318184,0.771571288058039,0.6497132159551346,0.5799025097794328,0.3720150536293737,0.43511699111477464,0.4318917797001375,0.4364997558699692,0.43240644972871634,0.3754928461181115,0.12138728323699421,0.11627906976744186,0.1111111111111111,0.10588235294117647,0.10059171597633136,0.09523809523809523,0.06741573033707865,2016-01,0.00013252167370598998,0.06654479163772282,0.0,-inf,0.2510049498867813,0.4217569657015664,0.0,0.04986194515620995,0.9901951301378631,Bari,0.14341844818901078,0.0
3,2016-01,Bay,0,4,1380,Bay,2016,1,0.5750552369011899,0.48402896338729473,0.5229885057471264,0.5099355844515123,0.49399298884478626,0.46620382595303783,0.4267813485997317,0.36300091729825035,0.3375171903057306,0.48987317599457125,0.5397900935203696,0.5306063034452928,0.4132664933668464,0.410584016921628,0.41832351056859435,0.5202312138728323,0.5174418604651163,0.5146198830409356,0.5117647058823529,0.5088757396449703,0.5059523809523809,0.1797752808988764,2016-01,0.00048733776782202765,0.12479578595869008,0.4239239912730125,-inf,0.386660114832376,0.49785630253746527,0.23498115087993202,0.1635877153640081,0.1419696758480568,Bay,0.16810825974822757,0.0
4,2016-01,Galgaduud,0,5,1380,Galgaduud,2016,1,0.6237590806132962,0.4345837904266191,0.06896551724137931,0.5734572147099415,0.5563105072562342,0.4859439170970997,0.43780966738525573,0.35828450971057846,0.2890114652709104,0.3948263098601268,0.40639507281379594,0.4065137918027011,0.40255696779084443,0.40557341313300876,0.41064153972165046,0.06358381502890173,0.05813953488372093,0.05263157894736842,0.047058823529411764,0.04142011834319526,0.03571428571428571,0.056179775280898875,2016-01,0.0,0.04684418784448542,0.2713770923662948,-inf,0.3301071164526517,0.4692576883270454,0.11839568159879194,0.016231209957659407,0.44360005873626346,Galgaduud,0.13640784338216833,0.0
5,2016-01,Gedo,0,6,1380,Gedo,2016,1,0.6264423772645109,0.4530379054265585,0.5229885057471264,0.5739355489321424,0.5562358090059001,0.5320148592861283,0.48457549808948963,0.41763527698500913,0.3971379741536909,0.5224751240992356,0.5810727015940118,0.5795911687703552,0.45425907523702547,0.4149673287724906,0.42189437033212607,0.5202312138728323,0.5174418604651163,0.5146198830409356,0.5117647058823529,0.5088757396449703,0.5059523809523809,0.2808988764044944,2016-01,4.274892700193225e-05,0.09049353603741953,0.16024957042810847,-inf,0.27873690011242624,0.39645429057091297,0.05613541892079815,0.022052394233769132,0.3171124293064255,Gedo,0.06118133015695486,0.0
6,2016-01,Hiraan,0,7,1380,Hiraan,2016,1,0.6486214055163613,0.4417614740393617,0.23563218390804597,0.5828862303142764,0.5608938487212648,0.49384217401280617,0.44527187670325896,0.3693801747376452,0.3166906997812137,0.41473374599679547,0.42648016725805626,0.4171898001883672,0.39750434346839036,0.40128472830816003,0.41116799429008377,0.23121387283236994,0.22674418604651161,0.2222222222222222,0.21764705882352942,0.21301775147928995,0.20833333333333331,0.11235955056179775,2016-01,0.0,0.044285073060578134,0.5584762440204455,-inf,0.5402022203185161,0.6637067673898532,0.36770125589026587,0.06102905714283191,0.5174744257757995,Hiraan,0.23598418949525807,0.0
7,2016-01,Lower Juba,0,8,1380,Lower Juba,2016,1,0.6643036935632448,0.3424454303828829,0.5229885057471264,0.5997343923903604,0.5498033582596449,0.5368331050301101,0.46497059249474587,0.3642858944230013,0.34672262780680563,0.4119182051695638,0.44055758269418105,0.4705419543916469,0.4750080692691864,0.40048854889445606,0.40632665585113714,0.5202312138728323,0.5174418604651163,0.5146198830409356,0.5117647058823529,0.5088757396449703,0.5059523809523809,0.1348314606741573,2016-01,4.274892700193225e-05,0.17317615273876763,0.12728984238482663,-inf,0.2655973072513916,0.3713501245144848,0.041343690807161326,0.04692687419851921,0.34149040258296653,Lower Juba,0.016924442152093544,0.0
8,2016-01,Lower Shabelle,0,9,1380,Lower Shabelle,2016,1,0.5218031977571818,0.42419111359648276,0.5172413793103449,0.4540607003924911,0.4340598721775286,0.41010324398700854,0.3759018444142105,0.30583974261193814,0.27683102807698173,0.4191306040649981,0.43726176485357987,0.4254236940398601,0.39737641682813246,0.398249398514506,0.40743782019041896,0.5144508670520231,0.5116279069767442,0.5087719298245614,0.5058823529411764,0.5029585798816568,0.5,0.3258426966292135,2016-01,0.0,0.8450822477532464,0.8503428062385867,-inf,0.6152350664181093,0.6039206410650291,0.7518840614303502,0.8002161661667245,0.07293993813667438,Lower Shabelle,0.06504751137772531,0.0
9,2016-01,Middle Juba,0,10,1380,Middle Juba,2016,1,0.6206983677492315,0.40482271800621256,0.5229885057471264,0.5549137000704727,0.5068192382861585,0.4824033755527048,0.41285633619939693,0.31487883582719634,0.3014506797482512,0.43632861294899583,0.4722850788912928,0.4787053256699698,0.4343578876942387,0.40193517663217093,0.40900974430031445,0.5202312138728323,0.5174418604651163,0.5146198830409356,0.5117647058823529,0.5088757396449703,0.5059523809523809,0.02247191011235955,2016-01,0.001992099998290043,0.06416362192018227,0.21721214217739768,-inf,0.29032170104042554,0.3977100223763931,0.08566214756252033,0.08668170184543711,0.5240841677012773,Middle Juba,0.20921158487892788,0.0
