index,time,admin1,year,month,TA,PA,DL,TA_lag1,PA_lag1,DL_lag1,conflicts,Awdal_x,Bakool_x,Banadir_x,Bari_x,Bay_x,Galgaduud_x,Gedo_x,Hiraan_x,Lower_Juba_x,Lower_Shabelle_x,Middle_Juba_x,Middle_Shabelle_x,Mudug_x,Nugaal_x,Sanaag_x,Sool_x,Togdheer_x,Woqooyi_Galbeed_x,April,August,December,February,January,July,June,March,May,November,October,September,month_name,yr_mth,Awdal_y,Bakool_y,Banadir_y,Bari_y,Bay_y,Galgaduud_y,Gedo_y,Hiraan_y,Lower_Juba_y,Lower_Shabelle_y,Middle_Juba_y,Middle_Shabelle_y,Mudug_y,Nugaal_y,Sanaag_y,Sool_y,Togdheer_y,Woqooyi_Galbeed_y,sum_disp,population_density,conflicts_pro_capite
1380,2016-01,Mudug,2016,1,1.423030519982296,0.1345613388649174,12,1.4946412581224968,0.0632129510784818,11.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,57,13,19,287,0,14,13,0,0,0,2752,5,0,0,0,6,3166,73.93192783883698,0.05410382384075707
1380,2016-01,Nugaal,2016,1,2.09727166110983,0.113939972109944,12,2.244468886040334,0.0455698668660881,11.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.304099475509442,0.2955068264533045
1380,2016-01,Sanaag,2016,1,2.851824565531849,0.0525589771140259,41,3.2362179791666965,0.0556619202970425,40.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.188758595928302,0.38811909498166514
1380,2016-01,Sool,2016,1,2.552967664764614,0.0800894410551205,41,2.84508871025236,0.0468586135713127,40.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.247009320205844,0.0898997241028483
1380,2016-01,Togdheer,2016,1,2.419044138857298,-0.0385252709742397,42,2.7979890307503834,-0.0377687169971134,41.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807,0,807,58.83001424826246,0.18697938697719904
1380,2016-01,Woqooyi_Galbeed,2016,1,2.2771660022705573,-0.2950300127133036,45,2.7400736881493897,-0.2621001822107607,44.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,5,0,69,32,0,28,5,28,0,7,0,17,40,25,16,8,6,57,343,99.38626881429339,0.01006175211053082
1381,2016-02,Awdal,2016,2,1.4098154886400571,0.0030933557533274,92,1.928296533517008,-0.3803894467972647,91.0,9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,0,41,0,0,5,0,0,0,7,0,0,12,18,0,0,0,0,83,141.66653044943396,0.06352947285041638
1381,2016-02,Bakool,2016,2,1.5043576068260838,0.0046658664181495,92,1.7638218685098326,0.4828685595253122,91.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,103.52974568893711,0.05795435852829631
1381,2016-02,Banadir,2016,2,0.8767200856223387,0.1552707253402493,13,0.9455741664212728,0.1997902086128191,12.0,35.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,0,344,0,0,0,0,0,0,3868,0,0,0,0,0,0,0,0,4212,6288.475824919914,0.00556573659094026
1381,2016-02,Bari,2016,2,1.9360803181756745,0.1993179604699439,23,2.795626943857012,0.105977305498397,22.0,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,11,58,16,8,0,0,0,0,15,0,0,0,12,0,5,0,3,128,62.337388581106616,0.09625042268482989
1381,2016-02,Bay,2016,2,1.117980820270617,-0.0093803377758418,92,1.2157562028983775,0.3884701618982338,91.0,18.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,75,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,145,99.1318667772593,0.18157632439671934
1381,2016-02,Galgaduud,2016,2,1.146228019293665,0.2076155543823118,13,1.4032713286745575,0.2345478408053596,12.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,0,0,0,0,406,0,0,0,0,0,0,0,0,0,0,0,0,406,49.89342182704212,0.04008544466910074
