,time,Previous (Departure) Region,Banadir,level_0,index,admin1,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,conflicts,yr_mth,sum_disp,population_density,inv_distance,log_disp,x
0,2022-01,Awdal,0,1296,1452,Awdal,2022,1,1.2021176687602484,-0.2385481742207353,6,1.006870744127056,1.1097765445410086,0.9340698740481548,1.228973271924256,0.7921695359559568,-0.2502668263241141,-0.2628333875893948,-0.1857964102298976,0.1049327833780607,-0.0211329647167046,0.0964523893378851,-0.0543724736824231,5.0,4.0,3.0,2.0,1.0,0.0,3,2022-01,307,166.68480685728628,0.0014060378073769858,-inf,1.8466022598950035e-06
1,2022-01,Bakool,3048,1297,1452,Bakool,2022,1,1.054422718993279,0.5924635795945545,8,0.8628358039352968,0.763590676708823,0.6044369918064462,0.6976746152970774,0.6248075138843961,0.1971729795557974,0.5493644456310491,0.4191848196240749,0.1916000070509175,-0.3485112520638359,-0.2697887870619426,-0.0924840300386976,7.0,6.0,5.0,4.0,3.0,2.0,9,2022-01,2077,121.81299458937367,0.004339161252142711,8.022240916806537,1.1380533326478154e-05
3,2022-01,Bari,0,1299,1452,Bari,2022,1,0.7348934792241926,0.1059776927120519,6,0.852973720850748,1.120914584509283,0.7618666341491416,0.6780374270023991,0.4989048699095681,-0.3086501783631496,0.0397719283588131,0.2362076364799005,0.2261675852022191,0.2405121695049659,0.2277697479176822,0.0505982620253739,5.0,4.0,3.0,2.0,1.0,0.0,6,2022-01,1452,73.34594574161682,0.00124865886735538,-inf,1.1878635756446156e-06
4,2022-01,Bay,34277,1300,1452,Bay,2022,1,1.1702301978500431,0.5430375612074938,43,1.0649904194846656,1.0880363053111974,0.8918031878183191,0.9100995182711524,0.9402329215297264,0.6774742344365732,0.4919511648267749,0.348052528216713,0.0635840777328635,-0.410537538310712,-0.3230347505415,-0.1295442537618995,42.0,41.0,40.0,39.0,38.0,37.0,10,2022-01,9886,116.63858187398264,0.0048678032659052834,10.442229854296327,2.113173013816726e-05
5,2022-01,Galgaduud,18,1301,1452,Galgaduud,2022,1,0.5390683642379399,0.2345477880042063,6,0.2502380206873578,0.1938626792527827,0.0339553656566295,0.3625486811329599,0.2147947276578247,-0.4816599440650357,0.1107831436936235,0.1467965885013168,0.1471661595411663,0.1348486054746306,0.1442387700307299,0.1600157980422307,5.0,4.0,3.0,2.0,1.0,0.0,17,2022-01,117578,58.70440169785496,0.003565472503646411,2.8903717578961645,4.3166078363128897e-07
6,2022-01,Gedo,0,1302,1452,Gedo,2022,1,1.208192724356865,0.6873348159117371,43,1.1712979074965968,1.1960111860652232,1.058287721139021,1.0449222147621349,1.0613578789720486,0.7984498739669603,0.5822494579152835,0.4029327574397971,0.1641017458128105,-0.4569077789064282,-0.346844423240216,-0.1229903032004386,42.0,41.0,40.0,39.0,38.0,37.0,7,2022-01,32134,91.14472277786004,0.002616749249414958,-inf,7.246494614108474e-06
7,2022-01,Hiraan,290,1303,1452,Hiraan,2022,1,0.7074664658997607,0.287697628442261,6,0.487568026514266,0.4014035983033094,0.2534979918103787,0.4376681087160884,0.3574909010167173,-0.1133009886935445,0.1834727729966705,0.1840254337699723,0.1309819575188882,0.0441621688582177,0.0709674453561464,0.1211278258186321,5.0,4.0,3.0,2.0,1.0,0.0,21,2022-01,669,56.80291916884319,0.006016509264782172,5.66988092298052,9.17621758315014e-06
8,2022-01,Lower Juba,132,1304,1452,Lower Juba,2022,1,1.2923044623514308,0.6198379672550162,163,1.3691994487692771,1.538599996036779,1.288544843974607,1.2482534520681692,1.2395998862860445,1.204901177809093,0.5773334109127387,0.922478870971114,0.4011303979237886,0.1488567646994079,0.0142916200682933,0.0786878624508346,162.0,161.0,160.0,159.0,158.0,157.0,29,2022-01,1385,152.59457104729574,0.0023353638652866275,4.882801922586371,7.027626143511205e-06
9,2022-01,Lower Shabelle,18721,1305,1452,Lower Shabelle,2022,1,0.9839379846427464,0.246131161855701,41,0.8769124767538071,0.951982268442661,0.7492373834195851,0.7886602955152776,0.8153566679012418,0.6051753575697618,0.2108056632384981,0.1790550605294139,0.0558833163045725,-0.0565049901110351,-0.0298245782648899,0.0512808992460594,40.0,39.0,38.0,37.0,36.0,35.0,45,2022-01,1303,651.9581789477397,0.008508246593928818,9.837401167408268,5.423748906471083e-05
10,2022-01,Middle Juba,254,1306,1452,Middle Juba,2022,1,1.2412508889579938,0.3711581976814715,163,1.2455684113023788,1.4102474513527814,1.1796885338849348,1.1567814956301454,1.1793327711659272,1.0591514807880658,0.3837113155695925,0.3915602231105315,0.1678835701430376,-0.0853499057597849,-0.1034422562699156,0.0249693099450029,162.0,161.0,160.0,159.0,158.0,157.0,1,2022-01,725,71.57637084443164,0.0031030528715675202,5.537334267018537,1.135914671837911e-05
11,2022-01,Middle Shabelle,234,1307,1452,Middle Shabelle,2022,1,0.3808112643155104,0.1791411821595466,6,0.2260327148969038,0.1957858774471379,0.1248510715374576,0.2564923891016407,0.2405724797560306,-0.0405861724663768,0.1070071270260876,0.1171268113369072,0.0742876805249436,0.0852958225854196,0.1161113475981224,0.1389541660136587,5.0,4.0,3.0,2.0,1.0,0.0,21,2022-01,1017,198.4086833984086,0.009785907225679898,5.455321115357701,1.1956235546359217e-05
12,2022-01,Mudug,41,1308,1452,Mudug,2022,1,0.453452928433778,0.1345613667310362,3,0.1393336171746055,0.1306706375076662,-0.077514577864589,0.3372246430321975,0.1591191999452494,-0.7275198548481583,0.0632129805140632,0.2036611554941206,0.226562483429295,0.2327336772430206,0.2226834906995919,0.103863217891218,2.0,1.0,0.0,2.0,1.0,0.0,2,2022-01,79779,86.98840946186222,0.002220736057353776,3.7135720667043075,-3.822762125209972e-07
13,2022-01,Nugaal,0,1309,1452,Nugaal,2022,1,0.699843359740576,0.1139399752578671,3,0.3285845914808786,0.3132471656021008,-0.0551951011854318,0.4719745375071879,0.2313344868978447,-0.9121397645875504,0.0455698636885864,0.2369268966034977,0.2620036209329585,0.2754573657847433,0.2624304914273327,0.085264552944247,2.0,1.0,0.0,2.0,1.0,0.0,3,2022-01,0,23.889637414148865,0.0016594524274810532,-inf,-1.519952959516781e-07
14,2022-01,Sanaag,0,1310,1452,Sanaag,2022,1,1.2461636353679828,0.052559376182004,6,0.9159941792265692,0.9178172449821042,0.4777876606578908,0.9875053572566664,0.6215985475991701,-0.5915871101760565,0.0556622316736382,0.0991973368265734,0.1078463782343433,0.063488065981665,0.0656321122766688,0.070942014449155,5.0,4.0,3.0,2.0,1.0,0.0,0,2022-01,1083,27.283835937866325,0.0014701577646401877,-inf,1.0326729791228263e-06
15,2022-01,Sool,0,1311,1452,Sool,2022,1,1.1080530229873429,0.0800894666180937,6,0.6680752325802594,0.6369192936815411,0.2434857352115295,0.8681247162395166,0.5300712860516593,-0.7421841636717861,0.0468585684891949,0.1879169981718459,0.2054640465564217,0.1952241718424453,0.1818122086174714,0.0766489090707046,5.0,4.0,3.0,2.0,1.0,0.0,3,2022-01,1109,26.17589280906721,0.0017204192404835263,-inf,7.206793938715952e-07
16,2022-01,Togdheer,0,1312,1452,Togdheer,2022,1,1.1395093137598202,-0.0041191792355541,6,0.7508382147884904,0.787171135352772,0.5399053070746052,1.1163843121607335,0.703991941855914,-0.494687621818667,-0.0213620682036838,-0.016666553010298,0.0622345030002352,-0.0025401155873642,0.0396203139508782,0.0876271051439616,5.0,4.0,3.0,2.0,1.0,0.0,3,2022-01,271,69.21938048234784,0.001820272428158295,-inf,1.7889177701109236e-06
17,2022-01,Woqooyi Galbeed,0,1313,1452,Woqooyi Galbeed,2022,1,1.140915197240828,-0.1729951268092957,6,0.8507555628503026,0.9173600092014028,0.7252721090910278,1.1873799707452593,0.7576558003371878,-0.3442123495003766,-0.2025253778569082,-0.1732776226910705,0.0722083389906655,-0.0325832369645388,0.0710384265038717,0.0048581267307333,5.0,4.0,3.0,2.0,1.0,0.0,1,2022-01,38,116.93772861785706,0.0016107324240856426,-inf,1.8816887088150043e-06
18,2022-02,Awdal,0,1314,1453,Awdal,2022,2,1.647860668328938,-0.3285961509947575,7,1.2021176687602484,1.006870744127056,1.1097765445410086,0.9340698740481548,1.228973271924256,0.7921695359559568,-0.2385481742207353,-0.2628333875893948,-0.1857964102298976,0.1049327833780607,-0.0211329647167046,0.0964523893378851,6.0,5.0,4.0,3.0,2.0,1.0,1,2022-02,691,166.68480685728628,0.0014060378073769858,-inf,2.193964211955994e-06
19,2022-02,Bakool,1010,1315,1453,Bakool,2022,2,1.181496841814472,-0.2296161961933013,9,1.054422718993279,0.8628358039352968,0.763590676708823,0.6044369918064462,0.6976746152970774,0.6248075138843961,0.5924635795945545,0.5493644456310491,0.4191848196240749,0.1916000070509175,-0.3485112520638359,-0.2697887870619426,8.0,7.0,6.0,5.0,4.0,3.0,5,2022-02,1191,121.81299458937367,0.004339161252142711,6.917705609835305,1.4377129894219834e-05
21,2022-02,Bari,0,1317,1453,Bari,2022,2,0.5502113359432181,0.19931836669239,7,0.7348934792241926,0.852973720850748,1.120914584509283,0.7618666341491416,0.6780374270023991,0.4989048699095681,0.1059776927120519,0.0397719283588131,0.2362076364799005,0.2261675852022191,0.2405121695049659,0.2277697479176822,6.0,5.0,4.0,3.0,2.0,1.0,6,2022-02,2170,73.34594574161682,0.00124865886735538,-inf,1.7476728165611524e-06
22,2022-02,Bay,30236,1318,1453,Bay,2022,2,1.1558620238130386,-0.2702868204323352,44,1.1702301978500431,1.0649904194846656,1.0880363053111974,0.8918031878183191,0.9100995182711524,0.9402329215297264,0.5430375612074938,0.4919511648267749,0.348052528216713,0.0635840777328635,-0.410537538310712,-0.3230347505415,43.0,42.0,41.0,40.0,39.0,38.0,26,2022-02,4198,116.63858187398264,0.0048678032659052834,10.316788546412067,2.5781573668302256e-05
23,2022-02,Galgaduud,18,1319,1453,Galgaduud,2022,2,0.7414601989933935,0.2076155167797595,7,0.5390683642379399,0.2502380206873578,0.1938626792527827,0.0339553656566295,0.3625486811329599,0.2147947276578247,0.2345477880042063,0.1107831436936235,0.1467965885013168,0.1471661595411663,0.1348486054746306,0.1442387700307299,6.0,5.0,4.0,3.0,2.0,1.0,9,2022-02,731,58.70440169785496,0.003565472503646411,2.8903717578961645,2.46449756687509e-06
24,2022-02,Gedo,0,1320,1453,Gedo,2022,2,1.176024154740842,-0.3128949290373068,44,1.208192724356865,1.1712979074965968,1.1960111860652232,1.058287721139021,1.0449222147621349,1.0613578789720486,0.6873348159117371,0.5822494579152835,0.4029327574397971,0.1641017458128105,-0.4569077789064282,-0.346844423240216,43.0,42.0,41.0,40.0,39.0,38.0,8,2022-02,10838,91.14472277786004,0.002616749249414958,-inf,8.189539049840879e-06
25,2022-02,Hiraan,143,1321,1453,Hiraan,2022,2,0.8513738924080079,0.1342251714945293,7,0.7074664658997607,0.487568026514266,0.4014035983033094,0.2534979918103787,0.4376681087160884,0.3574909010167173,0.287697628442261,0.1834727729966705,0.1840254337699723,0.1309819575188882,0.0441621688582177,0.0709674453561464,6.0,5.0,4.0,3.0,2.0,1.0,12,2022-02,198,56.80291916884319,0.006016509264782172,4.962844630259907,1.4530161483274359e-05
26,2022-02,Lower Juba,5,1322,1453,Lower Juba,2022,2,1.1418586702350384,0.2203692287191772,164,1.2923044623514308,1.3691994487692771,1.538599996036779,1.288544843974607,1.2482534520681692,1.2395998862860445,0.6198379672550162,0.5773334109127387,0.922478870971114,0.4011303979237886,0.1488567646994079,0.0142916200682933,163.0,162.0,161.0,160.0,159.0,158.0,34,2022-02,2969,152.59457104729574,0.0023353638652866275,1.6094379124341003,8.391408034509499e-06
27,2022-02,Lower Shabelle,22163,1323,1453,Lower Shabelle,2022,2,0.9880664689637804,0.0631539870673694,42,0.9839379846427464,0.8769124767538071,0.951982268442661,0.7492373834195851,0.7886602955152776,0.8153566679012418,0.246131161855701,0.2108056632384981,0.1790550605294139,0.0558833163045725,-0.0565049901110351,-0.0298245782648899,41.0,40.0,39.0,38.0,37.0,36.0,52,2022-02,1056,651.9581789477397,0.008508246593928818,10.006179510759674,6.891424402610466e-05
28,2022-02,Middle Juba,1140,1324,1453,Middle Juba,2022,2,1.1813969665573347,-0.0613051015750227,164,1.2412508889579938,1.2455684113023788,1.4102474513527814,1.1796885338849348,1.1567814956301454,1.1793327711659272,0.3711581976814715,0.3837113155695925,0.3915602231105315,0.1678835701430376,-0.0853499057597849,-0.1034422562699156,163.0,162.0,161.0,160.0,159.0,158.0,1,2022-02,1358,71.57637084443164,0.0031030528715675202,7.038783541388541,1.3579184037995357e-05
29,2022-02,Middle Shabelle,413,1325,1453,Middle Shabelle,2022,2,0.4448583611248862,0.1777708987015868,7,0.3808112643155104,0.2260327148969038,0.1957858774471379,0.1248510715374576,0.2564923891016407,0.2405724797560306,0.1791411821595466,0.1070071270260876,0.1171268113369072,0.0742876805249436,0.0852958225854196,0.1161113475981224,6.0,5.0,4.0,3.0,2.0,1.0,15,2022-02,1372,198.4086833984086,0.009785907225679898,6.023447592961032,1.8749234897085354e-05
30,2022-02,Mudug,16,1326,1453,Mudug,2022,2,0.6422945436739754,0.1842036176883258,4,0.453452928433778,0.1393336171746055,0.1306706375076662,-0.077514577864589,0.3372246430321975,0.1591191999452494,0.1345613667310362,0.0632129805140632,0.2036611554941206,0.226562483429295,0.2327336772430206,0.2226834906995919,3.0,2.0,1.0,0.0,2.0,1.0,5,2022-02,1871,86.98840946186222,0.002220736057353776,2.772588722239781,6.444242846990269e-07
31,2022-02,Nugaal,0,1327,1453,Nugaal,2022,2,0.9180677454801816,0.2094031618567795,4,0.699843359740576,0.3285845914808786,0.3132471656021008,-0.0551951011854318,0.4719745375071879,0.2313344868978447,0.1139399752578671,0.0455698636885864,0.2369268966034977,0.2620036209329585,0.2754573657847433,0.2624304914273327,3.0,2.0,1.0,0.0,2.0,1.0,3,2022-02,743,23.889637414148865,0.0016594524274810532,-inf,8.626145186646088e-07
32,2022-02,Sanaag,0,1328,1453,Sanaag,2022,2,1.578739854612722,0.0585135955062028,7,1.2461636353679828,0.9159941792265692,0.9178172449821042,0.4777876606578908,0.9875053572566664,0.6215985475991701,0.052559376182004,0.0556622316736382,0.0991973368265734,0.1078463782343433,0.063488065981665,0.0656321122766688,6.0,5.0,4.0,3.0,2.0,1.0,2,2022-02,913,27.283835937866325,0.0014701577646401877,-inf,1.983737016901801e-06
33,2022-02,Sool,0,1329,1453,Sool,2022,2,1.5186932569831049,0.1348152190404009,7,1.1080530229873429,0.6680752325802594,0.6369192936815411,0.2434857352115295,0.8681247162395166,0.5300712860516593,0.0800894666180937,0.0468585684891949,0.1879169981718459,0.2054640465564217,0.1952241718424453,0.1818122086174714,6.0,5.0,4.0,3.0,2.0,1.0,0,2022-02,4027,26.17589280906721,0.0017204192404835263,-inf,1.8851807072671683e-06
34,2022-02,Togdheer,0,1330,1453,Togdheer,2022,2,1.758926359579594,-0.0181877567572241,7,1.1395093137598202,0.7508382147884904,0.787171135352772,0.5399053070746052,1.1163843121607335,0.703991941855914,-0.0041191792355541,-0.0213620682036838,-0.016666553010298,0.0622345030002352,-0.0025401155873642,0.0396203139508782,6.0,5.0,4.0,3.0,2.0,1.0,1,2022-02,25515,69.21938048234784,0.001820272428158295,-inf,2.6082063163649902e-06
35,2022-02,Woqooyi Galbeed,0,1331,1453,Woqooyi Galbeed,2022,2,1.7384902429898124,-0.2262913291501256,7,1.140915197240828,0.8507555628503026,0.9173600092014028,0.7252721090910278,1.1873799707452593,0.7576558003371878,-0.1729951268092957,-0.2025253778569082,-0.1732776226910705,0.0722083389906655,-0.0325832369645388,0.0710384265038717,6.0,5.0,4.0,3.0,2.0,1.0,3,2022-02,68,116.93772861785706,0.0016107324240856426,-inf,2.3800528789065254e-06
36,2022-03,Awdal,0,1332,1454,Awdal,2022,3,1.8384198458033505,-0.2755896053521825,8,1.647860668328938,1.2021176687602484,1.006870744127056,1.1097765445410086,0.9340698740481548,1.228973271924256,-0.3285961509947575,-0.2385481742207353,-0.2628333875893948,-0.1857964102298976,0.1049327833780607,-0.0211329647167046,7.0,6.0,5.0,4.0,3.0,2.0,1,2022-03,477,166.68480685728628,0.0014060378073769858,-inf,1.9905253805791105e-06
