index,time,admin1,tmx,pre,conflicts,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,conflicts_lag1,conflicts_lag2,conflicts_lag3,conflicts_lag4,conflicts_lag5,conflicts_lag6,month_name,yr_mth,Awdal,Bakool,Banadir,Bari,Bay,Galgaduud,Gedo,Hiraan,Lower_Juba,Lower_Shabelle,Middle_Juba,Middle_Shabelle,Mudug,Nugaal,Sanaag,Sool,Togdheer,Woqooyi_Galbeed,sum_disp,population_density,conflicts_log,sum_disp_log
1380,2016-01,Awdal,0.29146978830430315,0.010244244772574788,0.041666666666666664,2016,01,0.7601278698178022,0.23704470310191633,0.5229885057471264,0.810713096895711,0.8862006768378218,0.8350718491547451,0.7587624461329897,0.6615183128304496,0.5501617358200251,0.2540835743176105,0.2564974247664048,0.2986625318088702,0.4652554194816775,0.5625339871247248,0.5972562375955823,0.5202312138728323,0.5174418604651163,0.5146198830409356,0.5117647058823529,0.5088757396449703,0.5059523809523809,0.041666666666666664,0.0625,0.09375,0.0625,0.010416666666666666,0.010416666666666666,,2016-01,0,7,26,0,13,14,0,14,0,0,9,0,0,6,0,0,0,0,0.0007569443263195497,0.016447657558127382,0.35181193303727093,0.3854271025914979
1380,2016-01,Bakool,0.6170607056711412,0.003803029363533184,0.0625,2016,01,0.7174077108997305,0.5143530124422098,0.5229885057471264,0.658098382152757,0.6406633813358348,0.5806360759237539,0.52123814703942,0.43996434432639153,0.39531630970986853,0.5042046489781149,0.5475929054164448,0.5381378812001296,0.41052260823424275,0.41208370108085546,0.42027350526566276,0.5202312138728323,0.5174418604651163,0.5146198830409356,0.5117647058823529,0.5088757396449703,0.5059523809523809,0.08333333333333333,0.041666666666666664,0.020833333333333332,0.125,0.07291666666666666,0.1875,,2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.011279165372572578,0.42536242359335186,0.0
1380,2016-01,Banadir,0.5238231404468772,0.017258839643189156,0.375,2016,01,0.5048798302887015,0.42341846774177916,0.06896551724137931,0.43962077349874407,0.4235541051393351,0.39623199189437036,0.3658692852263158,0.30732399016251616,0.2695724322632327,0.40493580201907775,0.4152207362009344,0.40263197943019746,0.39417186484878325,0.39952997881119384,0.4080240118185472,0.06358381502890173,0.05813953488372093,0.05263157894736842,0.047058823529411764,0.04142011834319526,0.03571428571428571,0.34375,0.4375,0.35416666666666663,0.3125,0.34375,0.5104166666666666,,2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.849494701352818,0.7893215395709078,0.0
1380,2016-01,Bari,0.2165468153904564,0.0110509470509294,0.0625,2016,01,0.9854028736836984,0.39328263294757,0.12643678160919541,0.985955488390499,1.0,0.9007317176318184,0.771571288058039,0.6497132159551346,0.5799025097794328,0.37201505362937376,0.4351169911147747,0.43189177970013753,0.43649975586996925,0.4324064497287164,0.3754928461181116,0.12138728323699421,0.11627906976744186,0.1111111111111111,0.10588235294117647,0.10059171597633136,0.09523809523809523,0.08333333333333333,0.041666666666666664,0.020833333333333332,0.07291666666666666,0.05208333333333333,0.010416666666666666,,2016-01,0,0,23,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0.00026365476534725887,0.005696566389636422,0.42536242359335186,0.29685445501640234
1380,2016-01,Bay,0.6101894520526676,0.0069145991494444755,0.16666666666666666,2016,01,0.5750552369011899,0.4840289633872948,0.5229885057471264,0.5099355844515123,0.49399298884478626,0.4662038259530378,0.4267813485997317,0.3630009172982503,0.3375171903057306,0.48987317599457125,0.5397900935203696,0.5306063034452928,0.41326649336684645,0.41058401692162805,0.41832351056859446,0.5202312138728323,0.5174418604651163,0.5146198830409356,0.5117647058823529,0.5088757396449703,0.5059523809523809,0.16666666666666666,0.09375,0.19791666666666666,0.375,0.34375,0.44791666666666663,,2016-01,0,14,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000969569137083468,0.010683142322103788,0.6193207302864633,0.4064228436786594
1380,2016-01,Galgaduud,0.5280451986332013,0.011965699070340579,0.05208333333333333,2016,01,0.6237590806132962,0.4345837904266191,0.06896551724137931,0.5734572147099415,0.5563105072562341,0.4859439170970997,0.43780966738525573,0.3582845097105784,0.2890114652709104,0.3948263098601269,0.406395072813796,0.40651379180270114,0.4025569677908445,0.4055734131330088,0.4106415397216505,0.06358381502890173,0.05813953488372093,0.05263157894736842,0.047058823529411764,0.04142011834319526,0.03571428571428571,0.05208333333333333,0.0625,0.09375,0.03125,0.07291666666666666,0.08333333333333333,,2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.004010096349500605,0.39166615719496867,0.0
1380,2016-01,Gedo,0.7333430249380044,0.006467810096950003,0.26041666666666663,2016,01,0.6264423772645109,0.45303790542655853,0.5229885057471264,0.5739355489321424,0.5562358090059,0.5320148592861283,0.48457549808948963,0.41763527698500913,0.3971379741536909,0.5224751240992356,0.5810727015940118,0.5795911687703552,0.4542590752370255,0.4149673287724906,0.4218943703321261,0.5202312138728323,0.5174418604651163,0.5146198830409356,0.5117647058823529,0.5088757396449703,0.5059523809523809,0.10416666666666666,0.07291666666666666,0.14583333333333331,0.125,0.25,0.21875,,2016-01,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8.504992430556738e-05,0.007746698474563846,0.7121972411659038,0.20538953756341713
1380,2016-01,Hiraan,0.5857795931501995,0.007367190149914185,0.10416666666666666,2016,01,0.6486214055163613,0.4417614740393617,0.23563218390804597,0.5828862303142764,0.5608938487212648,0.49384217401280617,0.44527187670325896,0.3693801747376451,0.31669069978121367,0.4147337459967956,0.42648016725805626,0.41718980018836727,0.3975043434683904,0.4012847283081601,0.4111679942900839,0.23121387283236994,0.22674418604651161,0.2222222222222222,0.21764705882352942,0.21301775147928995,0.20833333333333331,0.14583333333333331,0.125,0.15625,0.13541666666666666,0.28125,0.1875,,2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.003791023347595466,0.5241632278117911,0.0
1380,2016-01,Lower_Juba,0.6847471549729931,0.007883268806318545,0.125,2016,01,0.6643036935632448,0.34244543038288294,0.5229885057471264,0.5997343923903604,0.5498033582596449,0.5368331050301101,0.4649705924947458,0.36428589442300124,0.34672262780680563,0.41191820516956384,0.4405575826941811,0.470541954391647,0.47500806926918643,0.4004885488944562,0.4063266558511372,0.5202312138728323,0.5174418604651163,0.5146198830409356,0.5117647058823529,0.5088757396449703,0.5059523809523809,0.1875,0.09375,0.10416666666666666,0.10416666666666666,0.13541666666666666,0.08333333333333333,,2016-01,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8.504992430556738e-05,0.01482474325787769,0.5606800887562651,0.20538953756341713
1380,2016-01,Lower_Shabelle,0.558601981321549,0.006386962046865704,0.3020833333333333,2016,01,0.5218031977571818,0.4241911135964828,0.5172413793103449,0.454060700392491,0.4340598721775286,0.4101032439870085,0.37590184441421043,0.30583974261193814,0.2768310280769817,0.41913060406499814,0.4372617648535799,0.42542369403986013,0.3973764168281325,0.39824939851450614,0.407437820190419,0.5144508670520231,0.5116279069767442,0.5087719298245614,0.5058823529411764,0.5029585798816568,0.5,0.4895833333333333,0.34375,0.3020833333333333,0.25,0.32291666666666663,0.41666666666666663,,2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0723432594881032,0.7434780902322397,0.0
