,time,Previous (Departure) Region,Banadir,level_0,index,admin1,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,conflicts,yr_mth,sum_disp,population_density,inv_distance,log_disp_ban,x,x_dist,inv_distance_2,Disp_log,gdp_mean,accessibility_to_cities_mean,shapeName,gdp_pp_destination
0,2016-02,Lower Shabelle,108,27,1381,Lower Shabelle,2016,2,0.645144540225769,0.36417255243275204,0.5229885057471264,0.6178762557015165,0.5834341301431406,0.5682007222647925,0.5601261252338063,0.5152047396113184,0.4211252280135833,0.3825987665084581,0.36187172725592265,0.392076739936949,0.40175903004747543,0.3822734810928049,0.42983889335177483,0.5202312138728323,0.5174418604651163,0.5146198830409356,0.5117647058823529,0.5088757396449703,0.5059523809523809,0.4943820224719101,2016-02,0.0,0.8447885656549582,0.8503428062385867,0.3627238755689922,0.6229346107778385,0.6128822855564597,0.7518840614303502,0.3627238755689922,0.7969199309273909,0.07366218628697868,Lower Shabelle,0.0713953260313553
1,2016-03,Lower Shabelle,681,45,1382,Lower Shabelle,2016,3,0.864697726406948,0.34037195420722005,0.5287356321839081,0.6112538580173685,0.6178762557015165,0.5834341301431406,0.5987139139881112,0.571403271636346,0.532210474379702,0.34719530900450796,0.367431073692712,0.3678705910556488,0.4197216124899029,0.42451955240240824,0.4286226302167412,0.5260115606936416,0.5232558139534884,0.5204678362573099,0.5176470588235293,0.514792899408284,0.5119047619047619,0.42696629213483145,2016-03,0.006113096561276311,0.8447885656549582,0.8503428062385867,0.5491135749255164,0.6625099846558339,0.6535127139166496,0.7518840614303502,0.5491135749255164,0.7969199309273909,0.07366218628697868,Lower Shabelle,0.0713953260313553
2,2016-04,Bay,3,58,1383,Bay,2016,4,0.9268552047637696,0.3665621433351837,0.5402298850574713,0.8749329964924881,0.6606906132861425,0.6997228392693291,0.7006482216863434,0.7092479379906094,0.6753865654267455,0.2655735062714413,0.29276595884124107,0.45451365634118424,0.4995519180272927,0.5967833707903103,0.614242331186989,0.5375722543352601,0.5348837209302325,0.5321637426900585,0.5294117647058824,0.5266272189349113,0.5238095238095237,0.19101123595505617,2016-04,0.0008122296130367127,0.12313663582074608,0.4239239912730125,0.0,0.36674869889122835,0.47874975130622704,0.23498115087993202,0.0,0.14978774169081593,0.14337545351115855,Bay,0.18451350034889197
3,2016-04,Lower Shabelle,12,63,1383,Lower Shabelle,2016,4,0.9192985111172413,0.3819756095105989,0.5344827586206896,0.8517756021163039,0.6112538580173685,0.6178762557015165,0.6128708497203513,0.6107679570993179,0.5864376642566568,0.32452224289678333,0.3406211637286596,0.37462666412580214,0.3922101644198037,0.44235058747897626,0.4676989016244507,0.5317919075144508,0.5290697674418604,0.5263157894736842,0.5235294117647059,0.5207100591715976,0.5178571428571428,0.550561797752809,2016-04,8.122296130367127e-05,0.8447885656549582,0.8503428062385867,0.1403207495148572,0.6549005859886488,0.6457004534850913,0.7518840614303502,0.1403207495148572,0.7969199309273909,0.07366218628697868,Lower Shabelle,0.0713953260313553
4,2016-05,Bay,56,76,1384,Bay,2016,5,0.7858472844870148,0.26753048638185395,0.5459770114942528,0.9198694674944972,0.8749329964924881,0.6606906132861425,0.7209419914262427,0.7147545313488998,0.7194469907741043,0.3494716951687486,0.27881157402593043,0.2838888449480409,0.4906841597226529,0.5215962629141597,0.6270374510417988,0.5433526011560693,0.5406976744186046,0.5380116959064327,0.5352941176470588,0.5325443786982248,0.5297619047619048,0.1348314606741573,2016-05,0.000247943776611207,0.12313663582074608,0.4239239912730125,0.2962446346538915,0.44732853318244953,0.6233469220260652,0.23498115087993202,0.2962446346538915,0.14978774169081593,0.14337545351115855,Bay,0.18451350034889197
5,2016-05,Hiraan,9,79,1384,Hiraan,2016,5,0.6531170148004233,0.3373288953099264,0.25862068965517243,0.8216681303244695,0.8862416409786689,0.7205093600928381,0.826020679386561,0.8316646156240788,0.8255200075736487,0.3715134381306283,0.335274686229122,0.3565748031621939,0.4265492787953689,0.40841787151858877,0.46917081042677633,0.2543352601156069,0.25,0.24561403508771928,0.2411764705882353,0.23668639053254437,0.23214285714285712,0.21348314606741572,2016-05,0.0,0.04247329641756503,0.5584762440204455,0.11120156302706749,0.584915059061302,0.7379842856451686,0.36770125589026587,0.11120156302706749,0.045536967261631076,0.5225984354253008,Hiraan,0.25901326262004426
6,2016-05,Lower Shabelle,267,81,1384,Lower Shabelle,2016,5,0.7653752621990955,0.3467746696039617,0.5402298850574713,0.9115910673168541,0.8517756021163039,0.6112538580173685,0.6448791148377521,0.6252099176316369,0.6244215082491749,0.3641549621283779,0.3234515734170556,0.342045548201324,0.39988876518933414,0.4150406170380655,0.48419204156700363,0.5375722543352601,0.5348837209302325,0.5321637426900585,0.5294117647058824,0.5266272189349113,0.5238095238095237,0.449438202247191,2016-05,0.0006241343342282108,0.8447885656549582,0.8503428062385867,0.4543398843458113,0.9312696484139515,0.9294373406326728,0.7518840614303502,0.4543398843458113,0.7969199309273909,0.07366218628697868,Lower Shabelle,0.0713953260313553
7,2016-06,Bay,75,94,1385,Bay,2016,6,0.7778466163688235,0.12609165335297856,0.5517241379310345,0.7653945017395429,0.9198694674944972,0.8749329964924881,0.6846679863485188,0.7354568801607371,0.7247604228666402,0.2551315746564976,0.3423449984162716,0.2669305847400797,0.29676088588295263,0.51279344684429,0.5574917692150172,0.5491329479768786,0.5465116279069767,0.5438596491228069,0.5411764705882353,0.5384615384615384,0.5357142857142857,0.19101123595505617,2016-06,0.0005343615875241532,0.12313663582074608,0.4239239912730125,0.3258146905941991,0.46422982662767154,0.6536755921602393,0.23498115087993202,0.3258146905941991,0.14978774169081593,0.14337545351115855,Bay,0.18451350034889197
8,2016-06,Hiraan,11,97,1385,Hiraan,2016,6,0.622992447988868,0.33875297092206463,0.26436781609195403,0.6199877485285172,0.8216681303244695,0.8862416409786689,0.7402596281458338,0.8426511411938533,0.8375695143158187,0.3216233462012362,0.3590365078314988,0.33554816706749646,0.37937196022773956,0.44912825198095263,0.45280535927052695,0.26011560693641617,0.2558139534883721,0.25146198830409355,0.24705882352941178,0.24260355029585798,0.23809523809523808,0.21348314606741572,2016-06,0.0,0.04247329641756503,0.5584762440204455,0.13151345578422308,0.5478129565015949,0.6841175850907998,0.36770125589026587,0.13151345578422308,0.045536967261631076,0.5225984354253008,Hiraan,0.25901326262004426
9,2016-06,Lower Shabelle,99,99,1385,Lower Shabelle,2016,6,0.7531687863916219,0.2925124301952169,0.5459770114942528,0.7429672867600285,0.9115910673168541,0.8517756021163039,0.6387246903546347,0.6578626124150697,0.6383568711094145,0.3306216353609417,0.35346416848947376,0.3211799648006996,0.36285876577812604,0.4226629842616703,0.45893118809580846,0.5433526011560693,0.5406976744186046,0.5380116959064327,0.5352941176470588,0.5325443786982248,0.5297619047619048,0.4382022471910112,2016-06,0.0024238641610095585,0.8447885656549582,0.8503428062385867,0.35391658183835806,1.0,0.9999999999999999,0.7518840614303502,0.35391658183835806,0.7969199309273909,0.07366218628697868,Lower Shabelle,0.0713953260313553
