admin1,Awdal,Bakool,Banadir,Bari,Bay,Galgaduud,Gedo,Hiraan,Lower_Juba,Lower_Shabelle,Middle_Juba,Middle_Shabelle,Mudug,Nugaal,Sanaag,Sool,Togdheer,Woqooyi_Galbeed,yr_mth
Galgaduud,0.0,0.0,0.0,0.0,0.0,0.10496380558428128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02
Gedo,0.0,0.0077559462254395035,0.0,0.0,0.019906928645294725,0.0,0.006980351602895553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02
Hiraan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02
Lower_Juba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012926577042399173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02
Lower_Shabelle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18691830403309204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02
Middle_Juba,0.0,0.0,0.0,0.0,0.011375387797311272,0.0,0.025853154084798345,0.0,0.0062047569803516025,0.0,0.07755946225439504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02
Middle_Shabelle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02
Mudug,0.0,0.0,0.024301964839710446,0.0,0.002843846949327818,0.01732161323681489,0.0,0.00672182006204757,0.0,0.0031023784901758012,0.0,0.007238883143743537,0.12849017580144778,0.0,0.0,0.0,0.0,0.0043950361944157185,2016-02
Nugaal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02
Sanaag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02
Sool,0.0,0.0,0.0,0.0059462254395036196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031023784901758014,0.010082730093071354,0.0,0.0,2016-02
Togdheer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02
Woqooyi_Galbeed,0.005170630816959669,0.0007755946225439503,0.013185108583247156,0.004136504653567736,0.001034126163391934,0.0018097207859358842,0.0012926577042399173,0.006980351602895553,0.0015511892450879006,0.006463288521199586,0.0,0.0018097207859358842,0.0038779731127197518,0.002326783867631851,0.0043950361944157185,0.0025853154084798345,0.0025853154084798345,0.03205791106514995,2016-02
Awdal,0.009948979591836734,0.0,0.004081632653061225,0.0,0.0,0.0,0.0,0.0017857142857142857,0.0,0.0,0.0,0.0,0.0010204081632653062,0.0,0.0,0.0,0.0,0.0,2016-03
Bakool,0.0,0.3721938775510204,0.0,0.0,0.0,0.0,0.01173469387755102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-03
Banadir,0.0,0.0,0.0,0.0,0.005357142857142857,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-03
