index,time,admin1,tmx,pre,conflicts,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,conflicts_lag1,conflicts_lag2,conflicts_lag3,conflicts_lag4,conflicts_lag5,conflicts_lag6,Awdal,Bakool,Banadir,Bari,Bay,Galgaduud,Gedo,Hiraan,Lower_Juba,Lower_Shabelle,Middle_Juba,Middle_Shabelle,Mudug,Nugaal,Sanaag,Sool,Togdheer,Woqooyi_Galbeed,April,August,December,February,January,July,June,March,May,November,October,September,month_name
1380,2016-01,Awdal,30.050001,3.775,4.0,2016,1,1.9282974783092888,-0.38038943970292743,91,2.4346858654926895,2.849341268970325,2.627356362582648,2.296045506185079,1.8738427918627205,1.390368391148206,-0.3273476019049476,-0.3198333092999541,-0.1885737475502946,0.33002826630254106,0.6328554865346949,0.740945509291582,90.0,89.0,88.0,87.0,86.0,85.0,4.0,6.0,9.0,6.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1380,2016-01,Bakool,34.45,1.6125,6.0,2016,1,1.7638213879543843,0.48286858824153733,91,1.788443002790117,1.7832973945723811,1.5226781631829671,1.2647914820186528,0.9119268006914538,0.7180794109922932,0.4512768330153074,0.5863440467529918,0.5569106497568443,0.15964556549664144,0.16450523210890786,0.19000001164381314,90.0,89.0,88.0,87.0,86.0,85.0,8.0,4.0,2.0,12.0,7.0,18.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1380,2016-01,Banadir,33.19,6.13,36.0,2016,1,0.9455717423630889,0.1997902487685147,12,0.8633055054604228,0.840678826215719,0.7220550081889952,0.5902299125861188,0.33604509292364615,0.17213998447471504,0.14225389293088014,0.17427079145256516,0.13508211596703096,0.10874586283740045,0.12542561867917817,0.15186745953373773,11.0,10.0,9.0,8.0,7.0,6.0,33.0,42.0,34.0,30.0,33.0,49.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1380,2016-01,Bari,29.0375,4.045833,6.0,2016,1,2.7956245863757,0.10597769271205197,22,3.1767450105573056,3.3434212869148507,2.912430369122694,2.351657373394148,1.822588862455072,1.519493255191615,0.03977192835881313,0.2362076364799005,0.22616758520221916,0.2405121695049659,0.22776974791768223,0.050598262025373986,21.0,20.0,19.0,18.0,17.0,16.0,8.0,4.0,2.0,7.0,5.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1380,2016-01,Bay,34.357143,2.6571429,16.0,2016,1,1.2157527719052135,0.3884701230505286,91,1.1610516618323143,1.146501778041046,1.025850180837332,0.8546904781528022,0.5777763826529888,0.46713424577653484,0.40666309917247645,0.5620539703905063,0.5334649225969976,0.16818725281251246,0.1598367301339254,0.18392969741234277,90.0,89.0,88.0,87.0,86.0,85.0,16.0,9.0,19.0,36.0,33.0,43.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1380,2016-01,Galgaduud,33.247055,4.3529415,5.0,2016,1,1.403266535943083,0.23454778800420634,12,1.4300322791396427,1.4170643768282738,1.1115553003026313,0.9025718872160561,0.5572992595840784,0.2565380064521401,0.11078314369362355,0.1467965885013168,0.1471661595411663,0.1348486054746306,0.1442387700307299,0.16001579804223076,11.0,10.0,9.0,8.0,7.0,6.0,5.0,6.0,9.0,3.0,7.0,8.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1380,2016-01,Gedo,36.021427,2.507143,25.0,2016,1,1.4135974465396606,0.2919952657238841,91,1.4320577724061625,1.416740061078057,1.3115804965073288,1.105614065600628,0.8149811802241662,0.7259884914339225,0.5081526416060718,0.6905663215668453,0.6859543245202103,0.29579675528211963,0.1734819366307775,0.19504574858609203,90.0,89.0,88.0,87.0,86.0,85.0,10.0,7.0,14.0,12.0,24.0,21.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1380,2016-01,Hiraan,34.02727,2.8090906,10.0,2016,1,1.4989885112529562,0.2568918461951996,41,1.4699591895091682,1.4369637696397846,1.1458469886027571,0.9349703972536816,0.6054730643427133,0.3767123300204073,0.17275479575718444,0.20932128912164233,0.1804004681965889,0.11911983586465281,0.13088813653120826,0.16165464591386244,40.0,39.0,38.0,37.0,36.0,35.0,14.0,12.0,15.0,13.0,27.0,18.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1380,2016-01,Lower_Juba,35.364708,2.982353,12.0,2016,1,1.5593665971752844,-0.05227801674219174,91,1.5413022740188362,1.3888124311781167,1.33249976805919,1.0204958782609068,0.5833553395677893,0.5071012912679793,0.16399004497169462,0.25314414432873766,0.346485197261071,0.3603881687621054,0.12840963788037754,0.14658360717232854,90.0,89.0,88.0,87.0,86.0,85.0,18.0,9.0,10.0,10.0,13.0,8.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1380,2016-01,Lower_Shabelle,33.659996,2.48,29.0,2016,1,1.0107280851143683,0.2021954876826234,90,0.9244509835275158,0.8862914838530078,0.7822795182511209,0.6337880541096874,0.32960096798470784,0.2036544702401375,0.18644217149481712,0.24288429594442462,0.20603249842840346,0.118721601497088,0.12143918486414727,0.15004265078531143,89.0,88.0,87.0,86.0,85.0,84.0,47.0,33.0,29.0,24.0,31.0,40.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
