index,time,admin1,tmx,pre,conflicts,Awdal,Bakool,Banadir,Bari,Bay,Galgaduud,Gedo,Hiraan,Lower_Juba,Lower_Shabelle,Middle_Juba,Middle_Shabelle,Mudug,Nugaal,Sanaag,Sool,Togdheer,Woqooyi_Galbeed,sum_disp,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,conflicts_lag1,conflicts_lag2,conflicts_lag3,conflicts_lag4,conflicts_lag5,conflicts_lag6,sum_disp_lag1,sum_disp_lag2,sum_disp_lag3,sum_disp_lag4,sum_disp_lag5,sum_disp_lag6,month_name,population_density,conflicts_log,sum_disp_log
1152,1997-01,Awdal,0.7419558263351488,0.03144445005061377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997,01,0.5344996320459815,0.24684914981648023,0.028735632183908046,0.5573030041443542,0.5550171740195282,0.5806086750613783,0.5282634677381367,0.47827592952246223,0.48552450375249534,0.18661030976284648,0.19874471875962335,0.22998621378508866,0.2851400283705572,0.47573416959032466,0.5011376237323607,0.022988505747126436,0.017241379310344827,0.011494252873563218,0.005747126436781609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1152,1997-01,Bakool,0.8495267753721412,0.0011966176163453256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997,01,0.49927265129575615,0.11388835408551107,0.0,0.4895383572533815,0.45912357160201656,0.4811962799300073,0.4711138262514418,0.45086562074036995,0.5197749622288105,0.08921076222190674,0.11475282258804656,0.09841919640535168,0.12887786970298215,0.18122963514024917,0.14108434937824108,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1152,1997-01,Banadir,0.8272555859683064,0.009014518663228468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997,01,0.49990512548776567,0.20720128853095474,0.0,0.47569305754949004,0.4747721109939961,0.493540365992665,0.4962217808384778,0.4802293801870466,0.5165264588653187,0.1933791206287345,0.2127584081838118,0.19904592945219002,0.21562514216606182,0.24900425783159422,0.24913604530872147,0.0,0.0,0.0,0.0,0.0,0.08620689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1152,1997-01,Bari,0.7220820478084335,0.010758477735135726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997,01,0.4729285833836918,0.29783157763503165,0.0,0.4721366788739865,0.4420586743312852,0.475074406705112,0.42605122866063644,0.42528183898752436,0.5534733084627158,0.28450690062714873,0.32404186241027955,0.3220211857860523,0.32490819954555883,0.3223436395920943,0.28668582569048323,0.0,0.0,0.0,0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1152,1997-01,Bay,0.8549797948602622,0.003665828325414636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997,01,0.52901253742197,0.16949931511559055,0.005747126436781609,0.5040786460161931,0.4755430841565101,0.4960684360861398,0.4951787788330557,0.4793782595587826,0.5404308385482468,0.14666741447138992,0.15820763181721653,0.1535038901168153,0.191347835500692,0.22634693726285965,0.19966302940604758,0.0,0.0,0.0,0.0,0.0,0.040229885057471264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1152,1997-01,Galgaduud,0.825533508878401,0.006397601807561536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997,01,0.47273109237913696,0.1502603765413242,0.0,0.4719040959201957,0.4887715883324664,0.5148811231513759,0.4846650349225621,0.4500588953638251,0.4997898149683539,0.12787146261730153,0.16288798128301818,0.1568926433941547,0.2054315759654557,0.2604075776924771,0.2635828873418896,0.0,0.0,0.005747126436781609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1152,1997-01,Gedo,0.89553852261805,0.002849089358944208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997,01,0.5392222225151737,0.1343188567561899,0.011494252873563218,0.521755546643512,0.4767356614045715,0.49742811868079195,0.4950472537513955,0.48200782135713044,0.5541993381297852,0.11847742222176777,0.10518227514856579,0.10457211119943494,0.18917942639436247,0.22577380065676605,0.22776992363941578,0.005747126436781609,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1152,1997-01,Hiraan,0.8417550938362579,0.001522967788895305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997,01,0.4810804090920865,0.11307170372461667,0.0,0.47190086440940154,0.4731712688353973,0.49450582184198805,0.4819197154563752,0.4581641460167114,0.5045316228489702,0.09017242775209472,0.12516811808925649,0.10999326928117789,0.1467130334934703,0.2168157563196697,0.21560249033132178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1152,1997-01,Lower_Juba,0.877788170655067,0.0024088772122322854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997,01,0.5701241974491357,0.17082633530258312,0.011494252873563218,0.5290240511466995,0.501337225243686,0.5214429220359108,0.5450034692867666,0.5464397990530041,0.569926316505838,0.1747415414696047,0.16485110265034394,0.13367003449270737,0.19523048134483367,0.24530499629016125,0.2583345722243644,0.005747126436781609,0.0,0.11494252873563218,0.10919540229885058,0.10344827586206896,0.09770114942528735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1152,1997-01,Lower_Shabelle,0.8378549088438978,0.004201457038673398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997,01,0.5177317501716276,0.21599762205687992,0.005747126436781609,0.48834013094407075,0.4771157168626868,0.49739519391207887,0.5046259205428533,0.4898083753036278,0.5332765836122801,0.20667978797519976,0.22130978102196844,0.21067286884182201,0.22877828304488163,0.25073141835162605,0.24720438282052615,0.0,0.0,0.0,0.0,0.0,0.09195402298850575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
