,time,Previous (Departure) Region,index,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,population_density_origin,conflicts,inv_distance,x,x_dist,Current (Arrival) Region,Displacements,Disp_log,population_density_destination,gdp_mean_destination,accessibility_to_cities_mean_destination,gdp_mean_origin,accessibility_to_cities_mean_origin,inv_distance_2
348,2020-01,Lower Shabelle,1428,2020,1,0.991222377932367,0.4360472747604675,17,0.6587868443993922,0.7391795156901699,1.008990756248986,1.314725889667552,1.0274331002584838,1.1532707124778587,0.4627965251536148,0.2943914913680741,0.510708213976921,0.2996621442376332,0.3023797276046925,0.3894119641328024,16.0,15.0,14.0,13.0,12.0,11.0,619.3400355512963,52,0.008508246593928818,2.1311076632274792e-05,0.0025047554037140414,Banadir,114,4.736198448394496,7028.832067289627,2.3296512902,16.3040864778,0.0264198642755,144.922380347,7.239026010310133e-05
382,2020-05,Lower Shabelle,1432,2020,5,0.4098700579028002,0.1522336980148802,21,0.8339844726295664,1.1951183678890795,0.9109204970328044,0.991222377932367,0.6587868443993922,0.7391795156901699,0.1201154138652622,0.201488211122693,0.3360359196500412,0.4360472747604675,0.4627965251536148,0.2943914913680741,20.0,19.0,18.0,17.0,16.0,15.0,619.3400355512963,64,0.008508246593928818,1.4585784010880341e-05,0.0017143113860014633,Banadir,64,4.1588830833596715,7028.832067289627,2.3296512902,16.3040864778,0.0264198642755,144.922380347,7.239026010310133e-05
384,2020-05,Middle Shabelle,1432,2020,5,0.054107249256939,0.1191719012981683,16,0.3475239749259176,0.5744837060692436,0.3072158360700135,0.2723270029839358,0.0392024139346331,0.0030452511904917,0.1604904314189245,0.1275279286925687,0.1777708987015868,0.1791411821595466,0.1070071270260876,0.1171268113369072,15.0,14.0,13.0,12.0,11.0,10.0,188.4820463048475,18,0.009785907225679898,1.2212582042038778e-05,0.0012479764788685989,Banadir,230,5.438079308923196,7028.832067289627,2.3296512902,16.3040864778,0.0136187814563,120.946453197,9.576398022961404e-05
399,2020-06,Lower Shabelle,1433,2020,6,0.804853144226116,0.0411989833860188,22,0.4098700579028002,0.8339844726295664,1.1951183678890795,0.9109204970328044,0.991222377932367,0.6587868443993922,0.1522336980148802,0.1201154138652622,0.201488211122693,0.3360359196500412,0.4360472747604675,0.4627965251536148,21.0,20.0,19.0,18.0,17.0,16.0,619.3400355512963,43,0.008508246593928818,8.695186052097994e-06,0.0010219715608974674,Banadir,11,2.3978952727983707,7028.832067289627,2.3296512902,16.3040864778,0.0264198642755,144.922380347,7.239026010310133e-05
401,2020-06,Middle Shabelle,1433,2020,6,0.2340082434177942,0.1315503268166041,17,0.054107249256939,0.3475239749259176,0.5744837060692436,0.3072158360700135,0.2723270029839358,0.0392024139346331,0.1191719012981683,0.1604904314189245,0.1275279286925687,0.1777708987015868,0.1791411821595466,0.1070071270260876,16.0,15.0,14.0,13.0,12.0,11.0,188.4820463048475,20,0.009785907225679898,1.5369202501444115e-05,0.0015705444724749373,Banadir,44,3.784189633918261,7028.832067289627,2.3296512902,16.3040864778,0.0136187814563,120.946453197,9.576398022961404e-05
416,2020-07,Lower Shabelle,1434,2020,7,0.7023109355863831,-0.0332665343398981,23,0.804853144226116,0.4098700579028002,0.8339844726295664,1.1951183678890795,0.9109204970328044,0.991222377932367,0.0411989833860188,0.1522336980148802,0.1201154138652622,0.201488211122693,0.3360359196500412,0.4360472747604675,22.0,21.0,20.0,19.0,18.0,17.0,619.3400355512963,30,0.008508246593928818,1.1020236995754159e-05,0.0012952418426162929,Banadir,18429,9.821680789832037,7028.832067289627,2.3296512902,16.3040864778,0.0264198642755,144.922380347,7.239026010310133e-05
418,2020-07,Middle Shabelle,1434,2020,7,0.1556446994228358,0.1389541660136587,18,0.2340082434177942,0.054107249256939,0.3475239749259176,0.5744837060692436,0.3072158360700135,0.2723270029839358,0.1315503268166041,0.1191719012981683,0.1604904314189245,0.1275279286925687,0.1777708987015868,0.1791411821595466,17.0,16.0,15.0,14.0,13.0,12.0,188.4820463048475,17,0.009785907225679898,1.1412375599843306e-05,0.0011662051700117569,Banadir,913,6.816735880594968,7028.832067289627,2.3296512902,16.3040864778,0.0136187814563,120.946453197,9.576398022961404e-05
433,2020-08,Lower Shabelle,1435,2020,8,1.0276529370895984,-0.1202987708680081,24,0.7023109355863831,0.804853144226116,0.4098700579028002,0.8339844726295664,1.1951183678890795,0.9109204970328044,-0.0332665343398981,0.0411989833860188,0.1522336980148802,0.1201154138652622,0.201488211122693,0.3360359196500412,23.0,22.0,21.0,20.0,19.0,18.0,619.3400355512963,73,0.008508246593928818,2.9824051232972515e-06,0.0003505311100674244,Banadir,7543,8.928375259853631,7028.832067289627,2.3296512902,16.3040864778,0.0264198642755,144.922380347,7.239026010310133e-05
435,2020-08,Middle Shabelle,1435,2020,8,0.3285018194265017,0.1161113475981224,19,0.1556446994228358,0.2340082434177942,0.054107249256939,0.3475239749259176,0.5744837060692436,0.3072158360700135,0.1389541660136587,0.1315503268166041,0.1191719012981683,0.1604904314189245,0.1275279286925687,0.1777708987015868,18.0,17.0,16.0,15.0,14.0,13.0,188.4820463048475,16,0.009785907225679898,1.2597782896464542e-05,0.0012873392937351583,Banadir,3556,8.176391596633795,7028.832067289627,2.3296512902,16.3040864778,0.0136187814563,120.946453197,9.576398022961404e-05
450,2020-09,Lower Shabelle,1436,2020,9,1.0396283829238775,-0.1887545183568926,25,1.0276529370895984,0.7023109355863831,0.804853144226116,0.4098700579028002,0.8339844726295664,1.1951183678890795,-0.1202987708680081,-0.0332665343398981,0.0411989833860188,0.1522336980148802,0.1201154138652622,0.201488211122693,24.0,23.0,22.0,21.0,20.0,19.0,619.3400355512963,64,0.008508246593928818,-2.408173073593976e-06,-0.0002830398774892541,Banadir,1357,7.2130316598348685,7028.832067289627,2.3296512902,16.3040864778,0.0264198642755,144.922380347,7.239026010310133e-05
