Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Population Type,location,urbanRural,accommodationType,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#indicator+population_type,,,,#affected+f+infants+age_0_4,#affected+f+children+age_5_11,#affected+f+adolescents+age_12_17,#affected+f+adults+age_18_59,#affected+f+elderly+age_60,#affected+f+unknown_age,#affected+f+total,#affected+m+infants+age_0_4,#affected+m+children+age_5_11,#affected+m+adolescents+age_12_17,#affected+m+adults+age_18_59,#affected+m+elderly+age_60,#affected+m+unknown_age,#affected+m+total,#affected+all+total
2015,ERI,SDN,Eritrea,Sudan,ASY,Port Sudan : District,U,I,0,0,0,7,5,0,12,0,0,0,13,0,0,13,25
2015,ERI,SDN,Eritrea,Sudan,ASY,Salalab : Point,U,I,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5
2015,ERI,SDN,Eritrea,Sudan,ASY,Shagarab 1 : Point,R,P,10,36,47,18,0,0,111,8,113,58,46,0,0,225,336
2015,ERI,SDN,Eritrea,Sudan,ASY,Shagarab 2 : Point,R,P,0,7,0,9,0,0,16,0,5,0,5,0,0,10,26
2015,ERI,SDN,Eritrea,Sudan,ASY,Um Gargur : Point,R,P,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5
2015,ERI,SDN,Eritrea,Sudan,ASY,Wad Sherife : Point,R,P,0,0,0,7,0,0,7,0,0,0,0,0,0,0,7
2015,ERI,SDN,Eritrea,Sudan,REF,Abu Rakham area : Point,U,S,0,20,25,93,19,0,157,0,20,26,97,25,0,168,325
2015,ERI,SDN,Eritrea,Sudan,REF,Abuda : Point,R,P,75,293,229,882,96,0,1575,66,290,256,732,132,0,1476,3051
2015,ERI,SDN,Eritrea,Sudan,REF,Aroma : Point,U,I,0,8,0,0,0,0,8,0,0,0,7,0,0,7,15
2015,ERI,SDN,Eritrea,Sudan,REF,Asotriba : Point,U,S,6,0,0,0,0,0,6,0,5,0,5,0,0,10,16
2015,ERI,SDN,Eritrea,Sudan,REF,Awad El Seid : Point,U,S,0,31,38,156,28,0,253,0,45,34,114,41,0,234,487
