time,admin1,tmx,pre,conflicts
1997-07,Bakool,34.44625,0.120000005,1.0
1997-07,Banadir,33.0755,0.045000004850000004,0.0
1997-07,Bari,36.360416,0.79749995,0.0
1997-07,Bay,34.885002,0.21142857,0.0
1997-07,Galgaduud,35.03647,0.10117647,0.0
1997-07,Gedo,34.548573,0.15642858,0.0
1997-07,Hiraan,35.63727,0.044545457,0.0
1997-07,Lower Juba,32.011177,1.9858823,0.0
1997-07,Lower Shabelle,33.687,0.08600001,0.0
1997-07,Middle Juba,34.06,0.28599998,0.0
1997-07,Middle Shabelle,32.464,0.0039999997,0.0
1997-07,Mudug,35.234116,0.10882353,0.0
1997-07,Nugaal,34.711998,0.277,0.0
1997-07,Sanaag,34.330555,1.2805555,0.0
1997-07,Sool,34.585003,0.68249995,0.0
1997-07,Togdheer,33.913002,0.822,0.0
1997-07,Woqooyi Galbeed,36.693,1.617,0.0
1997-08,Awdal,39.0625,1.3675001,0.0
1997-08,Bakool,35.7275,0.03875,3.0
1997-08,Banadir,33.289,0.0075000005,2.0
1997-08,Bari,36.355835,1.3054167,0.0
1997-08,Bay,35.679287,0.061428573,1.0
1997-08,Galgaduud,35.64059,0.041764706,0.0
1997-08,Gedo,35.68571,0.038571425,0.0
1997-08,Hiraan,36.59182,0.015454545,1.0
1997-08,Lower Juba,33.35294,0.43882352,2.0
1997-08,Lower Shabelle,34.048,0.015000001,0.0
1997-08,Middle Juba,35.218,0.045999996,0.0
1997-08,Middle Shabelle,32.53,0.0,1.0
1997-08,Mudug,35.495293,0.048823524,0.0
1997-08,Nugaal,34.928,0.182,0.0
1997-08,Sanaag,35.407223,0.9305556,0.0
1997-08,Sool,35.619167,0.43999997,0.0
1997-08,Togdheer,35.282,0.63199997,0.0
1997-08,Woqooyi Galbeed,36.934,1.0860001,0.0
1997-09,Awdal,39.68,0.2625,0.0
1997-09,Bakool,36.47625,0.63875,0.0
1997-09,Banadir,34.172001,0.42800000499999996,0.0
1997-09,Bari,36.73833,0.24333334,0.0
1997-09,Bay,36.79,1.0071429,0.0
1997-09,Galgaduud,36.17059,0.15764704,0.0
1997-09,Gedo,37.192852,0.45999998,0.0
1997-09,Hiraan,37.336365,0.2709091,0.0
1997-09,Lower Juba,35.37765,0.62764704,0.0
1997-09,Lower Shabelle,34.982002,0.69,0.0
1997-09,Middle Juba,36.642002,0.504,0.0
1997-09,Middle Shabelle,33.362,0.16600001,0.0
1997-09,Mudug,35.991177,0.07705882,0.0
1997-09,Nugaal,35.245003,0.058999997,0.0
1997-09,Sanaag,34.918335,0.25166667,0.0
1997-09,Sool,35.289165,0.19583334,0.0
1997-09,Togdheer,34.921,0.367,0.0
1997-09,Woqooyi Galbeed,37.134,0.385,0.0
1997-10,Awdal,36.317497,5.0150003,0.0
1997-10,Bakool,34.606255,18.925001,0.0
1997-10,Banadir,33.569499,15.188000500000001,1.0
1997-10,Bari,35.085,0.09166666,0.0
1997-10,Bay,35.41643,22.397142,0.0
1997-10,Galgaduud,35.296474,9.212354,0.0
1997-10,Gedo,36.392143,17.295,0.0
1997-10,Hiraan,36.065456,13.753635,0.0
1997-10,Lower Juba,34.185295,12.707058,0.0
1997-10,Lower Shabelle,34.260998,17.786,0.0
1997-10,Middle Juba,35.902,20.376001,0.0
1997-10,Middle Shabelle,32.878,12.590001,0.0
1997-10,Mudug,34.914703,6.0388236,0.0
1997-10,Nugaal,33.9,1.3729999,0.0
1997-10,Sanaag,33.10889,1.395,0.0
1997-10,Sool,33.6725,2.4075,0.0
1997-10,Togdheer,33.241,5.622,0.0
1997-10,Woqooyi Galbeed,34.932,6.371,0.0
1997-11,Awdal,30.8825,0.7325,0.0
1997-11,Bakool,30.2575,5.9825,0.0
1997-11,Banadir,30.621999000000002,4.55349995,1.0
1997-11,Bari,32.992916,0.02875,0.0
1997-11,Bay,29.987858,9.879999,0.0
1997-11,Galgaduud,31.762943,2.179412,0.0
1997-11,Gedo,30.222857,9.867857,0.0
1997-11,Hiraan,31.15182,2.8236363,0.0
1997-11,Lower Juba,31.295881,11.662353,0.0
1997-11,Lower Shabelle,30.513998,6.967,0.0
1997-11,Middle Juba,30.308002,12.682,0.0
1997-11,Middle Shabelle,30.73,2.1399999,1.0
1997-11,Mudug,33.33,1.11,0.0
1997-11,Nugaal,34.531,0.177,0.0
1997-11,Sanaag,31.901665,0.12166667,0.0
1997-11,Sool,33.91,0.235,0.0
1997-11,Togdheer,30.932999,0.778,0.0
1997-11,Woqooyi Galbeed,29.763998,1.058,1.0
1997-12,Awdal,30.1725,0.0925,0.0
1997-12,Bakool,29.57875,2.21,0.0
1997-12,Banadir,31.3345005,2.1830000000000003,0.0
1997-12,Bari,30.934998,0.0050000004,1.0
1997-12,Bay,29.925,5.0285716,0.0
1997-12,Galgaduud,33.28588,0.19411765,0.0
1997-12,Gedo,29.882856,4.9592857,0.0
1997-12,Hiraan,32.71182,0.77454543,0.0
1997-12,Lower Juba,30.722355,6.452353,0.0
1997-12,Lower Shabelle,30.893,3.918,1.0
1997-12,Middle Juba,30.172,6.2939997,0.0
1997-12,Middle Shabelle,31.776001,0.448,0.0
1997-12,Mudug,33.24118,0.05352941,0.0
1997-12,Nugaal,32.739,0.062,0.0
1997-12,Sanaag,30.980553,0.030555556,0.0
1997-12,Sool,33.126667,0.021666666,0.0
1997-12,Togdheer,31.289999,0.070999995,0.0
1997-12,Woqooyi Galbeed,29.812,0.133,0.0
1998-01,Awdal,32.107502,0.5675,0.0
1998-01,Bakool,32.8975,0.8125,0.0
1998-01,Banadir,33.191,0.8724999999999999,0.0
1998-01,Bari,32.010418,0.0020833332,0.0
1998-01,Bay,32.70429,1.702143,0.0
1998-01,Galgaduud,34.642944,0.1564706,0.0
1998-01,Gedo,32.600716,2.5735714,0.0
1998-01,Hiraan,34.968185,0.4227273,0.0
1998-01,Lower Juba,31.518824,5.0870585,0.0
1998-01,Lower Shabelle,33.138,1.299,0.0
1998-01,Middle Juba,32.036,3.4819999,0.0
1998-01,Middle Shabelle,33.244,0.446,0.0
1998-01,Mudug,34.048237,0.17882355,0.0
1998-01,Nugaal,33.863,0.029999997,0.0
1998-01,Sanaag,33.010555,0.03333333,0.0
1998-01,Sool,34.9225,0.009999999,0.0
1998-01,Togdheer,34.306,0.075,0.0
1998-01,Woqooyi Galbeed,32.607002,0.41599998,0.0
1998-02,Awdal,33.765,0.73749995,0.0
1998-02,Bakool,36.0,0.695,0.0
1998-02,Banadir,35.7309985,1.4364999799999998,0.0
1998-02,Bari,33.029167,0.02125,0.0
1998-02,Bay,37.035713,0.45714286,0.0
1998-02,Galgaduud,36.198235,1.1776471,0.0
1998-02,Gedo,36.054287,0.21357141,0.0
1998-02,Hiraan,37.671818,0.8972727,0.0
1998-02,Lower Juba,34.131176,0.3070588,0.0
1998-02,Lower Shabelle,36.797997,0.57699996,0.0
1998-02,Middle Juba,36.834003,0.26599997,0.0
1998-02,Middle Shabelle,34.664,2.296,0.0
1998-02,Mudug,35.088234,0.43,0.0
1998-02,Nugaal,34.569,0.072000004,0.0
1998-02,Sanaag,33.64111,0.11722222,0.0
1998-02,Sool,35.408337,0.08166667,0.0
1998-02,Togdheer,34.635002,0.297,0.0
1998-02,Woqooyi Galbeed,33.818,0.604,0.0
1998-03,Awdal,34.9525,0.8575,0.0
1998-03,Bakool,39.515,0.04875,0.0
1998-03,Banadir,37.444001,0.0400000005,1.0
1998-03,Bari,35.6625,0.00041666665,0.0
1998-03,Bay,40.42857,0.05928571,1.0
1998-03,Galgaduud,38.29,0.011764705,0.0
1998-03,Gedo,40.40143,0.121428564,1.0
1998-03,Hiraan,40.03727,0.03181818,0.0
1998-03,Lower Juba,36.598824,0.52588236,3.0
1998-03,Lower Shabelle,38.982002,0.062,0.0
1998-03,Middle Juba,40.162,0.168,0.0
1998-03,Middle Shabelle,35.906,0.018000001,0.0
1998-03,Mudug,37.064705,0.0017647059,0.0
1998-03,Nugaal,36.668,0.0009999999,0.0
1998-03,Sanaag,35.424446,0.051666666,0.0
1998-03,Sool,37.109165,0.0066666664,0.0
1998-03,Togdheer,36.690998,0.048,0.0
1998-03,Woqooyi Galbeed,35.959,0.43,0.0
1998-04,Awdal,37.055,1.0825,0.0
1998-04,Bakool,39.823753,2.27875,0.0
