time,admin1,conflicts,TA,PA,DL
1997-01-16,Awdal,0.0,,,0
1997-02-15,Awdal,0.0,,,0
1997-03-16,Awdal,0.0,,,0
1997-04-16,Awdal,0.0,,,0
1997-05-16,Awdal,0.0,0.9757535521811661,0.15074041605939517,1
1997-06-16,Awdal,0.0,0.9215043747170807,-0.3754017033493618,2
1997-07-16,Awdal,0.0,1.022860383063949,-0.16868514838800422,3
1997-08-16,Awdal,0.0,0.6760447108389104,0.3409151279020106,4
1997-09-16,Awdal,0.0,-0.02741287146008446,0.122945492938013,0
1997-10-16,Awdal,0.0,-0.6886575319478871,0.07583371255831144,0
1997-11-16,Awdal,0.0,-1.0240349396519617,-0.0126842391770957,0
1997-12-16,Awdal,0.0,-0.9161456971231706,0.011565254531972954,0
1998-01-16,Awdal,0.0,-0.8451249717737038,-0.035061469846752104,0
1998-02-15,Awdal,0.0,-0.7090515817177415,-0.2680797330918033,0
1998-03-16,Awdal,0.0,-0.05886918270015654,0.2867140523718266,0
1998-04-16,Awdal,0.0,0.5568154751272111,-0.09362130904610226,1
1998-05-16,Awdal,0.0,1.0131046523052651,0.24517512642659048,2
1998-06-16,Awdal,0.0,1.0037053791408124,-0.23935296046892554,3
1998-07-16,Awdal,0.0,0.8789492911393794,-0.11589537981922969,4
1998-08-16,Awdal,0.0,0.20736610363340832,0.11290156312074462,5
1998-09-16,Awdal,0.0,-0.5224213651735207,0.16314041002539045,0
1998-10-16,Awdal,0.0,-1.0990881652336866,0.13958933144184524,0
1998-11-16,Awdal,0.0,-0.9972639619378403,-0.41652152212909727,0
1998-12-16,Awdal,0.0,-0.9813559158191847,-0.4820559815859056,0
1999-01-16,Awdal,0.0,-0.7536696237098549,-0.6313749658148223,0
1999-02-15,Awdal,0.0,-0.09637331510818899,-0.35089519059614926,0
1999-03-16,Awdal,0.0,0.020533972289754215,0.33692754921970236,1
1999-04-16,Awdal,0.0,0.49100360896591067,0.3484735683684359,2
1999-05-16,Awdal,0.0,0.4088212145532479,0.09416076331254784,3
1999-06-16,Awdal,2.0,0.9258028927231914,-0.6454275387972987,4
1999-07-16,Awdal,0.0,0.923519828202239,-0.14030293187694332,5
1999-08-16,Awdal,0.0,0.3563894734158602,0.3741094979419936,6
1999-09-16,Awdal,2.0,-0.2713463119134352,1.0639116103547552,0
1999-10-16,Awdal,0.0,-0.9721334169032221,0.4799901293197341,0
1999-11-16,Awdal,0.0,-0.9264401381633153,-0.2094218121588224,0
1999-12-16,Awdal,0.0,-0.970632511702826,-0.8285860416514316,0
2000-01-16,Awdal,0.0,-0.818121189607803,-0.8164027582624479,0
2000-02-15,Awdal,0.0,-0.21508843254758725,-0.6251441859094028,0
2000-03-16,Awdal,0.0,0.40425567590744965,0.04384991086077609,1
2000-04-16,Awdal,0.0,1.0080952028716468,0.1720272634333694,2
2000-05-16,Awdal,0.0,0.9529478576664272,0.6914865742138062,3
2000-06-16,Awdal,0.0,1.063062225712883,0.1030203808254621,4
2000-07-16,Awdal,0.0,0.9429690308043188,0.018256856178529457,5
2000-08-16,Awdal,0.0,0.49249637491612724,0.024125076920675854,6
2000-09-16,Awdal,0.0,-0.2341528313055309,0.1613425604449033,0
2000-10-16,Awdal,0.0,-0.8511256638638267,0.05403660413354302,0
2000-11-16,Awdal,0.0,-0.941863857494038,-0.6026307089168931,0
2000-12-16,Awdal,0.0,-0.9516962614885024,-0.6282239399875881,0
2001-01-16,Awdal,0.0,-0.8504576805757201,-0.7455499059217634,0
2001-02-15,Awdal,0.0,-0.319558993095819,-0.7588929954034569,0
2001-03-16,Awdal,0.0,0.3751603243591197,-0.2866318632253488,1
2001-04-16,Awdal,0.0,1.0032940257279226,0.08973149948080167,2
2001-05-16,Awdal,0.0,0.9526501214242081,0.3772942038539265,3
2001-06-16,Awdal,0.0,1.01283065400008,-0.3398262868139119,4
2001-07-16,Awdal,0.0,0.9736047675393559,-0.051431660672090006,5
2001-08-16,Awdal,0.0,0.6665889270226576,0.30329053707202097,6
2001-09-16,Awdal,0.0,-0.037136544396663064,0.44453022323330654,0
2001-10-16,Awdal,0.0,-0.7290186129449276,-0.13491980015265934,0
2001-11-16,Awdal,0.0,-1.0345027506057904,-0.7561706549691651,0
2001-12-16,Awdal,0.0,-0.9238815161854176,-0.7367495265223919,0
2002-01-16,Awdal,0.0,-0.9493793066985212,-0.05653833646664941,0
2002-02-15,Awdal,0.0,-0.49289438544796554,-0.055553327532667694,0
2002-03-16,Awdal,0.0,0.05343864697133468,0.01891510097951719,1
2002-04-16,Awdal,0.0,0.7852079775439607,0.017809645781270866,2
2002-05-16,Awdal,0.0,1.0344362252012442,0.23504136460098768,3
2002-06-16,Awdal,0.0,1.0349784837065457,0.02739233091834385,4
2002-07-16,Awdal,0.0,0.9958827112431642,-0.17504433375894668,5
2002-08-16,Awdal,0.0,0.6230472971377469,0.2352897869699689,6
2002-09-16,Awdal,2.0,-0.07560777874962188,0.5524957348320919,0
2002-10-16,Awdal,0.0,-0.7201080686784297,0.02084711129160473,0
2002-11-16,Awdal,0.0,-1.0257938788120031,-0.6500379761207173,0
2002-12-16,Awdal,0.0,-0.9606027692783693,-0.6912946965239458,0
2003-01-16,Awdal,0.0,-0.9211396293756806,-0.16065127157724954,0
2003-02-15,Awdal,0.0,-0.25229775005632243,-0.23706860779244074,0
2003-03-16,Awdal,0.0,0.2918936506847459,0.17032810145675104,1
2003-04-16,Awdal,0.0,0.9676291558330917,0.3645356667496158,2
2003-05-16,Awdal,0.0,0.974246010558976,0.48932668925278594,3
