time,admin1,conflicts,TA,PA,DL
1997-06-16,Awdal,0.0,0.9215043747170788,-0.3754017033493621,1
1997-07-16,Awdal,0.0,1.022860383063947,-0.1686851483880035,2
1997-08-16,Awdal,0.0,0.6760447108389088,0.3409151279020121,3
1997-09-16,Awdal,0.0,-0.027412871460084,0.122945492938014,0
1997-10-16,Awdal,0.0,-0.6886575319478858,0.0758337125583115,0
1997-11-16,Awdal,0.0,-1.0240349396519597,-0.0126842391770961,0
1997-12-16,Awdal,0.0,-0.9161456971231684,0.0115652545319729,0
1998-01-16,Awdal,0.0,-0.8451249717736893,-0.0350614698467521,0
1998-02-15,Awdal,0.0,-0.7090515817176594,-0.2680797330918034,0
1998-03-16,Awdal,0.0,-0.0588691827000783,0.2867140523718268,0
1998-04-16,Awdal,0.0,0.5568154751272759,-0.0936213090461023,1
1998-05-16,Awdal,0.0,1.013104652305261,0.2451751264265906,2
1998-06-16,Awdal,0.0,1.00370537914081,-0.2393529604689257,3
1998-07-16,Awdal,0.0,0.8789492911393774,-0.1158953798192297,4
1998-08-16,Awdal,0.0,0.20736610363342,0.1129015631207445,5
1998-09-16,Awdal,0.0,-0.5224213651735062,0.1631404100253904,0
1998-10-16,Awdal,0.0,-1.0990881652336717,0.1395893314418452,0
1998-11-16,Awdal,0.0,-0.9972639619378376,-0.4165215221290975,0
1998-12-16,Awdal,0.0,-0.9813559158191824,-0.4820559815859059,0
1999-01-16,Awdal,0.0,-0.7536696237098509,-0.631374965814823,0
1999-02-15,Awdal,0.0,-0.0963733151081885,-0.350895190596136,0
1999-03-16,Awdal,0.0,0.0205339722897549,0.3369275492197159,1
1999-04-16,Awdal,0.0,0.4910036089659086,0.3484735683684499,2
1999-05-16,Awdal,0.0,0.4088212145532486,0.0941607633125478,3
1999-06-16,Awdal,2.0,0.9258028927231892,-0.6454275387973031,4
1999-07-16,Awdal,0.0,0.9235198282022352,-0.1403029318769474,5
1999-08-16,Awdal,0.0,0.3563894734158614,0.3741094979419897,6
1999-09-16,Awdal,2.0,-0.2713463119134313,1.0639116103547557,0
1999-10-16,Awdal,0.0,-0.9721334169032154,0.4799901293197342,0
1999-11-16,Awdal,0.0,-0.9264401381633128,-0.2094218121588224,0
1999-12-16,Awdal,0.0,-0.970632511702822,-0.8285860416514316,0
2000-01-16,Awdal,0.0,-0.8181211896077971,-0.8164027582624479,0
2000-02-15,Awdal,0.0,-0.2150884325475901,-0.6251441859094028,0
2000-03-16,Awdal,0.0,0.4042556759074396,0.043849910860776,1
2000-04-16,Awdal,0.0,1.0080952028716326,0.1720272634333694,2
