time,region,PRECTOTCORR,T2M_MAX
199708.0,Middle Shabelle,0.0,32.53
199708.0,Mudug,0.048823524,35.495293
199708.0,Nugaal,0.182,34.928
199708.0,Sanaag,0.9305556,35.407223
199708.0,Sool,0.43999997,35.619167
199708.0,Togdheer,0.63199997,35.282
199708.0,Woqooyi Galbeed,1.0860001,36.934
199709.0,Awdal,0.2625,39.68
199709.0,Bakool,0.63875,36.47625
199709.0,Bari,0.24333334,36.73833
199709.0,Bay,1.0071429,36.79
199709.0,Galgaduud,0.15764704,36.17059
199709.0,Gedo,0.45999998,37.192852
199709.0,Hiraan,0.2709091,37.336365
199709.0,Lower Juba,0.62764704,35.37765
199709.0,Lower Shabelle,0.69,34.982002
199709.0,Middle Juba,0.504,36.642002
199709.0,Middle Shabelle,0.16600001,33.362
199709.0,Mudug,0.07705882,35.991177
199709.0,Nugaal,0.058999997,35.245003
199709.0,Sanaag,0.25166667,34.918335
199709.0,Sool,0.19583334,35.289165
199709.0,Togdheer,0.367,34.921
199709.0,Woqooyi Galbeed,0.385,37.134
199710.0,Awdal,5.0150003,36.317497
199710.0,Bakool,18.925001,34.606255
199710.0,Bari,0.09166666,35.085
199710.0,Bay,22.397142,35.41643
199710.0,Galgaduud,9.212354,35.296474
199710.0,Gedo,17.295,36.392143
199710.0,Hiraan,13.753635,36.065456
199710.0,Lower Juba,12.707058,34.185295
199710.0,Lower Shabelle,17.786,34.260998
199710.0,Middle Juba,20.376001,35.902
199710.0,Middle Shabelle,12.590001,32.878
199710.0,Mudug,6.0388236,34.914703
199710.0,Nugaal,1.3729999,33.9
199710.0,Sanaag,1.395,33.10889
199710.0,Sool,2.4075,33.6725
199710.0,Togdheer,5.622,33.241
199710.0,Woqooyi Galbeed,6.371,34.932
199711.0,Awdal,0.7325,30.8825
199711.0,Bakool,5.9825,30.2575
199711.0,Bari,0.02875,32.992916
199711.0,Bay,9.879999,29.987858
199711.0,Galgaduud,2.179412,31.762943
199711.0,Gedo,9.867857,30.222857
199711.0,Hiraan,2.8236363,31.15182
199711.0,Lower Juba,11.662353,31.295881
199711.0,Lower Shabelle,6.967,30.513998
199711.0,Middle Juba,12.682,30.308002
199711.0,Middle Shabelle,2.1399999,30.73
199711.0,Mudug,1.11,33.33
199711.0,Nugaal,0.177,34.531
199711.0,Sanaag,0.12166667,31.901665
199711.0,Sool,0.235,33.91
199711.0,Togdheer,0.778,30.932999
199711.0,Woqooyi Galbeed,1.058,29.763998
199712.0,Awdal,0.0925,30.1725
199712.0,Bakool,2.21,29.57875
199712.0,Bari,0.0050000004,30.934998
199712.0,Bay,5.0285716,29.925
199712.0,Galgaduud,0.19411765,33.28588
199712.0,Gedo,4.9592857,29.882856
199712.0,Hiraan,0.77454543,32.71182
199712.0,Lower Juba,6.452353,30.722355
199712.0,Lower Shabelle,3.918,30.893
199712.0,Middle Juba,6.2939997,30.172
199712.0,Middle Shabelle,0.448,31.776001
199712.0,Mudug,0.05352941,33.24118
199712.0,Nugaal,0.062,32.739
199712.0,Sanaag,0.030555556,30.980553
199712.0,Sool,0.021666666,33.126667
199712.0,Togdheer,0.070999995,31.289999
199712.0,Woqooyi Galbeed,0.133,29.812
199713.0,Awdal,1.32,40.265
199713.0,Bakool,3.14375,38.651253
199713.0,Bari,0.49541664,37.092087
199713.0,Bay,4.1864285,39.669285
199713.0,Galgaduud,1.6405882,37.440586
199713.0,Gedo,3.4978569,40.072144
199713.0,Hiraan,2.1409092,39.19727
199713.0,Lower Juba,4.015294,38.728825
199713.0,Lower Shabelle,3.348,38.116997
199713.0,Middle Juba,4.2599998,39.654
199713.0,Middle Shabelle,1.9459999,35.73
199713.0,Mudug,1.17,36.410004
199713.0,Nugaal,0.668,35.846
199713.0,Sanaag,0.8794444,35.550003
199713.0,Sool,0.805,35.904167
199713.0,Togdheer,1.281,35.61
199713.0,Woqooyi Galbeed,1.499,37.523003
199801.0,Awdal,0.5675,32.107502
199801.0,Bakool,0.8125,32.8975
199801.0,Bari,0.0020833332,32.010418
199801.0,Bay,1.702143,32.70429
199801.0,Galgaduud,0.1564706,34.642944
199801.0,Gedo,2.5735714,32.600716
199801.0,Hiraan,0.4227273,34.968185
199801.0,Lower Juba,5.0870585,31.518824
199801.0,Lower Shabelle,1.299,33.138
199801.0,Middle Juba,3.4819999,32.036
199801.0,Middle Shabelle,0.446,33.244
199801.0,Mudug,0.17882355,34.048237
199801.0,Nugaal,0.029999997,33.863
199801.0,Sanaag,0.03333333,33.010555
199801.0,Sool,0.009999999,34.9225
199801.0,Togdheer,0.075,34.306
199801.0,Woqooyi Galbeed,0.41599998,32.607002
199802.0,Awdal,0.73749995,33.765
199802.0,Bakool,0.695,36.0
199802.0,Bari,0.02125,33.029167
199802.0,Bay,0.45714286,37.035713
199802.0,Galgaduud,1.1776471,36.198235
199802.0,Gedo,0.21357141,36.054287
199802.0,Hiraan,0.8972727,37.671818
199802.0,Lower Juba,0.3070588,34.131176
199802.0,Lower Shabelle,0.57699996,36.797997
199802.0,Middle Juba,0.26599997,36.834003
199802.0,Middle Shabelle,2.296,34.664
199802.0,Mudug,0.43,35.088234
199802.0,Nugaal,0.072000004,34.569
199802.0,Sanaag,0.11722222,33.64111
199802.0,Sool,0.08166667,35.408337
199802.0,Togdheer,0.297,34.635002
199802.0,Woqooyi Galbeed,0.604,33.818
199803.0,Awdal,0.8575,34.9525
199803.0,Bakool,0.04875,39.515
199803.0,Bari,0.00041666665,35.6625
199803.0,Bay,0.05928571,40.42857
199803.0,Galgaduud,0.011764705,38.29
199803.0,Gedo,0.121428564,40.40143
199803.0,Hiraan,0.03181818,40.03727
199803.0,Lower Juba,0.52588236,36.598824
199803.0,Lower Shabelle,0.062,38.982002
199803.0,Middle Juba,0.168,40.162
199803.0,Middle Shabelle,0.018000001,35.906
199803.0,Mudug,0.0017647059,37.064705
199803.0,Nugaal,0.0009999999,36.668
199803.0,Sanaag,0.051666666,35.424446
199803.0,Sool,0.0066666664,37.109165
199803.0,Togdheer,0.048,36.690998
199803.0,Woqooyi Galbeed,0.43,35.959
199804.0,Awdal,1.0825,37.055
199804.0,Bakool,2.27875,39.823753
199804.0,Bari,0.040833335,36.068333
199804.0,Bay,3.4021428,40.555
199804.0,Galgaduud,1.5535294,38.59706
199804.0,Gedo,3.055,40.17143
199804.0,Hiraan,2.1736364,40.258183
199804.0,Lower Juba,4.3064704,35.948235
199804.0,Lower Shabelle,2.977,38.79
199804.0,Middle Juba,3.336,39.5
199804.0,Middle Shabelle,2.832,36.084
199804.0,Mudug,1.1452941,37.321175
199804.0,Nugaal,0.34699997,36.703
199804.0,Sanaag,0.18944444,35.955
199804.0,Sool,0.42,37.335835
199804.0,Togdheer,0.709,36.966
199804.0,Woqooyi Galbeed,0.811,37.47
199805.0,Awdal,1.0775,39.565002
199805.0,Bakool,3.325,35.62
199805.0,Bari,0.17791666,38.599167
199805.0,Bay,4.7771425,34.94357
