time_x,admin1,conflicts,TA,PA
1997-02-15,Awdal,0.0,,
1997-03-16,Awdal,0.0,,
1997-04-16,Awdal,0.0,,
1997-05-16,Awdal,0.0,,
1997-06-16,Awdal,0.0,0.9215043747170789,-0.3754017033493621
1997-07-16,Awdal,0.0,1.022860383063947,-0.1686851483880035
1997-08-16,Awdal,0.0,0.6760447108389088,0.34091512790201217
1997-09-16,Awdal,0.0,-0.027412871460084087,0.12294549293801404
1997-10-16,Awdal,0.0,-0.6886575319478858,0.07583371255831158
1997-11-16,Awdal,0.0,-1.0240349396519595,-0.012684239177096115
1997-12-16,Awdal,0.0,-0.9161456971231684,0.011565254531972954
1998-01-16,Awdal,0.0,-0.8451249717736893,-0.035061469846752145
1998-02-15,Awdal,0.0,-0.7090515817176594,-0.26807973309180344
1998-03-16,Awdal,0.0,-0.058869182700078314,0.2867140523718268
1998-04-16,Awdal,0.0,0.5568154751272759,-0.09362130904610233
1998-05-16,Awdal,0.0,1.013104652305261,0.24517512642659067
1998-06-16,Awdal,0.0,1.0037053791408101,-0.23935296046892574
1998-07-16,Awdal,0.0,0.8789492911393774,-0.11589537981922975
1998-08-16,Awdal,0.0,0.20736610363342,0.11290156312074451
1998-09-16,Awdal,0.0,-0.5224213651735062,0.16314041002539045
1998-10-16,Awdal,0.0,-1.0990881652336715,0.13958933144184524
1998-11-16,Awdal,0.0,-0.9972639619378375,-0.4165215221290975
1998-12-16,Awdal,0.0,-0.9813559158191824,-0.48205598158590596
1999-01-16,Awdal,0.0,-0.7536696237098509,-0.631374965814823
1999-02-15,Awdal,0.0,-0.09637331510818854,-0.350895190596136
1999-03-16,Awdal,0.0,0.020533972289754992,0.33692754921971596
1999-04-16,Awdal,0.0,0.4910036089659086,0.3484735683684499
1999-05-16,Awdal,0.0,0.4088212145532486,0.09416076331254787
1999-06-16,Awdal,2.0,0.9258028927231892,-0.6454275387973031
1999-07-16,Awdal,0.0,0.9235198282022351,-0.1403029318769474
1999-08-16,Awdal,0.0,0.3563894734158614,0.3741094979419897
1999-09-16,Awdal,2.0,-0.27134631191343134,1.0639116103547555
1999-10-16,Awdal,0.0,-0.9721334169032154,0.4799901293197342
1999-11-16,Awdal,0.0,-0.9264401381633128,-0.2094218121588224
1999-12-16,Awdal,0.0,-0.9706325117028219,-0.8285860416514316
2000-01-16,Awdal,0.0,-0.8181211896077971,-0.8164027582624479
2000-02-15,Awdal,0.0,-0.21508843254759014,-0.6251441859094028
2000-03-16,Awdal,0.0,0.40425567590743966,0.04384991086077609
2000-04-16,Awdal,0.0,1.0080952028716326,0.1720272634333694
2000-05-16,Awdal,0.0,0.9529478576664209,0.6914865742138062
2000-06-16,Awdal,0.0,1.0630622257128797,0.1030203808254621
2000-07-16,Awdal,0.0,0.9429690308043169,0.018256856178529457
2000-08-16,Awdal,0.0,0.4924963749161309,0.024125076920675854
2000-09-16,Awdal,0.0,-0.23415283130552508,0.1613425604449033
2000-10-16,Awdal,0.0,-0.8511256638638199,0.05403660413354302
2000-11-16,Awdal,0.0,-0.9418638574940355,-0.6026307089168931
2000-12-16,Awdal,0.0,-0.9516962614885,-0.6282239399875881
2001-01-16,Awdal,0.0,-0.8504576805757172,-0.7455499059217634
2001-02-15,Awdal,0.0,-0.31955899309582575,-0.7588929954034569
2001-03-16,Awdal,0.0,0.37516032435910823,-0.2866318632253488
2001-04-16,Awdal,0.0,1.0032940257279093,0.08973149948080167
2001-05-16,Awdal,0.0,0.952650121424203,0.3772942038539265
2001-06-16,Awdal,0.0,1.012830654000077,-0.3398262868139119
2001-07-16,Awdal,0.0,0.9736047675393533,-0.051431660672090006
2001-08-16,Awdal,0.0,0.6665889270226559,0.30329053707202097
2001-09-16,Awdal,0.0,-0.03713654439666192,0.44453022323330654
2001-10-16,Awdal,0.0,-0.729018612944925,-0.13491980015265934
2001-11-16,Awdal,0.0,-1.0345027506057878,-0.7561706549691651
2001-12-16,Awdal,0.0,-0.9238815161854155,-0.7367495265223919
2002-01-16,Awdal,0.0,-0.9493793066985172,-0.05653833646664941
2002-02-15,Awdal,0.0,-0.49289438544796327,-0.055553327532667694
2002-03-16,Awdal,0.0,0.053438646971334346,0.01891510097951719
2002-04-16,Awdal,0.0,0.7852079775439559,0.017809645781270866
2002-05-16,Awdal,0.0,1.03443622520124,0.23504136460098768
2002-06-16,Awdal,0.0,1.0349784837065428,0.02739233091834385
2002-07-16,Awdal,0.0,0.9958827112431624,-0.17504433375894668
2002-08-16,Awdal,0.0,0.6230472971377459,0.2352897869699689
2002-09-16,Awdal,2.0,-0.0756077787496214,0.5524957348320919
2002-10-16,Awdal,0.0,-0.7201080686784281,0.02084711129160473
2002-11-16,Awdal,0.0,-1.0257938788120013,-0.6500379761207173
2002-12-16,Awdal,0.0,-0.9606027692783675,-0.6912946965239458
2003-01-16,Awdal,0.0,-0.9211396293756767,-0.16065127157724954
2003-02-15,Awdal,0.0,-0.25229775005632354,-0.23706860779244074
2003-03-16,Awdal,0.0,0.291893650684742,0.17032810145675104
2003-04-16,Awdal,0.0,0.9676291558330835,0.3645356667496158
2003-05-16,Awdal,0.0,0.9742460105589718,0.48932668925278594
2003-06-16,Awdal,0.0,0.9802682076144619,0.13982822970527106
2003-07-16,Awdal,0.0,0.9081468013583929,0.0870725816164627
2003-08-16,Awdal,0.0,0.6647595638937989,0.12262694700454262
2003-09-16,Awdal,0.0,0.03809796337698046,0.04185014980393051
2003-10-16,Awdal,0.0,-0.5773149043834095,-0.6528711090469937
