index,time,admin1,conflicts,TA,PA,DL
0,1997-01-16,Awdal,0.0,,,0
1,1997-02-15,Awdal,0.0,,,0
2,1997-03-16,Awdal,0.0,-0.8587028816834352,0.2900904012918664,0
3,1997-04-16,Awdal,0.0,-1.3813890580731654,0.29320309969418296,0
4,1997-05-16,Awdal,0.0,-1.1702078982358775,0.482425770555383,0
5,1997-06-16,Awdal,0.0,-1.315111803651877,0.11101281625391997,0
6,1997-07-16,Awdal,0.0,-0.40802601376727604,-0.14480520361011998,0
7,1997-08-16,Awdal,0.0,0.024307507666622135,-0.34284229796023635,1
8,1997-09-16,Awdal,0.0,0.10884130460800891,-0.8042893355440843,2
9,1997-10-16,Awdal,0.0,-0.2947880745323858,-0.506340694955549,0
10,1997-11-16,Awdal,0.0,-0.7336701898268304,0.39824540080717036,0
11,1997-12-16,Awdal,0.0,-0.49754756224709445,0.6763572648624928,0
12,1998-01-16,Awdal,0.0,-0.07570200899821562,1.3458978738040168,0
13,1998-02-15,Awdal,0.0,0.021852924222386532,1.0727132868231872,1
14,1998-03-16,Awdal,0.0,0.16512985809461736,1.4505521517725668,2
15,1998-04-16,Awdal,0.0,0.36757568109785455,0.34137800509909105,3
16,1998-05-16,Awdal,0.0,0.5758092702406675,0.17104136562409408,4
17,1998-06-16,Awdal,0.0,0.7892583947050649,-0.36268543605986575,5
18,1998-07-16,Awdal,0.0,0.49673673088397186,-0.4042856635889585,6
19,1998-08-16,Awdal,0.0,0.46914269368166384,-0.3635106772400345,7
20,1998-09-16,Awdal,0.0,0.10697400206120654,-0.4468441135509957,8
21,1998-10-16,Awdal,0.0,-0.10741856861122782,0.04451167252727032,0
22,1998-11-16,Awdal,0.0,0.1913932208672884,-0.01074442886350302,1
23,1998-12-16,Awdal,0.0,0.14835723379703689,0.04663677446873208,2
24,1999-01-16,Awdal,0.0,0.7329061931853106,-0.44943889710771784,3
25,1999-02-15,Awdal,0.0,1.1060573773266882,-0.7544289992353468,4
26,1999-03-16,Awdal,0.0,0.4511560514418169,-0.2119494043494969,5
27,1999-04-16,Awdal,0.0,0.28238935457498976,-0.28135797861545647,6
28,1999-05-16,Awdal,0.0,-0.018407812080042274,-0.26497835225525834,0
29,1999-06-16,Awdal,2.0,0.2930124405017486,-0.9095568236168204,1
30,1999-07-16,Awdal,0.0,-0.36829613520084575,-0.4421986506666707,0
31,1999-08-16,Awdal,0.0,-1.3204095280323993,0.1413898736938386,0
32,1999-09-16,Awdal,2.0,-1.564417785401212,1.4605454955914627,0
33,1999-10-16,Awdal,0.0,-1.9762034660681624,2.1471925368718376,0
34,1999-11-16,Awdal,0.0,-1.5003497139141293,2.2292507166356854,0
35,1999-12-16,Awdal,0.0,-1.268370265838812,1.033206614663668,0
36,2000-01-16,Awdal,0.0,-0.674196279817901,-0.11936028007614086,0
37,2000-02-15,Awdal,0.0,-0.5123086237715843,-0.9194125915815828,0
38,2000-03-16,Awdal,0.0,-0.5294802889973214,-0.7656874439143739,0
39,2000-04-16,Awdal,0.0,-0.4264770108431672,-0.773163786422954,0
40,2000-05-16,Awdal,0.0,-0.5554234388088076,0.2683392634001262,0
41,2000-06-16,Awdal,0.0,-0.21724213136674012,0.04991186765572716,0
42,2000-07-16,Awdal,0.0,-0.20081345644723284,-0.1665102064827515,0
43,2000-08-16,Awdal,0.0,-0.14101995447815516,-0.12048256209788495,0
44,2000-09-16,Awdal,0.0,-0.44795038418750277,0.21962611336118668,0
45,2000-10-16,Awdal,0.0,-0.6803100420718606,0.8234467791082928,0
46,2000-11-16,Awdal,0.0,0.13092931421623666,0.3438249338777393,1
47,2000-12-16,Awdal,0.0,0.262285962771489,0.5985836219102963,2
48,2001-01-16,Awdal,0.0,0.21766905959094096,0.4938312587906765,3
49,2001-02-15,Awdal,0.0,-0.6431331944435866,0.03935619694303453,0
50,2001-03-16,Awdal,0.0,-0.6953082602800836,0.14040725725188286,0
51,2001-04-16,Awdal,0.0,-0.14997444260167578,0.06556954997082175,0
52,2001-05-16,Awdal,0.0,-0.33753241186306027,0.31174656226006753,0
53,2001-06-16,Awdal,0.0,-0.5732557649669778,-0.18760219666592956,0
54,2001-07-16,Awdal,0.0,-0.5829099429282337,0.3023707946579044,0
55,2001-08-16,Awdal,0.0,-0.45703336947346845,0.678818163401135,0
56,2001-09-16,Awdal,0.0,-0.0082969396468232,0.7349395550568514,0
57,2001-10-16,Awdal,0.0,0.18142774601638548,0.2163329991266011,1
58,2001-11-16,Awdal,0.0,0.31533825671174837,-0.5077030766623221,2
59,2001-12-16,Awdal,0.0,0.8332022235458298,-0.5793141781151695,3
60,2002-01-16,Awdal,0.0,0.10779789816546918,-0.19848038722056613,4
61,2002-02-15,Awdal,0.0,0.12190732870960576,-0.09706869246411921,5
62,2002-03-16,Awdal,0.0,-0.3390208100535068,-0.4585859699159543,0
63,2002-04-16,Awdal,0.0,0.035442268884641324,-0.45907163014340924,1
64,2002-05-16,Awdal,0.0,0.41544129940754865,-0.3483278282081029,2
65,2002-06-16,Awdal,0.0,0.6822220745272789,-0.14317889082082505,3
66,2002-07-16,Awdal,0.0,1.389589579127698,-0.6825196888443443,4
67,2002-08-16,Awdal,0.0,1.5784821773812672,-0.6596219103997721,5
68,2002-09-16,Awdal,2.0,1.408552237054506,-0.4753512508137141,6
69,2002-10-16,Awdal,0.0,0.9816996938411467,-0.2874386148708359,7
70,2002-11-16,Awdal,0.0,0.8603039619680923,-0.619167836328521,8
71,2002-12-16,Awdal,0.0,0.965827331286608,-0.5864567659455863,9
72,2003-01-16,Awdal,0.0,0.7134650785647524,-0.5338313500086757,10
73,2003-02-15,Awdal,0.0,0.6652898108801459,-0.04362938229897747,11
74,2003-03-16,Awdal,0.0,0.5242675190364788,-0.22496697547259467,12
75,2003-04-16,Awdal,0.0,0.7467252271903208,0.1276747733544241,13
76,2003-05-16,Awdal,0.0,1.1818041147693512,-0.2474827709709119,14
77,2003-06-16,Awdal,0.0,1.078254046118938,0.5312331324279863,15
78,2003-07-16,Awdal,0.0,0.48582815072004754,0.8722516051376515,16
79,2003-08-16,Awdal,0.0,-0.31118497543467427,0.7994452937836614,0
80,2003-09-16,Awdal,0.0,-0.9256906322924067,0.16040765860682338,0
81,2003-10-16,Awdal,0.0,-0.4911626801221087,-0.7512037083491317,0
82,2003-11-16,Awdal,0.0,-0.157988677335817,-0.7753150786315747,0
83,2003-12-16,Awdal,0.0,0.07086727541297015,-0.7352721107441361,1
84,2004-01-16,Awdal,0.0,-0.06371262648677636,-0.14567717450405837,0
85,2004-02-15,Awdal,0.0,-0.4126881677094513,0.9312811687819623,0
86,2004-03-16,Awdal,0.0,0.26056685103805943,0.7875969913936768,1
87,2004-04-16,Awdal,0.0,-0.016524432967800446,1.042821645310096,0
88,2004-05-16,Awdal,0.0,0.43055387118614447,0.05624883693144952,1
89,2004-06-16,Awdal,0.0,-0.15415029960642548,0.032867616212589934,0
90,2004-07-16,Awdal,0.0,0.2541630071954398,-0.76122486608161,1
91,2004-08-16,Awdal,0.0,-0.041146313408494804,-0.6056111791530688,0
92,2004-09-16,Awdal,0.0,0.08742820819319817,-0.5095634900528306,1
93,2004-10-16,Awdal,0.0,-0.37872247973741563,0.21910203589616017,0
94,2004-11-16,Awdal,0.0,-0.2584498868594626,0.4552741445551598,0
95,2004-12-16,Awdal,0.0,0.05768956747877004,0.4624457495293947,1
96,2005-01-16,Awdal,0.0,0.5676685750496189,-0.23822512362439907,2
97,2005-02-15,Awdal,0.0,0.9755498431340307,-0.46076802940293576,3
98,2005-03-16,Awdal,0.0,1.0296473608117318,-0.2940797946210506,4
99,2005-04-16,Awdal,0.0,0.8053333860233112,-0.10914127302520593,5
100,2005-05-16,Awdal,0.0,-0.048158261925938084,-0.08764546092662884,0
101,2005-06-16,Awdal,0.0,-0.6420407810582848,0.11309095068791042,0
102,2005-07-16,Awdal,0.0,-0.749002991079264,0.2445114799343319,0
103,2005-08-16,Awdal,0.0,-0.23825738893932805,0.12187554219144803,0
104,2005-09-16,Awdal,0.0,0.16993215361380862,-0.11952936779509775,1
105,2005-10-16,Awdal,0.0,0.28467218524883164,-0.5232861602308271,2
106,2005-11-16,Awdal,0.0,0.200305779794,-0.3869127451986067,3
107,2005-12-16,Awdal,0.0,-0.3467981534983841,-0.6066811913273457,0
