,time,Previous (Departure) Region,Banadir,level_0,index,admin1,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,conflicts,yr_mth,sum_disp,population_density,inv_distance,log_disp_ban,x,x_dist,inv_distance_2,Disp_log,gdp_mean,accessibility_to_cities_mean,shapeName
0,2022-01,Bakool,3048,1297,1452,Bakool,2022,1,1.054422718993279,0.5924635795945545,8,0.8628358039352968,0.763590676708823,0.6044369918064462,0.6976746152970774,0.6248075138843961,0.1971729795557974,0.5493644456310491,0.4191848196240749,0.1916000070509175,-0.3485112520638359,-0.2697887870619426,-0.0924840300386976,7.0,6.0,5.0,4.0,3.0,2.0,9,2022-01,2077,121.81299458937367,0.004339161252142711,8.022240916806537,1.4377129894219834e-05,0.003313343076872356,1.8828320372096697e-05,8.022240916806537,0.00422181760533,190.209429943,Bakool
1,2022-01,Bay,34277,1300,1452,Bay,2022,1,1.1702301978500431,0.5430375612074938,43,1.0649904194846656,1.0880363053111974,0.8918031878183191,0.9100995182711524,0.9402329215297264,0.6774742344365732,0.4919511648267749,0.348052528216713,0.0635840777328635,-0.410537538310712,-0.3230347505415,-0.1295442537618995,42.0,41.0,40.0,39.0,38.0,37.0,10,2022-01,9886,116.63858187398264,0.0048678032659052834,10.442229854296327,2.5781573668302256e-05,0.005296346680417365,2.3695508635558144e-05,10.442229854296327,0.00775447743021,167.612994088,Bay
2,2022-01,Galgaduud,18,1301,1452,Galgaduud,2022,1,0.5390683642379399,0.2345477880042063,6,0.2502380206873578,0.1938626792527827,0.0339553656566295,0.3625486811329599,0.2147947276578247,-0.4816599440650357,0.1107831436936235,0.1467965885013168,0.1471661595411663,0.1348486054746306,0.1442387700307299,0.1600157980422307,5.0,4.0,3.0,2.0,1.0,0.0,17,2022-01,117578,58.70440169785496,0.003565472503646411,2.8903717578961645,2.46449756687509e-06,0.0006912120523590203,1.2712594174258607e-05,2.8903717578961645,0.00343411415692,266.761255947,Galgaduud
3,2022-01,Hiraan,290,1303,1452,Hiraan,2022,1,0.7074664658997607,0.287697628442261,6,0.487568026514266,0.4014035983033094,0.2534979918103787,0.4376681087160884,0.3574909010167173,-0.1133009886935445,0.1834727729966705,0.1840254337699723,0.1309819575188882,0.0441621688582177,0.0709674453561464,0.1211278258186321,5.0,4.0,3.0,2.0,1.0,0.0,21,2022-01,669,56.80291916884319,0.006016509264782172,5.66988092298052,1.4530161483274359e-05,0.002415048468108762,3.6198383733209706e-05,5.66988092298052,0.00474754767767,291.044337173,Hiraan
4,2022-01,Lower Juba,132,1304,1452,Lower Juba,2022,1,1.2923044623514308,0.6198379672550162,163,1.3691994487692771,1.538599996036779,1.288544843974607,1.2482534520681692,1.2395998862860445,1.204901177809093,0.5773334109127387,0.922478870971114,0.4011303979237886,0.1488567646994079,0.0142916200682933,0.0786878624508346,162.0,161.0,160.0,159.0,158.0,157.0,29,2022-01,1385,152.59457104729574,0.0023353638652866275,4.882801922586371,8.391408034509499e-06,0.003593190833874442,5.4539243832864975e-06,4.882801922586371,0.00433408406371,233.19701474,Lower Juba
5,2022-01,Lower Shabelle,18721,1305,1452,Lower Shabelle,2022,1,0.9839379846427464,0.246131161855701,41,0.8769124767538071,0.951982268442661,0.7492373834195851,0.7886602955152776,0.8153566679012418,0.6051753575697618,0.2108056632384981,0.1790550605294139,0.0558833163045725,-0.0565049901110351,-0.0298245782648899,0.0512808992460594,40.0,39.0,38.0,37.0,36.0,35.0,45,2022-01,1303,651.9581789477397,0.008508246593928818,9.837401167408268,6.891424402610466e-05,0.0080996998929579,7.239026010310133e-05,9.837401167408268,0.0264198642755,144.922380347,Lower Shabelle
6,2022-01,Middle Juba,254,1306,1452,Middle Juba,2022,1,1.2412508889579938,0.3711581976814715,163,1.2455684113023788,1.4102474513527814,1.1796885338849348,1.1567814956301454,1.1793327711659272,1.0591514807880658,0.3837113155695925,0.3915602231105315,0.1678835701430376,-0.0853499057597849,-0.1034422562699156,0.0249693099450029,162.0,161.0,160.0,159.0,158.0,157.0,1,2022-01,725,71.57637084443164,0.0031030528715675202,5.537334267018537,1.3579184037995357e-05,0.004376072403541025,9.628937123743433e-06,5.537334267018537,0.00549966068232,293.21701095,Middle Juba
7,2022-01,Middle Shabelle,234,1307,1452,Middle Shabelle,2022,1,0.3808112643155104,0.1791411821595466,6,0.2260327148969038,0.1957858774471379,0.1248510715374576,0.2564923891016407,0.2405724797560306,-0.0405861724663768,0.1070071270260876,0.1171268113369072,0.0742876805249436,0.0852958225854196,0.1161113475981224,0.1389541660136587,5.0,4.0,3.0,2.0,1.0,0.0,21,2022-01,1017,198.4086833984086,0.009785907225679898,5.455321115357701,1.8749234897085354e-05,0.001915942432796026,9.576398022961404e-05,5.455321115357701,0.0136187814563,120.946453197,Middle Shabelle
8,2022-01,Mudug,41,1308,1452,Mudug,2022,1,0.453452928433778,0.1345613667310362,3,0.1393336171746055,0.1306706375076662,-0.077514577864589,0.3372246430321975,0.1591191999452494,-0.7275198548481583,0.0632129805140632,0.2036611554941206,0.226562483429295,0.2327336772430206,0.2226834906995919,0.103863217891218,2.0,1.0,0.0,2.0,1.0,0.0,2,2022-01,79779,86.98840946186222,0.002220736057353776,3.7135720667043075,6.444242846990269e-07,0.00029018499635067907,4.931668636431193e-06,3.7135720667043075,0.00499577029807,409.944703613,Mudug
9,2022-02,Bakool,1010,1315,1453,Bakool,2022,2,1.181496841814472,-0.2296161961933013,9,1.054422718993279,0.8628358039352968,0.763590676708823,0.6044369918064462,0.6976746152970774,0.6248075138843961,0.5924635795945545,0.5493644456310491,0.4191848196240749,0.1916000070509175,-0.3485112520638359,-0.2697887870619426,8.0,7.0,6.0,5.0,4.0,3.0,5,2022-02,1191,121.81299458937367,0.004339161252142711,6.917705609835305,1.624574894500938e-05,0.0037439836873974447,1.8828320372096697e-05,6.917705609835305,0.00422181760533,190.209429943,Bakool
