,time,Previous (Departure) Region,Gedo,level_0,index,admin1,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,conflicts,inv_distance,x
19,2022-02,Bakool,2807,1315,1453,Bakool,2022,2,1.181496841814472,-0.2296161961933013,9,1.054422718993279,0.8628358039352968,0.763590676708823,0.6044369918064462,0.6976746152970774,0.6248075138843961,0.5924635795945545,0.5493644456310491,0.4191848196240749,0.1916000070509175,-0.3485112520638359,-0.2697887870619426,8.0,7.0,6.0,5.0,4.0,3.0,5,0.004103844787771367,1.453148546742117e-05
20,2022-02,Banadir,0,1316,1453,Banadir,2022,2,0.7369592798296514,0.1509704671158301,40,0.7049331248410783,0.5667227813769657,0.5885361902628039,0.4509345540601213,0.5371940598268206,0.539414389859587,0.228571289992371,0.1484880811758817,0.1338996002979504,0.0447123969255009,0.0136217027470115,0.042024655096468,39.0,38.0,37.0,36.0,35.0,34.0,61,0.002616749249414958,3.880564331333933e-06
21,2022-02,Bari,0,1317,1453,Bari,2022,2,0.5502113359432181,0.19931836669239,7,0.7348934792241926,0.852973720850748,1.120914584509283,0.7618666341491416,0.6780374270023991,0.4989048699095681,0.1059776927120519,0.0397719283588131,0.2362076364799005,0.2261675852022191,0.2405121695049659,0.2277697479176822,6.0,5.0,4.0,3.0,2.0,1.0,6,0.000943609458175678,7.594867856302728e-07
22,2022-02,Bay,4614,1318,1453,Bay,2022,2,1.1558620238130386,-0.2702868204323352,44,1.1702301978500431,1.0649904194846656,1.0880363053111974,0.8918031878183191,0.9100995182711524,0.9402329215297264,0.5430375612074938,0.4919511648267749,0.348052528216713,0.0635840777328635,-0.410537538310712,-0.3230347505415,43.0,42.0,41.0,40.0,39.0,38.0,26,0.005642326753641573,3.390487651866476e-05
23,2022-02,Galgaduud,0,1319,1453,Galgaduud,2022,2,0.7414601989933935,0.2076155167797595,7,0.5390683642379399,0.2502380206873578,0.1938626792527827,0.0339553656566295,0.3625486811329599,0.2147947276578247,0.2345477880042063,0.1107831436936235,0.1467965885013168,0.1471661595411663,0.1348486054746306,0.1442387700307299,6.0,5.0,4.0,3.0,2.0,1.0,9,0.00178343060323909,7.959132336237013e-07
25,2022-02,Hiraan,0,1321,1453,Hiraan,2022,2,0.8513738924080079,0.1342251714945293,7,0.7074664658997607,0.487568026514266,0.4014035983033094,0.2534979918103787,0.4376681087160884,0.3574909010167173,0.287697628442261,0.1834727729966705,0.1840254337699723,0.1309819575188882,0.0441621688582177,0.0709674453561464,6.0,5.0,4.0,3.0,2.0,1.0,12,0.002488200557274866,3.018602893256675e-06
26,2022-02,Lower Juba,0,1322,1453,Lower Juba,2022,2,1.1418586702350384,0.2203692287191772,164,1.2923044623514308,1.3691994487692771,1.538599996036779,1.288544843974607,1.2482534520681692,1.2395998862860445,0.6198379672550162,0.5773334109127387,0.922478870971114,0.4011303979237886,0.1488567646994079,0.0142916200682933,163.0,162.0,161.0,160.0,159.0,158.0,34,0.004275414189499781,2.5027824684501636e-05
27,2022-02,Lower Shabelle,0,1323,1453,Lower Shabelle,2022,2,0.9880664689637804,0.0631539870673694,42,0.9839379846427464,0.8769124767538071,0.951982268442661,0.7492373834195851,0.7886602955152776,0.8153566679012418,0.246131161855701,0.2108056632384981,0.1790550605294139,0.0558833163045725,-0.0565049901110351,-0.0298245782648899,41.0,40.0,39.0,38.0,37.0,36.0,52,0.0036731358257020208,1.1831238941156407e-05
28,2022-02,Middle Juba,0,1324,1453,Middle Juba,2022,2,1.1813969665573347,-0.0613051015750227,164,1.2412508889579938,1.2455684113023788,1.4102474513527814,1.1796885338849348,1.1567814956301454,1.1793327711659272,0.3711581976814715,0.3837113155695925,0.3915602231105315,0.1678835701430376,-0.0853499057597849,-0.1034422562699156,163.0,162.0,161.0,160.0,159.0,158.0,1,0.006624219420370121,5.465589429563333e-05
29,2022-02,Middle Shabelle,0,1325,1453,Middle Shabelle,2022,2,0.4448583611248862,0.1777708987015868,7,0.3808112643155104,0.2260327148969038,0.1957858774471379,0.1248510715374576,0.2564923891016407,0.2405724797560306,0.1791411821595466,0.1070071270260876,0.1171268113369072,0.0742876805249436,0.0852958225854196,0.1161113475981224,6.0,5.0,4.0,3.0,2.0,1.0,15,0.0022314676576835808,1.125518129171978e-06
30,2022-02,Mudug,0,1326,1453,Mudug,2022,2,0.6422945436739754,0.1842036176883258,4,0.453452928433778,0.1393336171746055,0.1306706375076662,-0.077514577864589,0.3372246430321975,0.1591191999452494,0.1345613667310362,0.0632129805140632,0.2036611554941206,0.226562483429295,0.2327336772430206,0.2226834906995919,3.0,2.0,1.0,0.0,2.0,1.0,5,0.0013544182908195735,2.556004016655663e-07
31,2022-02,Nugaal,0,1327,1453,Nugaal,2022,2,0.9180677454801816,0.2094031618567795,4,0.699843359740576,0.3285845914808786,0.3132471656021008,-0.0551951011854318,0.4719745375071879,0.2313344868978447,0.1139399752578671,0.0455698636885864,0.2369268966034977,0.2620036209329585,0.2754573657847433,0.2624304914273327,3.0,2.0,1.0,0.0,2.0,1.0,3,0.0011479523568293187,4.3300700474902496e-07
32,2022-02,Sanaag,0,1328,1453,Sanaag,2022,2,1.578739854612722,0.0585135955062028,7,1.2461636353679828,0.9159941792265692,0.9178172449821042,0.4777876606578908,0.9875053572566664,0.6215985475991701,0.052559376182004,0.0556622316736382,0.0991973368265734,0.1078463782343433,0.063488065981665,0.0656321122766688,6.0,5.0,4.0,3.0,2.0,1.0,2,0.001160056757004846,1.232682385197697e-06
33,2022-02,Sool,0,1329,1453,Sool,2022,2,1.5186932569831049,0.1348152190404009,7,1.1080530229873429,0.6680752325802594,0.6369192936815411,0.2434857352115295,0.8681247162395166,0.5300712860516593,0.0800894666180937,0.0468585684891949,0.1879169981718459,0.2054640465564217,0.1952241718424453,0.1818122086174714,6.0,5.0,4.0,3.0,2.0,1.0,0,0.0012754984099552702,1.0868890530558198e-06
34,2022-02,Togdheer,0,1330,1453,Togdheer,2022,2,1.758926359579594,-0.0181877567572241,7,1.1395093137598202,0.7508382147884904,0.787171135352772,0.5399053070746052,1.1163843121607335,0.703991941855914,-0.0041191792355541,-0.0213620682036838,-0.016666553010298,0.0622345030002352,-0.0025401155873642,0.0396203139508782,6.0,5.0,4.0,3.0,2.0,1.0,1,0.0015393206518505699,1.77911720861531e-06
35,2022-02,Woqooyi Galbeed,0,1331,1453,Woqooyi Galbeed,2022,2,1.7384902429898124,-0.2262913291501256,7,1.140915197240828,0.8507555628503026,0.9173600092014028,0.7252721090910278,1.1873799707452593,0.7576558003371878,-0.1729951268092957,-0.2025253778569082,-0.1732776226910705,0.0722083389906655,-0.0325832369645388,0.0710384265038717,6.0,5.0,4.0,3.0,2.0,1.0,3,0.0015762300823998511,2.113703278626058e-06
36,2022-03,Awdal,0,1332,1454,Awdal,2022,3,1.8384198458033505,-0.2755896053521825,8,1.647860668328938,1.2021176687602484,1.006870744127056,1.1097765445410086,0.9340698740481548,1.228973271924256,-0.3285961509947575,-0.2385481742207353,-0.2628333875893948,-0.1857964102298976,0.1049327833780607,-0.0211329647167046,7.0,6.0,5.0,4.0,3.0,2.0,1,0.0015437346539345937,2.864786669859259e-06
37,2022-03,Bakool,1005,1333,1454,Bakool,2022,3,1.0416475597356258,0.0678811359003665,10,1.181496841814472,1.054422718993279,0.8628358039352968,0.763590676708823,0.6044369918064462,0.6976746152970774,-0.2296161961933013,0.5924635795945545,0.5493644456310491,0.4191848196240749,0.1916000070509175,-0.3485112520638359,9.0,8.0,7.0,6.0,5.0,4.0,7,0.004103844787771367,1.775810455208991e-05
38,2022-03,Banadir,0,1334,1454,Banadir,2022,3,0.5559764535600913,0.1382044002999827,41,0.7369592798296514,0.7049331248410783,0.5667227813769657,0.5885361902628039,0.4509345540601213,0.5371940598268206,0.1509704671158301,0.228571289992371,0.1484880811758817,0.1338996002979504,0.0447123969255009,0.0136217027470115,40.0,39.0,38.0,37.0,36.0,35.0,49,0.002616749249414958,4.826942607790574e-06
39,2022-03,Bari,0,1335,1454,Bari,2022,3,0.2876765002571668,0.2093499347707191,8,0.5502113359432181,0.7348934792241926,0.852973720850748,1.120914584509283,0.7618666341491416,0.6780374270023991,0.19931836669239,0.1059776927120519,0.0397719283588131,0.2362076364799005,0.2261675852022191,0.2405121695049659,7.0,6.0,5.0,4.0,3.0,2.0,9,0.000943609458175678,6.543482790535964e-07
40,2022-03,Bay,5334,1336,1454,Bay,2022,3,0.8696776506105579,0.0550444624803402,45,1.1558620238130386,1.1702301978500431,1.0649904194846656,1.0880363053111974,0.8918031878183191,0.9100995182711524,-0.2702868204323352,0.5430375612074938,0.4919511648267749,0.348052528216713,0.0635840777328635,-0.410537538310712,44.0,43.0,42.0,41.0,40.0,39.0,15,0.005642326753641573,3.725527444248491e-05
41,2022-03,Galgaduud,0,1337,1454,Galgaduud,2022,3,0.5872532437387161,0.1787644719596218,8,0.7414601989933935,0.5390683642379399,0.2502380206873578,0.1938626792527827,0.0339553656566295,0.3625486811329599,0.2076155167797595,0.2345477880042063,0.1107831436936235,0.1467965885013168,0.1471661595411663,0.1348486054746306,7.0,6.0,5.0,4.0,3.0,2.0,11,0.00178343060323909,1.7145741632160136e-06
43,2022-03,Hiraan,0,1339,1454,Hiraan,2022,3,0.7004775718765291,0.1382000792579754,8,0.8513738924080079,0.7074664658997607,0.487568026514266,0.4014035983033094,0.2534979918103787,0.4376681087160884,0.1342251714945293,0.287697628442261,0.1834727729966705,0.1840254337699723,0.1309819575188882,0.0441621688582177,7.0,6.0,5.0,4.0,3.0,2.0,17,0.002488200557274866,4.380025359978372e-06
44,2022-03,Lower Juba,0,1340,1454,Lower Juba,2022,3,0.7771876684578174,-0.2089341710589485,165,1.1418586702350384,1.2923044623514308,1.3691994487692771,1.538599996036779,1.288544843974607,1.2482534520681692,0.2203692287191772,0.6198379672550162,0.5773334109127387,0.922478870971114,0.4011303979237886,0.1488567646994079,164.0,163.0,162.0,161.0,160.0,159.0,31,0.004275414189499781,2.3622248425386963e-05
45,2022-03,Lower Shabelle,0,1341,1454,Lower Shabelle,2022,3,0.7232692759649582,0.1053495185729729,43,0.9880664689637804,0.9839379846427464,0.8769124767538071,0.951982268442661,0.7492373834195851,0.7886602955152776,0.0631539870673694,0.246131161855701,0.2108056632384981,0.1790550605294139,0.0558833163045725,-0.0565049901110351,42.0,41.0,40.0,39.0,38.0,37.0,34,0.0036731358257020208,1.3275219258690603e-05
46,2022-03,Middle Juba,0,1342,1454,Middle Juba,2022,3,0.8444842129775667,-0.0068129799322947,165,1.1813969665573347,1.2412508889579938,1.2455684113023788,1.4102474513527814,1.1796885338849348,1.1567814956301454,-0.0613051015750227,0.3711581976814715,0.3837113155695925,0.3915602231105315,0.1678835701430376,-0.0853499057597849,164.0,163.0,162.0,161.0,160.0,159.0,0,0.006624219420370121,5.446644019360854e-05
47,2022-03,Middle Shabelle,0,1343,1454,Middle Shabelle,2022,3,0.3458029066401339,0.1275279286925687,8,0.4448583611248862,0.3808112643155104,0.2260327148969038,0.1957858774471379,0.1248510715374576,0.2564923891016407,0.1777708987015868,0.1791411821595466,0.1070071270260876,0.1171268113369072,0.0742876805249436,0.0852958225854196,7.0,6.0,5.0,4.0,3.0,2.0,10,0.0022314676576835808,1.8962298531675073e-06
48,2022-03,Mudug,0,1344,1454,Mudug,2022,3,0.470268185176852,0.1851848641184435,5,0.6422945436739754,0.453452928433778,0.1393336171746055,0.1306706375076662,-0.077514577864589,0.3372246430321975,0.1842036176883258,0.1345613667310362,0.0632129805140632,0.2036611554941206,0.226562483429295,0.2327336772430206,4.0,3.0,2.0,1.0,0.0,2.0,5,0.0013544182908195735,8.318362287175662e-07
