,time,Previous (Departure) Region,index,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,population_density_origin,conflicts,inv_distance,x,x_dist,Current (Arrival) Region,Displacements,Disp_log,population_density_destination,gdp_mean_destination,accessibility_to_cities_mean_destination,gdp_mean_origin,accessibility_to_cities_mean_origin,inv_distance_2
84,2022-05,Woqooyi Galbeed,1456,2022,5,1.9629168714456449,-0.100647333630275,10,1.8417231990864995,1.9256720267282188,1.7384902429898124,1.140915197240828,0.8507555628503026,0.9173600092014028,0.0201744089763871,-0.1846413737585071,-0.2262913291501256,-0.1729951268092957,-0.2025253778569082,-0.1732776226910705,9.0,8.0,7.0,6.0,5.0,4.0,116.93772861785706,4,0.007022136104679331,9.49556491885706e-05,0.013522331064659247,Awdal,9,2.197224577336219,166.68480685728628,0.0124533027821,262.064797,0.0322773507564,214.678668882,4.931039547264101e-05
134,2022-08,Togdheer,1459,2022,8,0.956034085462364,0.0491498047059295,13,1.2383541308931951,1.4167228706674786,1.7651103595901805,1.6895854528329388,1.8406100524609743,1.758926359579594,0.136226451532739,0.1313343548371887,0.0679425341814492,0.0996006011724358,-0.0063136829405922,-0.0181877567572241,12.0,11.0,10.0,9.0,8.0,7.0,69.21938048234784,4,0.0034984354711253356,1.733934310659097e-05,0.004956313543497619,Awdal,240,5.480638923341991,166.68480685728628,0.0124533027821,262.064797,0.0110292183467,172.529407059,1.223905074562795e-05
151,2022-09,Togdheer,1460,2022,9,0.1993324730313688,0.0635649827287864,14,0.956034085462364,1.2383541308931951,1.4167228706674786,1.7651103595901805,1.6895854528329388,1.8406100524609743,0.0491498047059295,0.136226451532739,0.1313343548371887,0.0679425341814492,0.0996006011724358,-0.0063136829405922,13.0,12.0,11.0,10.0,9.0,8.0,69.21938048234784,0,0.0034984354711253356,1.5156279049059811e-05,0.004332302017331341,Awdal,36,3.58351893845611,166.68480685728628,0.0124533027821,262.064797,0.0110292183467,172.529407059,1.223905074562795e-05
167,2022-10,Sool,1461,2022,10,0.1165153433174865,0.2054640465564217,15,0.0383154191301805,0.970056430172205,1.0406200849158496,1.1013815909274196,1.2417663882771746,1.068230230706242,0.1952241718424453,0.1818122086174714,0.0766489090707046,0.0684393251058053,0.1334049522420888,0.1800478135959616,14.0,13.0,12.0,11.0,10.0,9.0,26.17589280906721,2,0.0020736927338069993,4.1714381687308505e-06,0.0020115989706308585,Awdal,6,1.791759469228055,166.68480685728628,0.0124533027821,262.064797,0.00347765892655,307.865943717,4.300201554243947e-06
168,2022-10,Togdheer,1461,2022,10,0.5947246150362823,0.0007037395878827,15,0.1993324730313688,0.956034085462364,1.2383541308931951,1.4167228706674786,1.7651103595901805,1.6895854528329388,0.0635649827287864,0.0491498047059295,0.136226451532739,0.1313343548371887,0.0679425341814492,0.0996006011724358,14.0,13.0,12.0,11.0,10.0,9.0,69.21938048234784,2,0.0034984354711253356,1.170094968652388e-05,0.003344623556186405,Awdal,201,5.303304908059076,166.68480685728628,0.0124533027821,262.064797,0.0110292183467,172.529407059,1.223905074562795e-05
409,2022-01,Bakool,1452,2022,1,1.054422718993279,0.5924635795945545,8,0.8628358039352968,0.763590676708823,0.6044369918064462,0.6976746152970774,0.6248075138843961,0.1971729795557974,0.5493644456310491,0.4191848196240749,0.1916000070509175,-0.3485112520638359,-0.2697887870619426,-0.0924840300386976,7.0,6.0,5.0,4.0,3.0,2.0,121.81299458937367,9,0.004339161252142711,1.4377129894219834e-05,0.003313343076872356,Banadir,3048,8.022240916806537,7399.010188474484,2.3296512902,16.3040864778,0.00422181760533,190.209429943,1.8828320372096697e-05
411,2022-01,Bay,1452,2022,1,1.1702301978500431,0.5430375612074938,43,1.0649904194846656,1.0880363053111974,0.8918031878183191,0.9100995182711524,0.9402329215297264,0.6774742344365732,0.4919511648267749,0.348052528216713,0.0635840777328635,-0.410537538310712,-0.3230347505415,-0.1295442537618995,42.0,41.0,40.0,39.0,38.0,37.0,116.63858187398264,10,0.0048678032659052834,2.5781573668302256e-05,0.005296346680417365,Banadir,34277,10.442229854296327,7399.010188474484,2.3296512902,16.3040864778,0.00775447743021,167.612994088,2.3695508635558144e-05
412,2022-01,Galgaduud,1452,2022,1,0.5390683642379399,0.2345477880042063,6,0.2502380206873578,0.1938626792527827,0.0339553656566295,0.3625486811329599,0.2147947276578247,-0.4816599440650357,0.1107831436936235,0.1467965885013168,0.1471661595411663,0.1348486054746306,0.1442387700307299,0.1600157980422307,5.0,4.0,3.0,2.0,1.0,0.0,58.70440169785496,17,0.003565472503646411,2.46449756687509e-06,0.0006912120523590203,Banadir,18,2.8903717578961645,7399.010188474484,2.3296512902,16.3040864778,0.00343411415692,266.761255947,1.2712594174258607e-05
414,2022-01,Hiraan,1452,2022,1,0.7074664658997607,0.287697628442261,6,0.487568026514266,0.4014035983033094,0.2534979918103787,0.4376681087160884,0.3574909010167173,-0.1133009886935445,0.1834727729966705,0.1840254337699723,0.1309819575188882,0.0441621688582177,0.0709674453561464,0.1211278258186321,5.0,4.0,3.0,2.0,1.0,0.0,56.80291916884319,21,0.006016509264782172,1.4530161483274359e-05,0.002415048468108762,Banadir,290,5.66988092298052,7399.010188474484,2.3296512902,16.3040864778,0.00474754767767,291.044337173,3.6198383733209706e-05
415,2022-01,Lower Juba,1452,2022,1,1.2923044623514308,0.6198379672550162,163,1.3691994487692771,1.538599996036779,1.288544843974607,1.2482534520681692,1.2395998862860445,1.204901177809093,0.5773334109127387,0.922478870971114,0.4011303979237886,0.1488567646994079,0.0142916200682933,0.0786878624508346,162.0,161.0,160.0,159.0,158.0,157.0,152.59457104729574,29,0.0023353638652866275,8.391408034509499e-06,0.003593190833874442,Banadir,132,4.882801922586371,7399.010188474484,2.3296512902,16.3040864778,0.00433408406371,233.19701474,5.4539243832864975e-06
